MDTU,abs_delta_S
975,0.0007651
976,0.8624
977,0.8128
978,0.4056
979,0.4275
980,0.09459
981,0.3122
982,0.4654
983,0.2258
984,0.8484
985,0.4341
986,0.4281
987,0.1095
988,0.8982
989,0.4164
990,0.682
991,0.489
992,0.2811
993,0.1947
994,0.01873
995,0.6902
996,0.3125
997,0.1078
998,1.263
999,0.08605
1000,0.4263
1001,1.695
1002,0.3131
1003,0.3238
1004,0.1954
1005,0.4636
1006,0.2046
1007,0.2755
1008,0.2163
1009,0.1004
1010,0.8423
1011,0.7155
1012,0.7982
1013,0.9006
1014,0.1557
1015,0.1056
1016,0.03445
1017,0.1562
1018,0.2431
1019,0.2387
1020,0.7797
1021,0.6408
1022,0.8371
1023,0.7376
1024,0.2424
1025,0.3422
1026,0.1795
1027,1.767
1028,0.02352
1029,0.3554
1030,0.02778
1031,0.4202
1032,0.7208
1033,0.08112
1034,0.3776
1035,0.6758
1036,0.2984
1037,0.7989
1038,0.8822
1039,0.9726
1040,0.6134
1041,0.04749
1042,0.1463
1043,0.3561
1044,0.6109
1045,0.8693
1046,0.1133
1047,0.1843
1048,0.7177
1049,0.4739
1050,0.3229
1051,0.4836
1052,0.5668
1053,0.277
1054,0.02366
1055,0.09038
1056,0.291
1057,0.03124
1058,0.14
1059,0.01682
1060,0.4835
1061,0.6156
1062,0.1026
1063,0.1901
1064,0.6094
1065,0.5239
1066,0.5005
1067,0.1397
1068,0.9
1069,1.136
1070,0.09065
1071,0.6705
1072,0.07427
1073,0.04675
1074,0.3206
1075,0.356
1076,0.2236
1077,0.06809
1078,0.3455
1079,0.8485
1080,0.2599
1081,0.9002
1082,0.807
1083,0.9629
1084,0.3465
1085,0.9108
1086,0.6438
1087,0.2144
1088,1.402
1089,0.3771
1090,0.5941
1091,0.7488
1092,0.2531
1093,1.462
1094,0.3036
1095,0.954
1096,1.104
1097,0.7891
1098,0.7308
1099,0.6091
1100,0.1014
1101,0.444
1102,0.595
1103,0.04404
1104,0.0737
1105,0.3619
1106,0.04898
1107,0.3165
1108,0.043
1109,0.115
1110,0.3319
1111,1.17
1112,1.03
1113,0.6226
1114,0.271
1115,0.6727
1116,0.01749
1117,1.112
1118,0.257
1119,0.02876
1120,0.3206
1121,0.5105
1122,1.457
1123,0.4273
1124,0.08374
1125,0.1619
1126,0.2895
1127,0.5811
1128,0.0424
1129,0.2987
1130,0.1662
1131,0.2887
1132,0.0388
1133,0.8188
1134,0.3715
1135,0.001019
1136,0.3379
1137,1.128
1138,1.121
1139,0.4455
1140,0.162
1141,0.5126
1142,0.4358
1143,0.8294
1144,0.9343
1145,0.2462
1146,0.8769
1147,0.8267
1148,0.8773
1149,0.8071
1150,0.163
1151,0.411
1152,0.2413
1153,0.5687
1154,0.6045
1155,0.9004
1156,0.4578
1157,1.072
1158,1.643
1159,0.1682
1160,0.8185
1161,0.06523
1162,0.7263
1163,0.01346
1164,0.2863
1165,0.06263
1166,0.5617
1167,0.3935
1168,1.108
1169,0.8738
1170,1.042
1171,0.05982
1172,0.8806
1173,1.258
1174,0.27
1175,0.4826
1176,0.9797
1177,0.1935
1178,0.4704
1179,1.173
1180,0.7788
1181,0.923
1182,0.3321
1183,1.245
1184,1.533
1185,0.4092
1186,0.4749
1187,0.4068
1188,0.3288
1189,0.8475
1190,0.5085
1191,0.7941
1192,0.04545
1193,1.214
1194,0.4098
1195,0.05813
1196,0.2296
1197,0.5742
1198,0.8103
1199,1.129
1200,0.03261
1201,0.1572
1202,0.2748
1203,1.187
1204,0.416
1205,0.4058
1206,1.893
1207,0.4138
1208,0.4953
1209,0.4306
1210,1.42
1211,0.9074
1212,1.466
1213,0.1876
1214,0.3469
1215,0.1585
1216,0.9295
1217,0.2354
1218,0.6788
1219,0.2388
1220,0.8071
1221,1.049
1222,0.1614
1223,0.4948
1224,1.59
1225,0.2445
1226,0.3186
1227,0.801
1228,0.7918
1229,0.131
1230,0.07952
1231,0.424
1232,0.5001
1233,1.431
1234,0.4724
1235,0.7551
1236,0.4842
1237,0.8477
1238,0.2576
1239,1.933
1240,1.329
1241,0.497
1242,0.7483
1243,1.424
1244,0.1622
1245,1.262
1246,0.4367
1247,0.04673
1248,0.2177
1249,0.5237
1250,0.9281
1251,1.153
1252,0.605
1253,0.3485
1254,0.9976
1255,0.3533
1256,0.2416
1257,0.8908
1258,0.3583
1259,0.3713
1260,0.9846
1261,0.8137
1262,0.318
1263,0.455
1264,0.4542
1265,0.483
1266,1.089
1267,0.3204
1268,1.185
1269,1.34
1270,0.455
1271,0.3749
1272,0.1449
1273,0.2467
1274,0.6252
1275,0.1132
1276,1.253
1277,0.6094
1278,0.6287
1279,0.6619
1280,0.3535
1281,1.096
1282,0.2056
1283,0.2243
1284,1.154
1285,0.533
1286,1.041
1287,0.9109
1288,0.9986
1289,0.6108
1290,0.3634
1291,1.068
1292,0.7938
1293,0.08251
1294,0.04277
1295,2.676
1296,0.5907
1297,0.2474
1298,0.5779
1299,0.4594
1300,0.1748
1301,0.7944
1302,0.08472
1303,0.3422
1304,1.136
1305,0.0222
1306,0.2511
1307,0.8387
1308,0.5003
1309,0.0474
1310,0.5412
