ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.0670561,-0.0287477,0.0439236,-0.0277425
0.00585624,-0.0624261,0.0204179,0.00567068
0.00585624,-0.0624261,0.0204179,0.00567068
0.00585624,-0.0624261,0.0204179,0.00567068
0.010791,-0.0393659,-0.0041768,-0.023331
-0.0158467,-0.068247,0.0422219,-0.0792786
-0.0137698,0.00313648,0.0231566,-0.0578033
-0.0137698,0.00313648,0.0231566,-0.0578033
-0.0137698,0.00313648,0.0231566,-0.0578033
-0.0237545,0.0202664,0.029744,-0.0744186
-0.0237545,0.0202664,0.029744,-0.0744186
-0.0310657,0.039208,0.00617979,-0.0923696
0.00810597,-0.00128961,0.0522598,-0.06445
-0.0107551,0.0229146,0.0110796,-0.0797357
0.00686299,0.0396269,0.0528233,-0.0392513
-0.0018824,0.0411364,0.0253451,-0.0992808
-0.0018824,0.0411364,0.0253451,-0.0992808
0.0348031,0.0319544,0.0544302,-0.089119
0.0348031,0.0319544,0.0544302,-0.089119
0.0642566,0.00460095,0.04543,-0.113648
0.0678031,-0.00705015,0.00165254,-0.0670365
0.0500449,0.0166831,0.036141,-0.0443869
0.0500449,0.0166831,0.036141,-0.0443869
0.0500449,0.0166831,0.036141,-0.0443869
0.0500449,0.0166831,0.036141,-0.0443869
0.0613716,0.045448,0.0194936,-0.0303553
0.0613716,0.045448,0.0194936,-0.0303553
0.0613716,0.045448,0.0194936,-0.0303553
0.0613716,0.045448,0.0194936,-0.0303553
0.0613716,0.045448,0.0194936,-0.0303553
-0.0188751,0.0784589,0.0551895,-0.0110757
0.0180579,0.026939,0.0376192,-0.056818
-0.00314001,0.00700098,0.0107493,-0.100106
-0.035774,0.0293878,0.050915,-0.0878506
-0.035774,0.0293878,0.050915,-0.0878506
-0.0717617,0.0092813,0.0500571,-0.0654879
-0.0370752,-0.0146812,0.0499811,-0.080318
-0.0123648,-0.0443064,0.0262171,-0.120291
-0.0258475,-0.0230051,0.0106757,-0.116059
-0.0258475,-0.0230051,0.0106757,-0.116059
-0.0258475,-0.0230051,0.0106757,-0.116059
-0.0215009,-0.00580641,0.013561,-0.071287
-0.0215009,-0.00580641,0.013561,-0.071287
-0.0215009,-0.00580641,0.013561,-0.071287
0.0251024,-0.0286581,0.0132606,-0.0494583
0.0251024,-0.0286581,0.0132606,-0.0494583
0.0109913,-0.0220811,0.0360253,-0.067744
0.00209351,-0.00359445,0.0208042,-0.0887275
0.0505189,-0.0095658,0.00698576,-0.058994
0.0505189,-0.0095658,0.00698576,-0.058994
0.0475862,-0.0486899,-0.0301315,-0.078808
0.0475862,-0.0486899,-0.0301315,-0.078808
0.0475862,-0.0486899,-0.0301315,-0.078808
0.0135479,-0.103078,-0.0448117,-0.0757471
0.0496752,-0.0877574,-0.0396246,-0.0525702
0.0273366,-0.0547459,-0.0744121,-0.0438971
-0.0125139,-0.0920632,-0.0575973,-0.0306361
-0.00371986,-0.0729545,-0.0395084,-0.0176437
-0.00371986,-0.0729545,-0.0395084,-0.0176437
0.0111268,-0.0740991,-0.0513531,-0.00365436
-0.0244064,-0.0741104,-0.0176963,-0.010626
0.0166885,-0.0677996,-0.0294156,-0.0344751
0.0366616,-0.0380474,-0.033736,-0.0593911
0.0366616,-0.0380474,-0.033736,-0.0593911
0.0659197,-0.0626419,-0.0382584,-0.0222491
0.00677046,-0.0111127,-0.0232487,-0.0216465
0.0456949,-0.0403455,-0.019672,-0.0392368
0.0371969,-0.0352591,0.00227016,-0.0294986
0.0570343,-0.0236604,0.00743237,0.020038
0.0570343,-0.0236604,0.00743237,0.020038
0.0525445,-0.00358212,0.00546091,0.0120565
0.0544736,-0.0277715,0.00349839,0.0294648
0.0986474,-0.0171494,0.00364512,0.00751791
0.0381017,-0.022774,-0.051411,0.0231298
0.0381017,-0.022774,-0.051411,0.0231298
0.0131874,-0.0198996,-0.0387331,0.0709999
0.0131874,-0.0198996,-0.0387331,0.0709999
0.00767071,0.0246973,0.00845155,0.0543154
0.015518,-0.0246314,-0.0212186,0.0752727
0.000196414,0.00458235,-0.0232826,0.0455383
0.000196414,0.00458235,-0.0232826,0.0455383
0.000196414,0.00458235,-0.0232826,0.0455383
0.000196414,0.00458235,-0.0232826,0.0455383
0.000196414,0.00458235,-0.0232826,0.0455383
0.0214247,0.0157031,-0.0443894,0.0290611
-0.00910884,0.0143396,-0.0254026,0.043148
-0.000270464,-0.0366542,0.00325642,0.033538
-0.000270464,-0.0366542,0.00325642,0.033538
-0.000270464,-0.0366542,0.00325642,0.033538
-0.000270464,-0.0366542,0.00325642,0.033538
-0.00506959,0.004853,-0.0130028,0.0406741
0.00421743,0.00273563,-0.076332,0.0382881
-0.0195309,-0.0188864,-0.0594541,0.00271727
0.00641539,0.0218752,-0.0338575,-0.0172429
0.0442015,0.0429299,-0.0084977,-0.014949
0.0736449,0.040622,-0.0223906,0.00908141
0.0736449,0.040622,-0.0223906,0.00908141
0.0736449,0.040622,-0.0223906,0.00908141
0.0183401,0.0116193,-0.026144,0.0269645
0.0410071,0.0112564,-0.0286346,0.00835973
0.0359941,0.0194602,0.000246491,0.0302631
0.0125595,-0.002015,0.0486479,0.010695
0.00774176,0.0355313,0.0448872,0.0344962
0.00774176,0.0355313,0.0448872,0.0344962
0.00774176,0.0355313,0.0448872,0.0344962
0.00774176,0.0355313,0.0448872,0.0344962
0.00774176,0.0355313,0.0448872,0.0344962
0.00774176,0.0355313,0.0448872,0.0344962
0.0157711,0.0373749,0.0281598,0.0246533
0.0342649,0.040142,0.0196665,0.045407
0.0391189,0.055548,0.00144646,0.0127591
0.0391189,0.055548,0.00144646,0.0127591
-0.0113906,0.0195087,0.0024258,0.00441165
-0.00304175,0.0486811,-0.0277715,-0.0292685
-0.00304175,0.0486811,-0.0277715,-0.0292685
-0.0107405,0.0227106,-0.0165989,-0.0115609
-0.0418486,0.0394655,-0.0251354,0.000620915
-0.0418486,0.0394655,-0.0251354,0.000620915
-0.0418486,0.0394655,-0.0251354,0.000620915
-0.0418486,0.0394655,-0.0251354,0.000620915
-0.0418486,0.0394655,-0.0251354,0.000620915
-0.0418486,0.0394655,-0.0251354,0.000620915
-0.0418486,0.0394655,-0.0251354,0.000620915
0.00115362,-0.0042849,0.0112426,-0.00975538
-0.00907848,0.0034777,0.00573625,-0.0603414
-0.00907848,0.0034777,0.00573625,-0.0603414
0.00377521,0.0287004,0.0413352,-0.025963
0.0148693,0.0149062,0.0301029,0.0123391
0.0268436,0.0488973,0.0418673,-0.0115941
0.0268436,0.0488973,0.0418673,-0.0115941
0.0268436,0.0488973,0.0418673,-0.0115941
0.0268436,0.0488973,0.0418673,-0.0115941
0.00854838,-0.0139871,0.0582695,-0.0366845
0.00854838,-0.0139871,0.0582695,-0.0366845
0.00122229,0.0365976,0.0309734,-0.044097
-0.014684,0.0577114,0.018371,-0.0357761
-0.014684,0.0577114,0.018371,-0.0357761
-0.0110147,0.12423,-0.00839137,-0.0224552
0.0230255,0.104728,0.00222332,0.0101463
0.00488232,0.0618853,0.0115265,0.00679192
-0.00873749,0.0134089,-0.0268276,-0.0123687
-0.0223526,0.0524666,-0.0281966,-0.0252505
-0.0127557,0.00532461,-0.0070623,-0.00787497
0.00432888,0.034939,0.0384259,0.0159431
0.0432345,0.0725527,0.0257236,-0.0149395
0.0318618,0.0230878,0.00730599,-0.0500128
0.0616225,0.0623624,0.00692226,-0.0607417
0.0616225,0.0623624,0.00692226,-0.0607417
0.0664141,0.0114547,0.00874903,-0.0245394
0.0383436,0.0226496,-0.0296004,-0.0701182
0.074999,0.0393054,-0.0573273,-0.0607439
0.0511136,0.0196611,-0.0533677,-0.0462134
0.0751661,0.0339159,-0.0383301,-0.0478781
0.0751661,0.0339159,-0.0383301,-0.0478781
0.0789169,0.00996439,-0.00560862,-0.0634989
0.0642272,0.0319224,-0.0294482,-0.105579
0.0642272,0.0319224,-0.0294482,-0.105579
0.0876724,0.0141375,0.0138368,-0.0957909
0.0876724,0.0141375,0.0138368,-0.0957909
0.0243039,0.00950774,0.0129549,-0.0707696
0.034094,0.0064723,0.0430446,-0.00910616
-0.00669491,0.0068368,0.0339129,-0.0388199
0.0261497,-0.0198214,0.0338697,-0.124606
-0.0370755,-0.0178486,0.0100053,-0.0596612
-0.0474536,-0.026551,-0.0518918,-0.0606143
-0.0468521,-0.0219044,0.00322345,-0.102165
-0.0358475,-0.0230296,-0.0492931,-0.0855941
-0.0234,0.0195948,-0.0307467,-0.0512857
-0.0234,0.0195948,-0.0307467,-0.0512857
-0.0234,0.0195948,-0.0307467,-0.0512857
-0.0234,0.0195948,-0.0307467,-0.0512857
-0.0234,0.0195948,-0.0307467,-0.0512857
-0.0234,0.0195948,-0.0307467,-0.0512857
-0.0234,0.0195948,-0.0307467,-0.0512857
-0.0234,0.0195948,-0.0307467,-0.0512857
-0.0234,0.0195948,-0.0307467,-0.0512857
-0.0234,0.0195948,-0.0307467,-0.0512857
-0.0379167,0.00654515,0.00373072,-0.0196206
-0.0599575,0.000431811,-0.0216565,-0.0515831
-0.0599575,0.000431811,-0.0216565,-0.0515831
-0.0599575,0.000431811,-0.0216565,-0.0515831
-0.0123712,-0.0339344,-0.0150247,-0.0389024
-0.04962,-0.0171145,-0.0200015,-0.058835
-0.0565901,0.00323333,0.0150574,-0.0431957
-0.097447,-0.0218218,-0.000192411,-0.0294104
-0.11339,-0.022643,-0.0192841,-0.0417704
-0.113889,0.00897219,0.0323695,0.0354148
-0.102031,-0.0246439,0.0559895,0.022895
-0.0975549,0.00155325,0.0420119,0.0401374
-0.0975549,0.00155325,0.0420119,0.0401374
-0.0975549,0.00155325,0.0420119,0.0401374
-0.0526874,-0.0268439,0.0598285,0.0258085
-0.0983709,-0.0101848,0.0429841,0.00677614
-0.0983709,-0.0101848,0.0429841,0.00677614
-0.103303,-0.00517936,0.0690416,-0.0108285
-0.103303,-0.00517936,0.0690416,-0.0108285
-0.103303,-0.00517936,0.0690416,-0.0108285
-0.103303,-0.00517936,0.0690416,-0.0108285
-0.0301187,0.00873199,0.0210964,-0.044543
-0.0419544,-0.00132885,-0.00609668,-0.0292576
-0.0129846,-0.0644761,0.0209405,-0.023705
-0.0250028,0.00328089,0.0411251,-0.0386592
-0.0250028,0.00328089,0.0411251,-0.0386592
-0.0512751,-0.0257991,0.0803386,0.0107283
-0.0512751,-0.0257991,0.0803386,0.0107283
-0.0634089,-0.00422651,0.0598313,-0.0156405
-0.02881,0.045542,0.0302395,-0.0184949
-0.0395501,0.0353955,0.0509334,-0.0228331
-0.0395501,0.0353955,0.0509334,-0.0228331
-0.059055,0.0553696,0.0486671,-0.0170095
-0.059055,0.0553696,0.0486671,-0.0170095
-0.059055,0.0553696,0.0486671,-0.0170095
-0.083915,0.000674589,0.0516861,-0.0207783
-0.0534898,0.0159458,0.0349127,-0.0350685
-0.013646,0.000744151,0.0800664,-0.00954936
-0.013646,0.000744151,0.0800664,-0.00954936
0.00104246,0.0426562,0.0731056,-0.0131524
0.00104246,0.0426562,0.0731056,-0.0131524
0.00104246,0.0426562,0.0731056,-0.0131524
-0.0291341,-0.0043143,0.0553956,-0.0192164
-0.034941,0.0511812,0.0494493,-0.00566995
-0.0456052,-0.040152,0.042586,0.00307444
-3.77135e-05,-0.0337489,0.0723302,-0.0142961
-0.0195064,0.00433729,0.0186077,-0.0144685
-0.0632832,-0.0302461,0.0712795,-0.0686168
-0.0584509,-0.00658475,0.0776944,-0.045005
-0.0467859,-0.0328073,0.0812326,-0.0293501
-0.0467859,-0.0328073,0.0812326,-0.0293501
-0.0386936,0.031784,0.0204741,-0.0401504
0.00932779,0.00666221,0.0440644,-0.0365749
-0.0373356,-2.21671e-05,0.0448537,0.0137897
0.0281194,-0.00894865,0.0308965,-0.00080045
-0.0114107,-0.00856588,0.0328979,-0.0346934
-0.0114107,-0.00856588,0.0328979,-0.0346934
0.0375091,-0.0324254,-0.0154322,-0.0265396
0.0564019,-0.0487424,-0.0324229,0.00959717
0.0617329,-0.0492985,-0.0256383,0.0323015
0.0729344,-0.0217734,-0.0244821,0.0311704
0.0526026,-0.0473589,-0.00599351,0.0288111
0.0489197,-0.0324665,0.0158422,0.0352398
0.0489197,-0.0324665,0.0158422,0.0352398
0.0489197,-0.0324665,0.0158422,0.0352398
0.0489197,-0.0324665,0.0158422,0.0352398
0.00970426,-0.00792793,0.0589242,0.067064
0.0215445,0.01129,0.0803596,0.0175225
0.034449,-0.00226102,0.00930778,0.0374389
0.0616321,-0.00251373,0.0385371,-0.0230722
0.011613,-0.00538666,0.0241709,-0.0422913
-0.00522101,0.0134411,0.0243656,0.0209626
0.027463,-0.0223084,0.0416556,-0.0110111
0.0349234,0.00792364,0.0643922,0.000442369
0.0349234,0.00792364,0.0643922,0.000442369
0.00495894,-0.0237422,0.0231006,-0.0600987
0.00495894,-0.0237422,0.0231006,-0.0600987
0.0382561,0.0239641,0.0308695,-0.0147166
0.0396874,-0.0343656,0.00680524,0.0257264
0.0399735,-0.058903,-0.0388652,-0.0274825
0.0273076,-0.0528655,-0.0496596,-0.0248764
0.0625596,-0.105187,-0.0517966,-0.0102081
0.0645559,-0.0753875,-0.0304655,-0.029256
0.0216865,-0.0795388,-0.028829,-0.0150611
0.042801,-0.0834803,-0.00644704,-0.0289928
0.0746099,-0.0839402,0.0370303,-0.00961816
0.0423836,-0.123108,0.0238524,0.0318566
0.0423836,-0.123108,0.0238524,0.0318566
0.0423836,-0.123108,0.0238524,0.0318566
0.0487905,-0.100451,0.0536312,0.0237188
0.019729,-0.10084,0.049678,0.00865639
0.019729,-0.10084,0.049678,0.00865639
0.0530971,-0.105831,0.0406634,-0.0286446
0.0530971,-0.105831,0.0406634,-0.0286446
0.0530971,-0.105831,0.0406634,-0.0286446
