ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.109956, -0.109658, 0.0789089, -0.0176846
0.109956, -0.109658, 0.0789089, -0.0176846
0.064782, -0.0569935, 0.082255, -0.0543436
0.00400814, -0.0541242, 0.0645841, -0.0904484
-0.0577736, -0.0515241, 0.073699, -0.160081
-0.0577736, -0.0515241, 0.073699, -0.160081
-0.0577736, -0.0515241, 0.073699, -0.160081
-0.154273, -0.0764906, 0.0614545, -0.124245
-0.154273, -0.0764906, 0.0614545, -0.124245
-0.13283, 0.0266875, -0.0330643, -0.135325
0.0224337, -0.0586224, 0.0310906, -0.194876
-0.0629555, 0.0498681, -0.0478307, -0.145954
-0.0449341, 0.0630523, 0.0355726, -0.107701
-0.0233938, 0.0150799, -0.0533552, -0.14749
-0.0233938, 0.0150799, -0.0533552, -0.14749
0.114955, 0.0498702, -0.0460361, -0.114053
0.114955, 0.0498702, -0.0460361, -0.114053
0.146304, 0.0287985, 0.0964332, -0.143781
0.135215, 0.044766, -0.0299118, -0.101552
0.0597261, 0.0348982, -0.0367796, -0.0827467
0.0597261, 0.0348982, -0.0367796, -0.0827467
0.0597261, 0.0348982, -0.0367796, -0.0827467
0.0597261, 0.0348982, -0.0367796, -0.0827467
0.086601, 0.0945887, -0.0748546, -0.058138
0.086601, 0.0945887, -0.0748546, -0.058138
0.086601, 0.0945887, -0.0748546, -0.058138
0.086601, 0.0945887, -0.0748546, -0.058138
0.086601, 0.0945887, -0.0748546, -0.058138
-0.0527805, 0.115874, -0.0606495, -0.0407745
-0.120355, 0.0719996, -0.0462641, -0.0742565
-0.0427829, 0.060228, 0.014918, -0.15862
-0.0377209, 0.08889, 0.0791364, -0.125128
-0.0377209, 0.08889, 0.0791364, -0.125128
-0.114257, 0.107786, 0.0360992, -0.194782
-0.0369341, 0.0694141, 0.0554769, -0.167639
0.0615215, 0.042333, 0.139967, -0.152736
-0.000132904, 0.114415, 0.166789, -0.121664
-0.000132904, 0.114415, 0.166789, -0.121664
-0.000132904, 0.114415, 0.166789, -0.121664
-0.0376771, 0.0801873, 0.137057, -0.154659
-0.0376771, 0.0801873, 0.137057, -0.154659
-0.0376771, 0.0801873, 0.137057, -0.154659
0.0450025, 0.0247665, 0.211731, -0.0400068
0.0450025, 0.0247665, 0.211731, -0.0400068
0.0662038, 0.0450266, 0.234464, -0.106322
-0.00728903, 0.0418865, 0.234418, -0.0890462
-0.0346676, 0.0169689, 0.239566, -0.0713039
-0.0346676, 0.0169689, 0.239566, -0.0713039
-0.0302483, -0.043141, 0.0347346, -0.111117
-0.0302483, -0.043141, 0.0347346, -0.111117
