MDTU,abs_delta_S
1071,0.1112
1072,0.1808
1073,1.056
1074,0.2886
1075,0.8366
1076,2.878
1077,1.974
1078,2.459
1079,0.8931
1080,0.6425
1081,1.082
1082,1.393
1083,0.4187
1084,0.2881
1085,1.573
1086,0.1367
1087,0.04392
1088,0.705
1089,0.7683
1090,0.2442
1091,0.4755
1092,0.04042
1093,0.2398
1094,0.8632
1095,0.3145
1096,0.8053
1097,1.154
1098,2.144
1099,0.05065
1100,1.099
1101,0.8009
1102,0.7749
1103,0.9363
1104,0.2305
1105,0.6218
1106,1.304
1107,1.222
1108,0.2781
1109,0.8956
1110,0.6585
1111,1.955
1112,0.6392
1113,0.4826
1114,1.504
1115,0.7091
1116,0.4377
1117,1.689
1118,1.219
1119,1.877
1120,2.721
1121,0.9585
1122,0.6795
1123,0.04659
1124,0.5804
1125,1.057
1126,0.5795
1127,0.4422
1128,0.8282
1129,0.8053
1130,0.5893
1131,1.872
1132,0.9184
1133,0.6273
1134,0.3362
1135,0.6705
1136,0.1138
1137,0.7979
1138,0.7627
1139,0.6679
1140,0.4865
1141,1.357
1142,1.149
1143,0.5868
1144,1.009
1145,0.5509
1146,0.2684
1147,0.07315
1148,0.9063
1149,0.9465
1150,2.22
1151,1.753
1152,1.663
1153,1.191
1154,1.261
1155,0.4298
1156,1.375
1157,0.06913
1158,0.7541
1159,0.3572
1160,0.4189
1161,0.01661
1162,2.263
1163,0.3517
1164,0.6857
1165,0.7973
1166,0.8401
1167,1.411
1168,1.907
1169,1.841
1170,0.9171
1171,0.6969
1172,0.2787
1173,0.744
1174,0.7933
1175,0.804
1176,1.02
1177,0.4286
1178,0.5656
1179,1.461
1180,1.655
1181,1.068
1182,0.5715
1183,1.987
1184,0.8675
1185,0.7107
1186,0.5642
1187,0.471
1188,0.7318
1189,0.3987
1190,0.4809
1191,0.6363
1192,0.7976
1193,0.6488
1194,1.246
1195,0.6682
1196,1.588
1197,2
1198,2.165
1199,2.428
