ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.089067,null,-0.0409013,null,null
-9.50695,-0.77929,null,null,null
0.076258,null,0.000361364,null,null
-8.99275,0.44845,null,null,null
0.0487836,null,0.0002802,null,null
-6.3905,1.88293,null,null,null
0.154093,null,-0.075381,null,null
-5.8492,-0.74521,null,null,null
0.126473,null,0.051161,null,null
-7.34295,3.18683,null,null,null
0.140778,null,0.0428636,null,null
-8.8683,0.71176,null,null,null
0.165103,null,0.125089,null,null
-8.8683,0.71176,null,null,null
0.165103,null,0.125089,null,null
-8.78005,0.641405,null,null,null
0.215755,null,0.0667415,null,null
-8.80545,0.305495,null,null,null
0.21135,null,0.0187987,null,null
-5.5733,-0.00174909,null,null,null
0.152617,null,-0.0100339,null,null
-6.44805,-2.02488,null,null,null
0.147697,null,0.0287718,null,null
-5.86035,-3.23088,null,null,null
0.090223,null,0.0465657,null,null
-7.1315,-1.6459,null,null,null
0.109265,null,0.0472846,null,null
-7.56155,-0.638075,null,null,null
0.135326,null,0.084162,null,null
-6.9435,-0.0079795,null,null,null
0.156705,null,-0.035103,null,null
-6.16435,-1.17685,null,null,null
0.186843,null,-0.0633705,null,null
-7.1124,-2.84761,null,null,null
0.201034,null,-0.00808555,null,null
-7.911,-1.60657,null,null,null
0.17183,null,0.0171604,null,null
-10.2986,-1.23739,null,null,null
0.101458,null,-0.00425026,null,null
-12.6239,-1.09597,null,null,null
0.082373,null,0.071416,null,null
-7.7616,-4.4904,null,null,null
0.0696535,null,0.066574,null,null
-9.9756,-0.708585,null,null,null
0.0847215,null,0.072062,null,null
-8.23165,-1.83026,null,null,null
0.00527595,null,0.0767655,null,null
-6.9812,-0.77895,null,null,null
0.0810525,null,0.116381,null,null
-5.42965,-0.470477,null,null,null
0.0276518,null,0.150183,null,null
-7.93315,-2.59936,null,null,null
0.073985,null,0.063144,null,null
-7.1479,-3.10198,null,null,null
0.119846,null,0.087756,null,null
-9.16795,-5.70605,null,null,null
0.0552675,null,0.0387668,null,null
-11.9259,-6.9003,null,null,null
0.108529,null,0.0423806,null,null
-12.9698,-7.5815,null,null,null
0.083816,null,0.0511225,null,null
-7.4032,-4.95634,null,null,null
0.108829,null,0.026145,null,null
-5.33595,-4.06452,null,null,null
0.108591,null,-0.0116545,null,null
-12.8006,-4.54807,null,null,null
0.157978,null,0.0154783,null,null
-12.1057,-6.17365,null,null,null
0.248723,null,0.161082,null,null
-10.3768,-5.9383,null,null,null
0.0997635,null,0.0227795,null,null
-10.6892,-4.058,null,null,null
0.141859,null,0.0466159,null,null
-7.4656,-3.59844,null,null,null
0.147254,null,0.0603765,null,null
-9.0054,-2.418,null,null,null
0.0899295,null,0.161213,null,null
-10.1061,-3.40062,null,null,null
0.066687,null,0.0833965,null,null
-9.3483,-5.31785,null,null,null
0.092515,null,0.138311,null,null
-7.72905,-6.4774,null,null,null
0.126546,null,0.164557,null,null
-7.9804,-6.1803,null,null,null
0.125716,null,0.0959085,null,null
-9.05905,-4.93705,null,null,null
0.208143,null,0.0740145,null,null
-8.892,-5.6107,null,null,null
0.278134,null,0.0151223,null,null
-10.1264,-4.29425,null,null,null
0.301418,null,0.0670865,null,null
-10.7119,-3.1372,null,null,null
0.315992,null,0.0224454,null,null
-10.7119,-3.1372,null,null,null
0.315992,null,0.0224454,null,null
-8.71465,-3.23208,null,null,null
0.33844,null,0.0146267,null,null
-9.643,-5.0475,null,null,null
0.179422,null,0.0683075,null,null
-9.643,-5.0475,null,null,null
0.179422,null,0.0683075,null,null
-7.8404,-4.73561,null,null,null
0.130973,null,-0.115115,null,null
-10.7799,-3.20207,null,null,null
0.233344,null,-0.0632385,null,null
-12.0269,-1.91148,null,null,null
0.163252,null,-0.172705,null,null
-11.0663,-2.15342,null,null,null
0.173124,null,-0.183743,null,null
-14.8385,-3.67281,null,null,null
0.0790775,null,-0.143772,null,null
-10.2579,-5.13745,null,null,null
0.0436184,null,-0.156116,null,null
-10.9585,-4.12938,null,null,null
0.085616,null,-0.15581,null,null
-11.9854,-1.43683,null,null,null
0.124821,null,-0.122276,null,null
-14.0756,0.238619,null,null,null
0.169608,null,-0.15432,null,null
-17.9734,-0.040209,null,null,null
0.0561445,null,-0.127108,null,null
-17.9734,-0.040209,null,null,null
0.0561445,null,-0.127108,null,null
-14.8478,3.65423,null,null,null
0.103428,null,-0.125898,null,null
-14.5214,-0.946535,null,null,null
0.0888295,null,-0.107257,null,null
-16.0143,0.923465,null,null,null
0.186897,null,-0.0911945,null,null
-15.3993,3.15118,null,null,null
0.106268,null,-0.191303,null,null
-9.0287,2.30617,null,null,null
