MDTU,rho_M
2170,0.0511068
2180,0.0486654
2190,0.0483398
2200,0.0445964
2210,0.0483398
2220,0.0515951
2230,0.0519206
2240,0.054362
2250,0.0545247
2260,0.0499674
2270,0.0556641
2280,0.0506185
2290,0.0515951
2300,0.0480143
2310,0.0555013
2320,0.0566406
2330,0.0514323
2340,0.0546875
2350,0.0493164
2360,0.0548503
2370,0.0541992
2380,0.0473633
2390,0.0515951
2400,0.0563151
2410,0.0493164
2420,0.0545247
2430,0.0579427
2440,0.061849
2450,0.0615234
2460,0.0608724
2470,0.0569661
2480,0.0602214
2490,0.0574544
2500,0.0535482
2510,0.0602214
2520,0.0602214
2530,0.0587565
2540,0.0571289
2550,0.0592448
2560,0.0504557
2570,0.0520833
2580,0.0522461
2590,0.0525716
2600,0.0553385
2610,0.0546875
2620,0.0537109
2630,0.0581055
2640,0.0535482
2650,0.0647786
2660,0.0555013
2670,0.0597331
2680,0.0525716
2690,0.0485026
2700,0.0537109
2710,0.0556641
2720,0.0551758
2730,0.0511068
2740,0.0519206
2750,0.0450846
2760,0.0520833
2770,0.0522461
2780,0.0491536
2790,0.0506185
2800,0.0548503
2810,0.0572917
2820,0.0561523
2830,0.059082
2840,0.0681966
2850,0.0625
2860,0.0655924
2870,0.0615234
2880,0.059082
2890,0.0579427
2900,0.0572917
2910,0.0574544
2920,0.0533854
2930,0.0512695
2940,0.0486654
2950,0.0545247
2960,0.0476888
2970,0.0476888
2980,0.0517578
2990,0.0603841
3000,0.0473633
3010,0.0472005
3020,0.047526
3030,0.047526
3040,0.0517578
3050,0.0530599
3060,0.0488281
3070,0.0470378
3080,0.0506185
3090,0.0532227
3100,0.0519206
3110,0.0532227
3120,0.0541992
3130,0.058431
3140,0.0452474
3150,0.0520833
3160,0.0530599
3170,0.054362
3180,0.0579427
3190,0.0517578
3200,0.0501302
3210,0.0491536
3220,0.0483398
3230,0.047526
3240,0.0511068
3250,0.0457357
3260,0.0470378
3270,0.0551758
3280,0.0517578
3290,0.0483398
3300,0.0442708
3310,0.0480143
3320,0.0411784
3330,0.0491536
3340,0.0491536
3350,0.0439453
3360,0.0488281
3370,0.0558268
3380,0.0519206
3390,0.0528971
3400,0.0514323
3410,0.0467122
3420,0.0514323
3430,0.0499674
3440,0.046875
3450,0.0569661
3460,0.0519206
3470,0.0564779
3480,0.0532227
3490,0.0506185
3500,0.0498047
3510,0.0494792
3520,0.0512695
3530,0.0538737
3540,0.0528971
3550,0.0555013
3560,0.0559896
3570,0.0511068
3580,0.0525716
3590,0.0449219
3600,0.0522461
3610,0.0585938
3620,0.0533854
3630,0.0527344
3640,0.0581055
3650,0.0559896
3660,0.0678711
3670,0.0582682
3680,0.0646159
3690,0.0623372
3700,0.0610352
3710,0.0515951
3720,0.0592448
3730,0.0568034
3740,0.0545247
3750,0.0535482
3760,0.0558268
3770,0.0537109
3780,0.0545247
3790,0.0525716
3800,0.055013
3810,0.0504557
3820,0.0636393
3830,0.0530599
3840,0.054362
3850,0.0537109
3860,0.0535482
3870,0.0540365
3880,0.0546875
3890,0.0535482
3900,0.0532227
3910,0.0541992
3920,0.0555013
3930,0.0540365
3940,0.0571289
3950,0.0607096
3960,0.0551758
3970,0.0564779
3980,0.0515951
3990,0.0532227
4000,0.0556641
4010,0.0561523
