MDTU,abs_delta_S
897,0.09133
898,0.09833
899,0.5542
900,0.5661
901,0.1693
902,0.2714
903,1.236
904,0.2809
905,0.2395
906,0.2439
907,0.7862
908,1.763
909,1.223
910,2.343
911,0.4191
912,0.5581
913,0.8293
914,0.5851
915,0.3433
916,0.9631
917,1.618
918,1.136
919,1.636
920,1.358
921,1.232
922,1.534
923,0.5325
924,1.207
925,1.242
926,0.2357
927,0.4237
928,0.4924
929,0.8014
930,1.031
931,0.116
932,1.464
933,0.8343
934,0.9308
935,1.23
936,1.081
937,0.3214
938,0.5072
939,0.6726
940,1.219
941,0.1739
942,0.5015
943,0.6397
944,0.9244
945,1.144
946,0.9605
947,0.3207
948,0.2591
949,0.6405
950,0.1386
951,0.2456
952,0.1539
953,1.014
954,1.049
955,1.084
956,0.7057
957,0.4412
958,0.4497
959,0.827
960,0.3034
961,0.6979
962,1.397
963,2.086
964,1.325
965,0.3731
966,0.856
967,0.05285
968,0.1936
969,0.9191
970,0.5776
971,0.009306
972,1.089
973,1.487
974,1.825
975,2.809
976,2.554
977,1.383
978,2.279
979,1.278
980,1.386
981,2.002
982,0.5086
983,1.862
984,2.654
985,2.886
986,1.169
987,1.819
988,0.03794
989,0.1566
990,1.717
991,0.7598
992,0.9482
993,0.3542
994,1.056
995,1.058
996,0.08977
997,1.003
998,0.1128
999,0.9484
1000,0.002065
1001,0.06052
1002,0.3379
1003,0.9367
1004,1.776
1005,0.07424
1006,0.6896
1007,0.5855
1008,0.39
1009,1.678
1010,0.7636
1011,0.7116
1012,1.315
1013,0.04787
1014,0.1942
1015,0.2797
1016,0.5016
1017,0.5173
1018,0.7804
1019,2.703
1020,2.68
1021,2.129
1022,2.831
1023,2.491
1024,2.33
1025,2.751
1026,1.895
1027,0.4196
1028,0.5441
1029,0.167
1030,0.4213
1031,0.8202
1032,1.099
1033,0.4347
1034,1.511
1035,0.6015
1036,1.36
1037,1.287
1038,0.967
1039,1.197
1040,1.217
1041,0.4344
1042,1.777
1043,1.293
1044,0.3474
1045,0.985
1046,0.2807
1047,0.05282
1048,1.329
1049,0.2887
1050,0.6913
1051,1.571
1052,0.02214
1053,0.2926
1054,1.089
1055,2.037
1056,1.134
1057,0.2776
1058,0.9987
1059,0.04835
1060,1.191
1061,1.798
1062,0.8109
1063,1.341
1064,1.088
1065,0.2691
1066,1.149
1067,0.9615
1068,0.9782
1069,0.8914
1070,0.9553
1071,0.538
1072,0.3757
1073,0.7766
1074,0.3179
1075,1.134
1076,1.862
1077,0.03032
1078,0.4822
1079,0.01878
1080,2.431
1081,0.1299
1082,1.137
1083,1.573
1084,1.498
1085,1.996
1086,1.656
1087,2.969
1088,1.036
1089,2.832
1090,3.703
1091,1.233
1092,2.983
1093,3.561
1094,0.7839
1095,3.753
1096,2.552
1097,1.183
1098,0.9305
1099,2.84
1100,1.866
1101,1.028
1102,1.443
1103,2.593
1104,2.369
1105,2.377
