t,e^(-dS)
607,0.045411
608,0.449419
609,0.511044
610,0.154124
611,11.8343
612,0.203722
613,0.101368
614,1.91746
615,6.91712
616,0.241231
617,1.16824
618,0.442241
619,0.6423
620,0.727967
621,2.1935
622,0.328243
623,0.41682
624,1.06955
625,0.335209
626,1.65682
627,0.149569
628,1.07539
629,0.640568
630,0.1352
631,0.857101
632,0.920222
633,0.293464
634,0.043893
635,0.141564
636,2.41283
637,0.110914
638,0.161864
639,0.397127
640,0.513246
641,1.12772
642,0.349588
643,0.428356
644,1.5669
645,0.590432
646,0.368579
647,0.485003
648,3.13616
649,1.26314
650,0.131994
651,0.650509
652,0.265272
653,0.505099
654,0.379994
655,0.902668
656,1.14557
657,0.249325
658,1.94332
659,0.562874
660,2.23826
661,0.837361
662,1.72858
663,0.29671
664,4.20805
665,0.463384
666,0.0916297
667,0.422697
668,0.110361
669,0.368948
670,0.807752
671,1.89781
672,0.871883
673,0.42686
674,0.702788
675,2.03318
676,3.21877
677,0.579958
678,0.200488
679,0.375912
680,0.557329
681,1.79912
682,1.47654
683,0.724336
684,0.673411
685,1.29706
686,0.525503
687,0.520378
688,0.413871
689,0.225824
690,0.748039
691,1.57035
692,0.392664
693,0.728549
694,0.346456
695,0.457719
696,0.0677453
697,0.167127
698,0.208462
699,1.8296
700,0.436835
701,0.117302
702,0.148377
703,1.56408
704,0.573384
705,0.563944
706,0.636481
707,0.495891
708,1.17621
709,0.794136
710,0.518456
711,1.71395
712,1.56721
713,0.51587
714,0.813264
715,0.897897
716,1.8143
717,0.73764
718,0.744755
719,1.76086
720,0.991663
721,0.764525
722,7.50823
723,0.096424
724,0.273077
725,0.0327124
726,0.475114
727,0.408036
728,0.314114
729,0.184151
730,0.987212
731,2.07695
732,1.98516
733,0.677802
734,0.743267
735,4.25034
736,0.110803
737,0.128864
738,0.257432
739,0.127072
740,2.50979
741,0.380336
742,0.339596
743,0.522986
744,0.273077
745,0.982416
746,0.344383
747,0.719355
748,0.391841
749,0.449689
750,0.523457
751,0.938521
752,3.14244
753,0.737566
754,0.774916
755,2.12145
756,0.884794
757,0.364948
758,3.36693
759,0.415696
760,1.04321
761,1.20804
762,0.394356
763,0.367512
764,0.375048
765,1.00684
766,0.376778
767,0.334205
768,0.503284
769,0.315688
770,1.3395
771,2.7871
772,0.543731
773,0.243169
774,1.33496
775,0.583973
776,1.73707
777,2.55359
778,0.261061
779,1.2537
780,0.280551
781,0.821191
782,0.527556
783,2.64217
784,0.347844
785,0.0699482
786,0.260279
787,0.741263
788,0.715267
789,0.664912
790,1.46507
791,1.23208
792,3.45561
793,0.67882
794,1.45995
795,0.193592
796,0.988961
797,0.327915
798,0.0517154
799,10.1655
