T,G,F
380,0.0106,0.02246
381,0.01061,0.02242
382,0.01059,0.02246
383,0.01059,0.02248
384,0.0106,0.02243
385,0.01059,0.02246
386,0.01059,0.02251
387,0.01059,0.02247
388,0.01059,0.02245
389,0.01057,0.02245
390,0.01059,0.02243
391,0.01057,0.02246
392,0.01059,0.02248
393,0.0106,0.02241
394,0.0106,0.02247
395,0.01058,0.02244
396,0.01058,0.02245
397,0.01057,0.02247
398,0.01057,0.02243
399,0.01058,0.02245
400,0.01058,0.02244
401,0.01059,0.02242
402,0.0106,0.02242
403,0.01059,0.0224
404,0.01061,0.0224
405,0.01061,0.02242
406,0.01061,0.0224
407,0.01059,0.02241
408,0.01059,0.02241
409,0.01059,0.02233
410,0.0106,0.02243
411,0.0106,0.02246
412,0.0106,0.02237
413,0.0106,0.02242
414,0.01059,0.0224
415,0.01061,0.02239
416,0.01062,0.02242
417,0.0106,0.02246
418,0.0106,0.02242
419,0.01062,0.02238
420,0.01061,0.0224
421,0.01061,0.02238
422,0.01061,0.0224
423,0.01061,0.02239
424,0.01061,0.02236
425,0.01061,0.02239
426,0.0106,0.02236
427,0.01062,0.02241
428,0.01061,0.02244
429,0.01061,0.02239
430,0.0106,0.02239
431,0.0106,0.02241
432,0.01061,0.02239
433,0.01059,0.02238
434,0.0106,0.02241
435,0.0106,0.02241
436,0.0106,0.02237
437,0.0106,0.02237
438,0.0106,0.02237
439,0.01061,0.02236
440,0.0106,0.02229
441,0.01062,0.0223
442,0.01063,0.02227
443,0.01062,0.02234
444,0.01059,0.02239
445,0.01059,0.02239
446,0.01063,0.02238
447,0.01062,0.02238
448,0.0106,0.02242
449,0.01061,0.02236
450,0.01061,0.02239
451,0.01061,0.02239
452,0.01061,0.02236
453,0.01061,0.02237
454,0.01062,0.02232
455,0.01061,0.02234
456,0.01061,0.02233
457,0.01061,0.02235
458,0.01061,0.02237
459,0.01061,0.02237
460,0.0106,0.02236
461,0.0106,0.02239
462,0.01061,0.02238
463,0.0106,0.02246
464,0.01061,0.02236
465,0.0106,0.02242
466,0.0106,0.02243
467,0.0106,0.02238
468,0.0106,0.02241
469,0.01059,0.02239
470,0.01058,0.02245
471,0.01058,0.02243
472,0.01059,0.02244
473,0.0106,0.02246
474,0.0106,0.0224
475,0.01062,0.02245
476,0.01059,0.02244
477,0.0106,0.02246
478,0.0106,0.02248
479,0.01059,0.02243
480,0.01059,0.02247
481,0.01059,0.02243
482,0.01059,0.02241
483,0.01059,0.02244
484,0.01062,0.02245
485,0.01058,0.02237
486,0.01059,0.02243
487,0.0106,0.02244
488,0.01059,0.02238
489,0.0106,0.02243
490,0.0106,0.02243
491,0.01061,0.02244
492,0.01058,0.02242
493,0.01059,0.02247
494,0.0106,0.02245
495,0.0106,0.02246
496,0.0106,0.02244
497,0.01058,0.02251
498,0.01058,0.02246
499,0.01058,0.02248
500,0.01057,0.02246
501,0.01056,0.02242
502,0.01057,0.02252
503,0.01058,0.02249
504,0.01059,0.0225
505,0.01058,0.02247
506,0.01057,0.02246
507,0.01057,0.02248
508,0.01056,0.02256
509,0.01058,0.02245
510,0.01058,0.0225
511,0.01059,0.02253
512,0.01059,0.02257
513,0.01056,0.02251
514,0.01055,0.02261
515,0.01057,0.02253
516,0.01056,0.02257
517,0.01057,0.0226
518,0.01056,0.02259
519,0.01056,0.02262
520,0.01055,0.02256
521,0.01058,0.02257
522,0.01057,0.0226
523,0.01055,0.02258
524,0.01056,0.02263
525,0.01057,0.02258
526,0.01055,0.0226
527,0.01057,0.02256
528,0.01056,0.02261
529,0.01055,0.02261
530,0.01056,0.02254
531,0.01058,0.02255
532,0.01057,0.0226
533,0.01057,0.02262
534,0.01057,0.02255
535,0.01057,0.02253
536,0.01059,0.02258
537,0.01056,0.02252
538,0.01057,0.02252
539,0.01057,0.02253
540,0.01056,0.02254
541,0.01058,0.0226
542,0.01058,0.0226
543,0.01058,0.02255
544,0.01057,0.02252
545,0.01057,0.02257
546,0.01059,0.02254
547,0.01058,0.02256
548,0.01057,0.02256
549,0.01057,0.0225
550,0.01058,0.02252
551,0.01058,0.02249
552,0.01057,0.02245
553,0.01058,0.02251
554,0.01057,0.02243
555,0.01058,0.02252
556,0.01058,0.02247
557,0.01057,0.02245
558,0.01058,0.02248
559,0.01059,0.02247
560,0.01058,0.02243
561,0.01058,0.02244
562,0.01058,0.02246
563,0.01059,0.02245
564,0.01058,0.02245
565,0.0106,0.02246
566,0.01061,0.02242
567,0.01059,0.0225
568,0.01059,0.02245
569,0.01058,0.02248
570,0.01059,0.02247
571,0.01059,0.02247
572,0.01059,0.02249
573,0.0106,0.02243
574,0.01059,0.02244
575,0.01059,0.02247
576,0.01059,0.0225
577,0.01059,0.02247
578,0.01059,0.02247
579,0.01059,0.02245
580,0.0106,0.0225
581,0.01059,0.02252
582,0.0106,0.02248
583,0.01061,0.02245
584,0.0106,0.0225
585,0.0106,0.02249
586,0.01059,0.02248
587,0.01062,0.02245
588,0.0106,0.02246
589,0.0106,0.02243
590,0.01061,0.02251
591,0.01059,0.0224
592,0.01059,0.02242
593,0.0106,0.02245
594,0.01059,0.02245
595,0.0106,0.02243
596,0.0106,0.02245
597,0.01059,0.02245
598,0.0106,0.02245
599,0.0106,0.0224
600,0.01058,0.02239
601,0.0106,0.02242
602,0.01059,0.0224
603,0.0106,0.02247
604,0.01059,0.02245
605,0.0106,0.0224
606,0.0106,0.0224
607,0.0106,0.02245
608,0.01059,0.02245
609,0.01058,0.02241
610,0.01059,0.02241
611,0.0106,0.02239
612,0.0106,0.02238
613,0.0106,0.02242
614,0.01061,0.02241
615,0.01059,0.0224
616,0.01061,0.02239
617,0.01059,0.02243
618,0.01058,0.02246
619,0.01059,0.02237
620,0.01058,0.02246
621,0.01059,0.02239
622,0.0106,0.02241
623,0.01059,0.0224
624,0.01059,0.02236
625,0.01059,0.02244
626,0.01061,0.02234
627,0.01062,0.02239
628,0.01061,0.02235
629,0.01061,0.02239
630,0.0106,0.02241
631,0.01059,0.02241
632,0.0106,0.02238
633,0.0106,0.02241
634,0.01061,0.02241
635,0.0106,0.0224
636,0.01059,0.02236
637,0.0106,0.02238
638,0.0106,0.02241
639,0.01059,0.02239
640,0.01061,0.02241
641,0.01061,0.02241
642,0.01061,0.02237
643,0.01059,0.02233
644,0.01061,0.02238
645,0.01059,0.02246
646,0.0106,0.02239
647,0.01059,0.02239
648,0.01058,0.02243
649,0.01059,0.02243
650,0.01058,0.02243
651,0.01058,0.02248
652,0.01058,0.02254
653,0.01059,0.0225
654,0.01058,0.02243
655,0.01058,0.02248
656,0.01059,0.02245
657,0.01057,0.02245
658,0.01058,0.02247
659,0.01056,0.02248
660,0.01058,0.02237
661,0.01058,0.02244
662,0.01058,0.02248
663,0.01059,0.02245
664,0.01057,0.02243
665,0.01059,0.02249
666,0.0106,0.02246
667,0.01059,0.02247
668,0.01059,0.02244
669,0.01059,0.02246
670,0.01059,0.02247
671,0.01058,0.02243
672,0.01058,0.02241
673,0.01058,0.02242
674,0.01059,0.0224
675,0.01059,0.02245
676,0.01059,0.02247
677,0.0106,0.02243
678,0.01061,0.02246
679,0.01061,0.02241
680,0.0106,0.02245
681,0.01061,0.02256
682,0.01058,0.02246
683,0.01055,0.02247
684,0.01056,0.0225
685,0.01057,0.02247
686,0.01059,0.02245
687,0.01057,0.02248
688,0.01059,0.02247
689,0.01058,0.02243
690,0.01059,0.02246
691,0.01059,0.02246
692,0.01059,0.02248
693,0.01059,0.02248
694,0.01058,0.02251
695,0.01057,0.02249
696,0.0106,0.02243
697,0.01059,0.02242
698,0.01059,0.02243
699,0.01059,0.02247
700,0.01059,0.02245
701,0.01058,0.02246
702,0.01062,0.02244
703,0.01059,0.02244
704,0.01059,0.02242
705,0.01058,0.02239
706,0.01057,0.02241
707,0.01059,0.02243
708,0.0106,0.02242
709,0.01059,0.0224
710,0.01058,0.02245
711,0.01059,0.02242
712,0.01058,0.02244
713,0.01059,0.02237
714,0.01059,0.02247
715,0.01059,0.02245
716,0.01058,0.02245
717,0.01058,0.02245
718,0.01059,0.02248
719,0.01058,0.02246
720,0.0106,0.0225
721,0.01058,0.02249
722,0.01058,0.02249
723,0.01057,0.02247
724,0.01057,0.02252
725,0.01057,0.02249
726,0.01059,0.02254
727,0.01058,0.02252
728,0.01059,0.02249
729,0.01058,0.02253
730,0.01058,0.0225
731,0.01058,0.02248
732,0.01056,0.02247
733,0.01057,0.02252
734,0.01059,0.02251
735,0.01058,0.02253
736,0.01058,0.02248
737,0.01056,0.02246
738,0.01056,0.02252
739,0.01057,0.02247
740,0.01056,0.02248
741,0.01057,0.02251
742,0.01058,0.02247
743,0.01058,0.02246
744,0.01059,0.02245
745,0.01057,0.02249
746,0.01057,0.02254
747,0.01059,0.02245
748,0.0106,0.02247
749,0.01058,0.02254
750,0.0106,0.02248
751,0.0106,0.02244
752,0.01058,0.02248
753,0.01058,0.02246
754,0.01057,0.02253
755,0.01058,0.02248
756,0.01058,0.02251
757,0.01058,0.02246
758,0.01058,0.02243
759,0.01059,0.02243
760,0.0106,0.02251
761,0.01059,0.0225
762,0.01057,0.02249
763,0.01059,0.02248
764,0.01058,0.02248
765,0.01059,0.02247
766,0.01058,0.02243
767,0.01058,0.02246
768,0.01058,0.0224
769,0.01059,0.02244
770,0.01058,0.02247
771,0.01058,0.02244
772,0.01061,0.02243
773,0.01059,0.02243
774,0.01058,0.02243
775,0.01059,0.02252
776,0.01057,0.02248
777,0.01058,0.02243
778,0.01057,0.02248
779,0.01056,0.02247
780,0.01057,0.02249
781,0.01058,0.02247
782,0.01057,0.02251
783,0.01058,0.02242
784,0.01059,0.02252
785,0.01057,0.02246
786,0.01058,0.02251
787,0.01057,0.02249
788,0.01056,0.02249
789,0.01056,0.0225
790,0.01059,0.02255
791,0.01058,0.02253
792,0.01057,0.02252
793,0.01057,0.02252
794,0.01057,0.02255
795,0.01056,0.02253
796,0.01058,0.02248
797,0.01057,0.0225
798,0.01058,0.02244
799,0.01058,0.0224
800,0.01058,0.02245
801,0.01057,0.02248
802,0.01056,0.02252
803,0.01058,0.02245
804,0.01058,0.02247
805,0.01059,0.02248
806,0.01058,0.0224
807,0.01059,0.02251
808,0.01059,0.02241
809,0.01059,0.02247
810,0.0106,0.02242
811,0.01059,0.0224
812,0.01061,0.02246
813,0.01057,0.02244
814,0.0106,0.02242
815,0.0106,0.02243
816,0.0106,0.02239
817,0.01061,0.02241
818,0.01063,0.02244
819,0.0106,0.02243
820,0.01058,0.02237
821,0.0106,0.02242
822,0.01058,0.02242
823,0.0106,0.02244
824,0.0106,0.02239
825,0.0106,0.02243
826,0.0106,0.02239
827,0.01061,0.02244
828,0.0106,0.02244
829,0.0106,0.02245
830,0.01059,0.02244
831,0.01059,0.02246
832,0.01061,0.02248
833,0.01059,0.02244
834,0.01059,0.02243
835,0.01059,0.02251
836,0.01061,0.02247
837,0.01061,0.02246
838,0.01059,0.02243
839,0.01059,0.02244
840,0.01059,0.02239
841,0.01058,0.02243
842,0.0106,0.02239
843,0.0106,0.02239
844,0.0106,0.02241
845,0.01059,0.02248
846,0.0106,0.02243
847,0.01058,0.02242
848,0.01057,0.02246
849,0.01056,0.02245
850,0.01059,0.02245
851,0.01058,0.02244
852,0.01059,0.02247
853,0.01062,0.02246
854,0.01059,0.02241
855,0.01058,0.02245
856,0.01058,0.02253
857,0.01057,0.02247
858,0.01058,0.02247
859,0.01057,0.02251
860,0.01056,0.02253
861,0.01058,0.02251
862,0.01058,0.02244
863,0.01059,0.02244
864,0.01058,0.0225
865,0.01058,0.02246
866,0.01059,0.02253
867,0.01058,0.02242
868,0.01059,0.02252
869,0.01058,0.0225
870,0.0106,0.02249
871,0.01058,0.02249
872,0.01059,0.02247
873,0.01059,0.02245
874,0.01059,0.02247
875,0.01057,0.02255
876,0.01058,0.02251
877,0.0106,0.02254
878,0.01057,0.0225
879,0.01056,0.02254
880,0.01057,0.0225
881,0.01058,0.02256
882,0.01058,0.02252
883,0.01057,0.02256
884,0.01058,0.02246
885,0.01057,0.02252
886,0.01057,0.0225
887,0.01057,0.02249
888,0.01057,0.02246
889,0.01058,0.0225
890,0.01058,0.02249
891,0.01057,0.02245
892,0.01058,0.02248
893,0.01059,0.02245
894,0.01058,0.02245
895,0.01058,0.02251
896,0.01058,0.02248
897,0.01058,0.02255
898,0.01058,0.0225
899,0.01058,0.02246
900,0.01059,0.02247
901,0.0106,0.02243
902,0.01058,0.02247
903,0.01058,0.02254
904,0.01059,0.02253
905,0.01057,0.0225
906,0.01057,0.02246
907,0.01059,0.02247
908,0.01059,0.02245
909,0.01059,0.02247
910,0.01058,0.02241
911,0.01059,0.02244
912,0.01057,0.02241
913,0.01058,0.02244
914,0.01059,0.02246
915,0.0106,0.02236
916,0.0106,0.02243
917,0.01059,0.02244
918,0.01059,0.02243
919,0.01059,0.02243
920,0.0106,0.0224
921,0.0106,0.02242
922,0.01059,0.02245
923,0.01059,0.02237
924,0.01061,0.02245
925,0.01059,0.02242
926,0.0106,0.02241
927,0.01059,0.02242
928,0.01059,0.02245
929,0.01059,0.0224
930,0.01061,0.02243
931,0.01061,0.0224
932,0.01062,0.02238
933,0.01061,0.02242
934,0.01059,0.02246
935,0.01059,0.02238
936,0.0106,0.0224
937,0.0106,0.02241
938,0.01061,0.02242
939,0.01059,0.0224
940,0.0106,0.0224
941,0.01061,0.02251
942,0.01059,0.02241
943,0.01059,0.0224
944,0.0106,0.02239
945,0.0106,0.02243
946,0.01058,0.0224
947,0.01061,0.02243
948,0.0106,0.02243
949,0.01059,0.02245
