ReTr(Lx),ImTr(Lx)
0.0943916,0.041739
0.125894,0.0477249
0.125894,0.0477249
0.162039,-0.036287
0.162039,-0.036287
0.162039,-0.036287
0.162039,-0.036287
0.162039,-0.036287
0.107762,-0.00451551
0.125504,-0.0177845
0.125504,-0.0177845
0.125504,-0.0177845
0.0304065,0.0797092
0.0304065,0.0797092
0.0304065,0.0797092
0.0304065,0.0797092
0.0304065,0.0797092
0.0304065,0.0797092
0.0304065,0.0797092
0.0304065,0.0797092
0.0304065,0.0797092
0.0304065,0.0797092
0.0914885,0.0396261
-0.0140735,-0.0612674
0.0106731,-0.0139107
0.0430274,0.0610668
0.0535071,-0.0153391
0.0535071,-0.0153391
0.0535071,-0.0153391
0.0535071,-0.0153391
-0.0376027,0.0844539
0.0752006,-0.0114171
0.0752006,-0.0114171
0.0752006,-0.0114171
0.0473591,0.0717396
-0.0325721,-0.0451732
-0.0264312,0.009596
-0.018281,-0.0444112
-0.00728647,-0.0522318
-0.00784171,0.112909
-0.0626982,0.0893925
-0.0839737,0.127425
-0.0839737,0.127425
-0.0839737,0.127425
-0.0841207,0.0884407
-0.0492686,0.134967
-0.115248,0.0810605
-0.115248,0.0810605
-0.115248,0.0810605
-0.115248,0.0810605
-0.115248,0.0810605
0.0131568,0.0382429
0.0131568,0.0382429
0.0391107,-0.106826
0.0391107,-0.106826
0.0391107,-0.106826
0.0391107,-0.106826
0.0356364,-0.0655677
0.0675021,0.00860358
0.0675021,0.00860358
0.0675021,0.00860358
0.0675021,0.00860358
0.0104098,0.00838487
0.0104098,0.00838487
0.0104098,0.00838487
0.0104098,0.00838487
0.0104098,0.00838487
0.0104098,0.00838487
0.00603871,0.00322475
0.00603871,0.00322475
0.00603871,0.00322475
0.00603871,0.00322475
0.00603871,0.00322475
-0.0334293,0.0185966
-0.0522216,0.0343277
-0.0759641,0.0179379
-0.0635296,0.161135
0.0439783,0.096944
0.0439783,0.096944
0.0791822,0.0998025
0.0791822,0.0998025
-0.00257452,0.0163824
-0.00257452,0.0163824
0.0390581,0.0300829
0.0390581,0.0300829
0.0608534,0.152599
0.0442357,0.117918
0.070418,0.140286
0.103486,0.176975
0.103486,0.176975
0.103486,0.176975
0.103486,0.176975
0.0559593,0.183214
0.0536469,0.0914104
0.0536469,0.0914104
-0.00672302,0.0962735
0.0307551,0.120437
0.0217271,0.196319
-0.0401133,0.184635
-0.0401133,0.184635
-0.0160626,0.118526
-0.0826631,0.145285
-0.0719792,0.220565
-0.148735,0.131395
-0.183298,0.114183
-0.105773,0.0889229
-0.105773,0.0889229
0.0095882,0.127859
0.0095882,0.127859
0.00148589,0.118371
0.0136349,0.00760931
0.0136349,0.00760931
0.0136349,0.00760931
0.0136349,0.00760931
0.0136349,0.00760931
0.00833689,0.00301943
0.00833689,0.00301943
0.00833689,0.00301943
-0.0327166,-0.00306768
-0.0327166,-0.00306768
-0.0327166,-0.00306768
-0.042268,0.0154848
-0.0627845,0.0202316
-0.0627845,0.0202316
-0.0627845,0.0202316
-0.0627845,0.0202316
-0.111285,0.00800206
-0.107961,0.106588
-0.107961,0.106588
-0.192204,0.0360249
-0.192204,0.0360249
-0.151581,0.0279642
-0.151581,0.0279642
-0.0933122,-0.031122
0.00214588,-0.0550369
