MDTU,plaq,Re(det),Im(det),link
221,3.78512,0.651503,0.26999,0.183167
222,3.78512,0.651503,0.26999,0.183167
223,3.77616,0.651141,0.268773,0.18449
224,3.76983,0.65782,0.270674,0.188265
225,3.77384,0.662424,0.276505,0.189378
226,3.77314,0.651382,0.280744,0.187283
227,3.77723,0.644187,0.269285,0.178354
228,3.76967,0.652665,0.272244,0.181984
229,3.79007,0.655391,0.27513,0.176776
230,3.79007,0.655391,0.27513,0.176776
231,3.79007,0.655391,0.27513,0.176776
232,3.79007,0.655391,0.27513,0.176776
233,3.78121,0.658673,0.271804,0.173117
234,3.77906,0.662679,0.279385,0.180608
235,3.77906,0.662679,0.279385,0.180608
236,3.77906,0.662679,0.279385,0.180608
237,3.77906,0.662679,0.279385,0.180608
238,3.77906,0.662679,0.279385,0.180608
239,3.77906,0.662679,0.279385,0.180608
240,3.77906,0.662679,0.279385,0.180608
241,3.799,0.658026,0.273466,0.17166
242,3.80176,0.648746,0.271202,0.172244
243,3.80176,0.648746,0.271202,0.172244
244,3.80499,0.662918,0.284338,0.17136
245,3.78805,0.665761,0.271801,0.170604
246,3.80051,0.649154,0.274084,0.16484
247,3.79106,0.662167,0.281515,0.171889
248,3.79106,0.662167,0.281515,0.171889
249,3.79106,0.662167,0.281515,0.171889
250,3.79059,0.66045,0.281489,0.170425
251,3.80252,0.643643,0.27356,0.167253
252,3.78231,0.654112,0.286289,0.174066
253,3.78827,0.644809,0.272637,0.174194
254,3.7847,0.642897,0.274425,0.175033
255,3.78552,0.641221,0.27247,0.173359
256,3.79272,0.643413,0.265129,0.165988
257,3.79272,0.643413,0.265129,0.165988
258,3.79428,0.659982,0.275739,0.173701
259,3.79428,0.659982,0.275739,0.173701
260,3.79428,0.659982,0.275739,0.173701
261,3.79428,0.659982,0.275739,0.173701
262,3.79428,0.659982,0.275739,0.173701
263,3.79428,0.659982,0.275739,0.173701
264,3.79428,0.659982,0.275739,0.173701
265,3.78876,0.651541,0.281151,0.17274
266,3.78876,0.651541,0.281151,0.17274
267,3.78273,0.646911,0.264647,0.174939
268,3.78273,0.646911,0.264647,0.174939
269,3.78273,0.646911,0.264647,0.174939
270,3.78273,0.646911,0.264647,0.174939
271,3.78894,0.640633,0.27641,0.171505
272,3.78485,0.636606,0.270894,0.171566
273,3.77635,0.637545,0.270636,0.172972
274,3.788,0.632065,0.26997,0.174659
275,3.788,0.632065,0.26997,0.174659
276,3.77585,0.640566,0.270439,0.184319
277,3.77475,0.64217,0.270341,0.190003
278,3.77005,0.65725,0.278954,0.188941
279,3.77005,0.65725,0.278954,0.188941
280,3.77005,0.65725,0.278954,0.188941
281,3.77923,0.661324,0.279631,0.183055
282,3.77923,0.661324,0.279631,0.183055
283,3.77923,0.661324,0.279631,0.183055
284,3.77923,0.661324,0.279631,0.183055
285,3.77923,0.661324,0.279631,0.183055
286,3.77923,0.661324,0.279631,0.183055
287,3.77171,0.668667,0.284685,0.187209
288,3.77171,0.668667,0.284685,0.187209
289,3.77171,0.668667,0.284685,0.187209
290,3.78312,0.661285,0.281067,0.186133
291,3.78879,0.654327,0.273425,0.182926
292,3.78879,0.654327,0.273425,0.182926
293,3.77407,0.667308,0.282798,0.182707
294,3.77407,0.667308,0.282798,0.182707
295,3.78533,0.658562,0.294099,0.177173
296,3.78533,0.658562,0.294099,0.177173
297,3.7929,0.643994,0.267432,0.17188
298,3.7929,0.643994,0.267432,0.17188
299,3.79707,0.644574,0.268389,0.176218
300,3.79707,0.644574,0.268389,0.176218
301,3.79042,0.654795,0.271024,0.183106
302,3.79042,0.654795,0.271024,0.183106
303,3.77312,0.671315,0.277442,0.187384
304,3.77312,0.671315,0.277442,0.187384
