MDTU,|det-1|^2,1-Re(det),Im(det)
238,1.01963,-0.00312,0.00266564
239,1.01963,-0.00312,0.00266564
240,1.01963,-0.00312,0.00266564
241,0.99862,0.004287,-0.00350487
242,0.948042,-2e-05,0.00208888
243,0.948042,-2e-05,0.00208888
244,1.02619,-0.00584,-0.000562164
245,1.02749,0.002698,0.00147114
246,0.955439,0.00026,0.000855198
247,1.02339,-0.00167,-0.00357237
248,1.02339,-0.00167,-0.00357237
249,1.02339,-0.00167,-0.00357237
250,1.01648,-0.00116,0.00137493
251,0.930102,-0.00019,0.00177517
252,1.00261,0.00228,0.00449309
253,0.934457,0.000538,-0.00339797
254,0.931693,0.002097,0.00288755
255,0.920196,0.00155,-0.00641859
256,0.919651,0.00385,0.00548005
257,0.919651,0.00385,0.00548005
258,0.989481,-0.01137,-0.00307551
259,0.989481,-0.01137,-0.00307551
260,0.989481,-0.01137,-0.00307551
261,0.989481,-0.01137,-0.00307551
262,0.989481,-0.01137,-0.00307551
263,0.989481,-0.01137,-0.00307551
264,0.989481,-0.01137,-0.00307551
265,0.981104,0.001854,0.00177394
266,0.981104,0.001854,0.00177394
267,0.925433,-0.00215,0.000606837
268,0.925433,-0.00215,0.000606837
269,0.925433,-0.00215,0.000606837
270,0.925433,-0.00215,0.000606837
271,0.92926,0.004673,0.00252706
272,0.902558,0.005033,-0.00147642
273,0.907331,0.005925,-0.000668737
274,0.885135,0.00749,-0.000257127
275,0.885135,0.00749,-0.000257127
276,0.920585,0.006451,-0.000401597
277,0.93048,0.008741,0.000421018
278,0.998805,-0.00036,-0.00170492
279,0.998805,-0.00036,-0.00170492
280,0.998805,-0.00036,-0.00170492
281,1.01492,-0.00254,0.000217032
282,1.01492,-0.00254,0.000217032
283,1.01492,-0.00254,0.000217032
284,1.01492,-0.00254,0.000217032
285,1.01492,-0.00254,0.000217032
286,1.01492,-0.00254,0.000217032
287,1.05727,-0.00234,0.00297657
288,1.05727,-0.00234,0.00297657
289,1.05727,-0.00234,0.00297657
290,1.0146,-0.00457,0.0014332
291,0.979029,0.001913,-6.5181e-05
292,0.979029,0.001913,-6.5181e-05
293,1.05592,0.003574,0.000938723
294,1.05592,0.003574,0.000938723
295,1.04405,0.007172,-0.000312017
296,1.04405,0.007172,-0.000312017
297,0.924268,0.002457,0.00156327
298,0.924268,0.002457,0.00156327
299,0.928345,0.002367,-0.0017626
300,0.928345,0.002367,-0.0017626
301,0.972161,-0.00134,-0.0022527
302,0.972161,-0.00134,-0.0022527
303,1.05454,-0.00304,-0.000793163
304,1.05454,-0.00304,-0.000793163
305,1.05454,-0.00304,-0.000793163
306,1.05454,-0.00304,-0.000793163
307,0.983654,0.000193,-0.00461546
308,0.983654,0.000193,-0.00461546
309,0.983654,0.000193,-0.00461546
310,0.97883,0.000801,-0.000886228
311,1.05443,-0.00188,-0.00588119
312,1.05443,-0.00188,-0.00588119
313,0.962722,-0.00138,0.000570468
314,0.962722,-0.00138,0.000570468
315,0.962722,-0.00138,0.000570468
316,0.962722,-0.00138,0.000570468
317,0.962722,-0.00138,0.000570468
318,0.929775,0.001872,-0.00128528
319,0.874158,-0.00059,-0.0014058
320,0.874158,-0.00059,-0.0014058
321,0.874158,-0.00059,-0.0014058
322,0.874158,-0.00059,-0.0014058
323,0.896406,0.002724,-0.00268248
324,0.896406,0.002724,-0.00268248
325,0.878616,0.003692,-0.00399888
326,0.855727,0.004094,-0.000761113
327,0.853087,0.007177,0.00136159
328,0.917891,0.006872,-0.00298004
329,0.904097,0.006146,-0.00155688
330,0.851174,0.004466,0.000633479
331,0.856883,0.00285,0.00123473
332,0.893333,-0.00566,0.000989592
333,0.893333,-0.00566,0.000989592
334,0.893333,-0.00566,0.000989592
335,0.893333,-0.00566,0.000989592
336,0.893333,-0.00566,0.000989592
337,0.893333,-0.00566,0.000989592
338,0.893333,-0.00566,0.000989592
339,0.893333,-0.00566,0.000989592
340,0.893333,-0.00566,0.000989592
341,0.863395,0.008722,-0.00119798
342,0.957906,-0.00475,0.00325609
343,0.975155,-0.00378,0.00441091
344,0.975155,-0.00378,0.00441091
345,0.975155,-0.00378,0.00441091
346,1.03278,-0.00573,-0.00329043
347,1.03278,-0.00573,-0.00329043
348,1.03278,-0.00573,-0.00329043
349,1.03278,-0.00573,-0.00329043
350,0.990607,0.002894,-0.00331619
351,1.01582,0.006542,-0.00143166
352,1.00116,0.002981,-0.000153892
353,1.02873,0.005498,-0.000266371
354,1.03181,0.001539,-0.00275864
355,1.05521,-0.00093,0.00136622
356,1.00228,-6e-05,-0.000917737
357,1.03437,0.002999,-0.00181049
358,1.04553,0.003803,0.00425906
359,1.04891,-0.00144,-0.0011244
360,1.04891,-0.00144,-0.0011244
361,1.01068,0.008524,-0.000145567
362,0.955092,0.003715,-0.00137679
363,0.995271,0.000896,0.000224467
364,0.995271,0.000896,0.000224467
365,0.995525,-0.00509,-0.00341185
366,0.995525,-0.00509,-0.00341185
367,0.995525,-0.00509,-0.00341185
368,0.995525,-0.00509,-0.00341185
