MDTU,min_ave,max_ave
640,-0.186612,0.171109
641,-0.182647,0.171638
642,-0.185958,0.169135
643,-0.181124,0.171667
644,-0.18419,0.174271
645,-0.187278,0.172778
646,-0.183334,0.175099
647,-0.187333,0.171971
648,-0.184215,0.172667
649,-0.185996,0.172663
650,-0.183263,0.170721
651,-0.180405,0.169714
652,-0.1845,0.172016
653,-0.189089,0.171015
654,-0.181331,0.172517
655,-0.180822,0.173466
656,-0.191761,0.172717
657,-0.185081,0.17567
658,-0.186013,0.170276
659,-0.18701,0.174135
660,-0.180428,0.173015
661,-0.186407,0.17008
662,-0.184949,0.172807
663,-0.188352,0.17296
664,-0.185329,0.173281
665,-0.185241,0.173158
666,-0.184234,0.172896
667,-0.181736,0.172689
668,-0.181736,0.172689
669,-0.186235,0.170546
670,-0.183454,0.172649
671,-0.181354,0.170791
672,-0.18413,0.172547
673,-0.185781,0.169063
674,-0.187528,0.173405
675,-0.183602,0.173015
676,-0.185659,0.172921
677,-0.182332,0.172294
678,-0.187307,0.175475
679,-0.187161,0.171551
680,-0.18781,0.176393
681,-0.187344,0.172128
682,-0.186192,0.173176
683,-0.18588,0.174798
684,-0.185266,0.173441
685,-0.187881,0.174953
686,-0.186501,0.17435
687,-0.184848,0.173989
688,-0.188943,0.171789
689,-0.185956,0.174834
690,-0.187712,0.173207
691,-0.185964,0.173791
692,-0.190366,0.174436
693,-0.188937,0.177685
694,-0.191586,0.177604
695,-0.194587,0.177468
696,-0.188772,0.178263
697,-0.197015,0.17679
698,-0.190103,0.177672
699,-0.191477,0.180655
700,-0.192618,0.179163
701,-0.191954,0.179517
702,-0.194942,0.177685
703,-0.191064,0.176462
704,-0.188769,0.17619
705,-0.191618,0.175388
706,-0.191192,0.173183
707,-0.182412,0.173268
708,-0.185976,0.169919
709,-0.184109,0.171267
710,-0.184709,0.169673
711,-0.182909,0.171999
712,-0.18491,0.169226
713,-0.179264,0.171637
714,-0.184032,0.171557
715,-0.185289,0.172177
716,-0.186097,0.174283
717,-0.185785,0.175332
718,-0.186749,0.174256
719,-0.184207,0.172517
720,-0.18816,0.175289
721,-0.185099,0.171341
722,-0.186574,0.174466
723,-0.187105,0.174623
724,-0.186555,0.172938
725,-0.183235,0.174594
726,-0.188092,0.172795
727,-0.186834,0.175571
728,-0.187985,0.170622
729,-0.186791,0.175539
730,-0.187053,0.175055
731,-0.189471,0.172572
732,-0.184715,0.172778
733,-0.188255,0.170402
734,-0.187923,0.17182
735,-0.187315,0.173121
736,-0.187945,0.172581
737,-0.187945,0.172581
738,-0.188041,0.17374
739,-0.192048,0.174558
740,-0.190674,0.178834
741,-0.194101,0.173103
742,-0.182487,0.175846
743,-0.188711,0.175204
744,-0.185111,0.17511
745,-0.186392,0.174089
746,-0.188647,0.17323
747,-0.18397,0.174618
748,-0.184007,0.170408
749,-0.186892,0.170741
750,-0.186443,0.171582
751,-0.180469,0.173764
752,-0.186837,0.168726
753,-0.183816,0.173133
754,-0.184895,0.172072
755,-0.184691,0.171827
756,-0.187535,0.172165
757,-0.18691,0.172567
758,-0.184664,0.17101
759,-0.182308,0.173064
760,-0.186836,0.172123
761,-0.185571,0.173277
762,-0.187336,0.170241
763,-0.186759,0.171341
764,-0.185961,0.169381
765,-0.184236,0.171622
766,-0.185455,0.171758
767,-0.183453,0.169991
768,-0.182481,0.16998
769,-0.183869,0.172603
770,-0.184902,0.168553
771,-0.183888,0.170065
772,-0.185256,0.170259
773,-0.184541,0.172456
774,-0.183549,0.172491
775,-0.182972,0.172475
776,-0.186815,0.172509
777,-0.186815,0.172509
778,-0.185104,0.17076
779,-0.186018,0.173256
780,-0.188053,0.171995
781,-0.182832,0.173779
782,-0.186477,0.172096
783,-0.183238,0.17246
784,-0.183238,0.17246
785,-0.185646,0.170348
786,-0.183406,0.172872
787,-0.183406,0.172872
788,-0.185663,0.170906
789,-0.187611,0.169586
790,-0.184691,0.173724
791,-0.186465,0.171455
792,-0.183834,0.171335
793,-0.186849,0.169946
794,-0.181982,0.172803
795,-0.183057,0.17215
796,-0.18412,0.172742
797,-0.184323,0.170209
798,-0.186739,0.169575
799,-0.184346,0.17191
800,-0.185773,0.169691
801,-0.185394,0.172359
802,-0.186797,0.170351
803,-0.185247,0.171734
804,-0.184778,0.170234
805,-0.18145,0.171657
806,-0.183618,0.170165
807,-0.181287,0.168932
808,-0.178313,0.170694
809,-0.178313,0.170694
810,-0.186622,0.166664
811,-0.182445,0.172174
812,-0.178143,0.172754
813,-0.187969,0.168755
814,-0.179313,0.172785
815,-0.188665,0.169687
816,-0.182599,0.174895
817,-0.187844,0.172517
818,-0.18242,0.174473
819,-0.18706,0.171079
820,-0.180149,0.173857
821,-0.18512,0.169644
822,-0.183912,0.173956
823,-0.183648,0.171824
824,-0.186946,0.171702
825,-0.189355,0.171337
826,-0.187115,0.174136
827,-0.187115,0.174136
828,-0.183609,0.172833
829,-0.18519,0.172855
830,-0.190617,0.173103
831,-0.185697,0.171165
832,-0.185697,0.171165
833,-0.182588,0.172729
