MDTU,|Tr(L)|,ReTr(L),ImTr(L)
286,1.21596,0.960902,0.745134
287,1.26344,0.847836,0.936724
288,1.20964,0.998239,0.683187
289,0.788043,0.448905,0.647686
290,0.808803,0.284382,0.757159
291,1.01505,0.0314735,1.01456
292,0.966491,0.0288025,0.966062
293,0.80197,-0.0145776,0.801837
294,1.14673,0.217367,1.12594
295,1.2226,0.109048,1.21773
296,1.05988,0.0666175,1.05779
297,1.00482,-0.0954292,1.00028
298,1.02496,0.194429,1.00635
299,0.835118,0.249022,0.797126
300,0.941121,0.44545,0.829025
301,0.941121,0.44545,0.829025
302,0.963526,0.404728,0.874401
303,1.246,0.594627,1.09496
304,1.38505,0.493387,1.29419
305,1.19152,0.530663,1.06682
306,1.71731,0.610183,1.60525
307,1.35711,0.517574,1.25454
308,1.16371,0.666011,0.954277
309,1.15286,0.669036,0.938874
310,1.33687,0.635079,1.17639
311,1.29172,0.463967,1.20552
312,1.15809,0.40664,1.08436
313,1.15178,0.366535,1.09191
314,0.89167,0.358711,0.816334
315,0.761466,0.530708,0.546057
316,0.923637,0.398542,0.833228
317,0.763247,0.331725,0.687389
318,0.569844,0.0783951,0.564425
319,0.569844,0.0783951,0.564425
320,0.629393,0.245721,0.579446
321,0.650676,0.490294,0.427775
322,0.927833,0.568924,0.732939
323,1.10651,0.722167,0.838349
324,0.760731,0.600236,0.467362
325,1.32967,0.843835,1.0276
326,1.32967,0.843835,1.0276
327,1.31645,0.350886,1.26883
328,1.48449,0.366748,1.43847
329,1.38019,0.438107,1.30881
330,1.38501,0.360925,1.33715
331,1.29018,-0.246017,1.26651
332,1.26902,-0.118232,1.26351
333,1.65616,-0.110131,1.6525
334,1.7181,-0.00957729,1.71807
335,1.70596,-0.221255,1.69155
336,1.70596,-0.221255,1.69155
337,1.50959,-0.04389,1.50895
338,1.50959,-0.04389,1.50895
339,1.66905,-0.250638,1.65013
340,1.45576,-0.408927,1.39715
341,1.56888,-0.395662,1.51816
342,1.59983,-0.756851,1.40948
343,1.40609,-0.366723,1.35743
344,1.21094,-0.531752,1.08794
345,1.35599,-0.81258,1.08556
346,1.5971,-0.641507,1.4626
347,1.4705,-0.268337,1.44581
348,1.34117,-0.0361161,1.34069
349,1.0665,0.123412,1.05933
350,1.11896,0.417645,1.0381
351,1.10426,0.312318,1.05917
352,1.27994,0.646195,1.10485
353,1.29711,0.795463,1.02457
354,0.924737,0.393221,0.836968
355,0.924737,0.393221,0.836968
356,1.26721,0.701032,1.05564
357,1.44496,0.858566,1.16223
358,1.26863,0.956343,0.833565
359,0.936973,0.736429,0.579301
360,1.28059,1.09721,0.660321
361,1.54478,1.4223,0.60283
362,1.68524,1.45073,0.857579
363,1.51271,1.33021,0.720309
364,1.72929,1.45644,0.932335
365,1.25117,1.14823,0.496991
366,1.1398,0.896285,0.704149
367,1.01749,0.743299,0.694833
368,0.961104,0.623392,0.731507
369,0.999235,0.757902,0.651195
370,1.07563,0.887192,0.608169
