t,deltaS
655,0.05138
656,0.1121
657,-0.2949
658,0.1991
659,-0.1133
660,-0.1428
661,-0.004716
662,0.005056
663,0.07723
664,-0.3151
665,0.1153
666,-0.115
667,0.3609
668,0.2334
669,-0.0487
670,-0.2731
671,-0.1833
672,0.271
673,0.299
674,-0.1808
675,0.02001
676,0.4436
677,0.001505
678,-0.2312
679,0.06087
680,0.009819
681,-0.09271
682,-0.2049
683,-0.08565
684,-0.1316
685,-0.03871
686,-0.1983
687,-0.04269
688,0.007416
689,-0.005829
690,0.05391
691,-0.2632
692,0.1325
693,0.11
694,0.2143
695,-0.155
696,-0.09648
697,-0.04009
698,0.04572
699,0.1954
700,-0.002176
701,-0.09833
702,0.2639
703,-0.1512
704,0.01569
705,0.02186
706,0.2936
707,-0.1895
708,0.09602
709,0.08759
710,0.2581
711,-0.3733
712,0.291
713,0.08798
714,0.2441
715,-0.193
716,0.02077
717,0.1735
718,0.2986
719,0.01955
720,-0.2326
721,-0.1543
722,-0.1768
723,-0.1948
724,-0.2244
725,0.2003
726,0.1564
727,-0.2487
728,0.04243
729,-0.08043
730,0.07959
731,0.2316
732,-0.1456
733,-0.06424
734,0.06353
735,0.03489
736,0.07734
737,0.1531
738,0.364
739,-0.05575
740,-0.1451
741,0.183
742,-0.2107
743,0.3188
744,0.187
745,-0.0004863
746,-0.1341
747,-0.2303
748,0.09446
749,-0.3616
750,-0.008505
751,0.03031
752,0.2944
753,-0.1328
754,-0.2389
755,0.1225
756,0.2052
757,0.09602
758,-0.04806
759,-0.2703
760,0.1013
761,-0.2772
762,-0.2304
763,0.1085
764,0.1468
765,0.01807
766,-0.1931
767,0.006738
768,0.09528
769,-0.1052
770,-0.02368
771,0.02068
772,-0.01767
773,-0.02955
774,0.06286
775,0.365
776,-0.2164
777,0.3351
778,0.1686
779,0.01301
780,0.08185
781,0.06641
782,-0.1073
783,-0.3905
784,0.4033
785,-0.02777
786,-0.05202
787,0.2557
788,-0.001211
789,0.1434
790,-0.02251
791,-0.01015
792,0.232
793,0.03608
794,0.1007
795,0.04333
796,0.03949
797,-0.2165
798,-0.194
799,-0.0309
800,-0.01448
801,-0.1626
802,0.1586
803,-0.1693
804,0.1552
805,0.06203
806,0.1893
807,7.274e-05
808,-0.2224
809,0.3409
810,0.1338
811,-0.04752
812,0.04011
813,-0.2221
814,-0.2169
815,0.2192
816,-0.1775
817,0.1444
818,0.2316
819,0.05323
820,0.1479
821,0.2154
822,0.09405
823,-0.0842
824,0.009019
825,0.2629
826,0.2429
827,0.2954
828,-0.05087
829,0.0693
830,0.07474
831,-0.1226
832,0.06138
833,-0.02358
834,0.1245
835,-0.1126
836,-0.03557
837,-0.1365
838,0.3066
839,0.1425
840,-0.02662
841,-0.171
842,-0.1404
843,0.05105
844,0.0245
845,0.01776
846,0.3027
847,0.1164
848,-0.008129
849,0.07157
850,-0.08427
851,0.02216
852,0.007036
853,-0.3855
854,-0.05447
855,0.05335
856,0.047
857,-0.1096
858,0.2607
859,-0.1936
860,0.3346
861,0.1594
862,0.1257
863,0.1391
864,0.1733
865,0.04794
866,-0.1624
867,0.2037
868,-0.1176
869,0.1458
870,0.1489
871,0.2072
872,0.09916
873,0.1395
874,0.34
875,0.1843
876,-0.1946
877,0.1869
878,-0.1709
879,-0.01612
880,0.1611
881,-0.1032
882,-0.1035
883,0.08476
884,-0.03271
885,0.1906
886,-0.1529
887,0.00947
888,0.01676
889,0.4718
890,0.1902
891,-0.05377
892,0.02416
893,0.08366
894,0.1442
895,0.1056
896,0.2396
897,0.1915
898,-0.01321
899,-0.08085
900,-0.02774
901,-0.11
902,0.08576
903,0.1295
904,0.04751
905,-0.006337
906,0.1248
907,-0.02918
908,-0.2164
909,0.2112
910,0.2205
911,0.5592
912,-0.1433
913,-0.3096
914,0.005786
915,0.251
916,0.2425
917,0.231
918,-0.1953
919,-0.1009
920,-0.4042
921,-0.02882
922,0.1832
923,-0.1595
924,0.2988
925,-0.01259
926,-0.09564
927,-0.06083
928,-0.1259
929,0.1995
930,0.01639
931,0.3254
932,0.01554
933,0.1892
934,-0.2998
935,0.1562
936,-0.04632
937,0.2372
938,-0.1259
939,0.1783
940,-0.1317
941,0.2372
942,0.1212
943,0.05011
944,-0.2115
945,0.2466
946,-0.09089
947,0.08233
948,0.1205
949,-0.2517
950,0.07857
951,0.1097
952,-0.3478
953,0.2637
954,0.07134
955,-0.1392
956,0.1021
957,-0.1488
958,0.2149
959,-0.07014
960,-0.2126
961,0.02357
962,0.1125
963,-0.2048
964,-0.1504
965,-0.1464
966,-0.1287
967,-0.1077
968,0.2321
969,-0.1984
970,-0.08932
971,-0.05829
972,0.1181
973,-0.2052
974,-0.07859
975,-0.1358
976,-0.3064
977,0.1494
978,-0.0188
979,0.03506
980,-0.2203
981,-0.2411
982,0.1987
983,0.2664
984,-0.1874
985,-0.05282
986,0.02961
987,0.253
988,0.09105
989,-0.04808
990,-0.05752
991,-0.1188
992,-0.008169
993,0.06232
994,0.3123
995,-0.1787
996,0.3518
997,0.04929
998,-0.02854
999,0.04395
1000,0.08618
1001,-0.2808
1002,0.06062
1003,-0.05977
1004,0.04039
1005,-0.07742
1006,-0.08952
1007,0.1632
1008,0.1784
1009,0.1006
1010,-0.05671
1011,-0.1042
1012,-0.0662
1013,-0.09408
1014,-0.08423
1015,-0.03739
1016,0.04354
1017,0.01578
1018,0.03812
1019,-0.1488
1020,-0.01772
1021,0.0008172
1022,0.04814
1023,0.07285
1024,0.1542
1025,-0.2271
1026,0.05998
1027,0.003962
1028,0.05346
1029,0.1578
1030,0.1369
1031,-0.1621
1032,-0.268
1033,0.08347
1034,0.1652
1035,0.2265
1036,-0.1455
1037,-0.3019
1038,-0.1275
1039,-0.3747
1040,-0.01124
1041,0.2976
1042,0.4579
1043,-0.01636
1044,-0.1762
1045,-0.04969
1046,0.1097
1047,0.1155
1048,-0.0812
1049,0.03243
1050,-0.06926
1051,0.1262
1052,-0.04494
1053,0.07728
1054,0.2208
1055,0.2095
1056,-0.3968
1057,0.3971
1058,0.3656
1059,0.1649
1060,-0.3045
1061,0.1704
1062,-0.4917
1063,0.02243
1064,-0.3155
1065,0.03211
1066,-0.02554
1067,0.3247
1068,0.03374
1069,0.1348
1070,0.2939
1071,0.06757
1072,-0.2335
1073,-0.01999
1074,0.1313
1075,-0.2226
1076,-0.06251
1077,0.1206
1078,-0.04568
1079,-0.2512
1080,0.1722
1081,0.291
1082,-0.04826
1083,0.04825
1084,-0.1934
1085,0.4707
1086,0.3084
1087,0.08717
1088,-0.2519
1089,0.1431
1090,0.1184
1091,-0.1348
1092,0.3517
1093,0.0175
1094,-0.3583
1095,-0.01309
1096,0.1336
1097,-0.1429
1098,-0.07154
1099,0.1748
1100,0.2841
1101,0.1187
1102,-0.07151
1103,0.1836
1104,0.09349
1105,0.0645
1106,-0.01226
1107,0.183
1108,0.07102
1109,-0.05194
1110,-0.03557
1111,0.0238
1112,0.1823
1113,-0.006275
1114,-0.3144
1115,-0.1641
1116,-0.169
1117,0.03742
1118,-0.1199
1119,0.1971
1120,0.1791
1121,-0.1414
1122,0.2744
1123,-0.1993
1124,0.04238
1125,-0.1675
1126,-0.1623
1127,-0.117
1128,-0.04197
1129,-0.02165
1130,-0.02856
1131,-0.2856
1132,0.09612
1133,0.1696
1134,0.1538
1135,-0.06329
1136,-0.05549
1137,-0.09474
1138,0.007557
1139,0.02063
1140,0.05625
1141,0.04835
1142,0.1056
1143,0.01858
1144,0.3259
1145,0.01314
1146,0.1331
1147,-0.1822
1148,-0.06902
1149,0.3279
1150,0.2986
1151,-0.08871
1152,-0.03767
1153,-0.3607
1154,-0.1072
1155,0.2195
1156,0.1356
1157,0.2806
1158,-0.1023
1159,0.02567
1160,-0.19
1161,0.02533
1162,0.2634
1163,0.2509
1164,-0.1053
1165,0.06378
1166,-0.2472
1167,0.1279
1168,0.03042
1169,-0.06235
1170,-0.2325
1171,0.3416
1172,-0.2327
1173,-0.09085
1174,0.0607
1175,-0.04925
1176,0.0931
1177,0.1234
1178,0.002495
1179,0.1578
1180,-0.1138
1181,0.1266
1182,0.181
1183,-0.07377
1184,0.08905
1185,0.09383
1186,-0.3155
1187,-0.03176
1188,0.06101
1189,0.09237
1190,0.327
1191,-0.05431
1192,-0.1196
1193,-0.01168
1194,0.2477
1195,0.005051
1196,0.1731
1197,-0.1045
1198,-0.005971
1199,0.2244
1200,-0.03344
1201,-0.04766
1202,-0.01275
1203,0.06819
1204,-0.1065
1205,-0.1932
1206,0.03646
1207,-0.1189
1208,0.07608
1209,-0.09001
1210,0.2171
1211,0.09863
1212,0.0645
1213,-0.1713
1214,-0.01744
1215,-0.08124
1216,-0.1863
1217,0.02708
1218,-0.0937
1219,-0.02179
1220,0.135
1221,0.1127
1222,-0.3356
1223,-0.3463
1224,0.2866
1225,-0.04495
1226,-0.00652
1227,-0.0802
1228,-0.02619
1229,0.2944
1230,0.3295
1231,-0.1334
1232,0.1183
1233,0.154
1234,0.1134
1235,-0.01682
1236,-0.00915
1237,-0.04475
1238,-0.1748
1239,-0.109
1240,0.0272
1241,0.0512
1242,0.05927
1243,0.2339
1244,-0.01117
1245,0.02243
1246,0.05446
1247,0.002873
1248,-0.205
1249,0.03804
1250,0.06555
1251,-0.003868
1252,0.103
1253,0.0982
1254,-0.06275
1255,-0.2603
1256,0.1167
1257,0.05813
1258,-0.004548
1259,0.01432
1260,0.01104
1261,0.4347
1262,0.1458
1263,0.1523
1264,-0.1573
1265,-0.06942
1266,0.05755
1267,0.09366
1268,-0.04678
1269,-0.03941
1270,-0.01794
1271,0.1724
1272,0.213
1273,-0.02671
1274,-0.1755
1275,-0.006031
1276,0.1144
1277,0.2453
1278,-0.03182
1279,0.05783
1280,0.1577
1281,0.2443
1282,-0.009471
1283,0.2783
1284,-0.1167
1285,0.2545
1286,0.01663
1287,-0.02439
1288,-0.1359
1289,0.2688
1290,-0.1504
1291,0.1452
1292,0.2438
1293,0.1228
1294,0.1406
1295,-0.2392
1296,0.1365
1297,0.2742
1298,0.02222
1299,-0.1141
1300,-0.03172
1301,0.1548
1302,-0.1035
1303,0.3501
1304,0.3814
1305,0.1152
1306,-0.2319
1307,0.06844
1308,-0.1145
1309,0.1623
1310,-0.09204
1311,0.1299
1312,0.1313
1313,0.1901
1314,0.04166
1315,-0.1178
1316,0.2041
1317,0.2115
1318,-0.1615
1319,0.07852
1320,0.2775
1321,-0.1093
1322,0.07751
1323,0.4077
1324,0.2925
1325,-0.1796
1326,0.05798
1327,-0.06881
1328,-0.1458
1329,0.08315
1330,0.1375
1331,-0.1355
1332,0.1504
1333,0.2188
1334,0.02233
1335,-0.2292
1336,0.07379
1337,-0.2798
1338,0.153
1339,-0.323
1340,-0.01577
1341,-0.2343
1342,0.2444
1343,0.347
1344,-0.1336
1345,0.04867
1346,0.119
1347,0.1118
1348,0.2069
1349,0.1082
1350,0.03249
1351,0.02722
1352,-0.1509
1353,0.2937
1354,-0.2604
1355,0.04011
1356,-0.2095
1357,-0.01874
1358,0.136
1359,-0.04631
1360,-0.001909
1361,0.3529
1362,-0.04213
1363,0.02886
1364,0.2096
1365,0.03227
1366,-0.07674
1367,0.05971
1368,-0.05296
1369,-0.08333
1370,-0.0696
1371,0.01602
1372,0.005687
1373,0.1199
1374,0.01314
1375,0.1951
1376,0.3502
1377,0.09168
1378,-0.09589
1379,-0.2967
1380,0.3786
1381,-0.3305
1382,0.3269
1383,-0.09152
1384,0.2706
1385,0.1959
1386,0.02925
1387,-0.2954
1388,0.2348
1389,-0.1303
1390,-0.3779
1391,-0.07391
1392,0.09443
1393,0.06578
1394,-0.07422
1395,0.4829
1396,-0.1433
1397,0.01596
1398,0.268
1399,0.1279
1400,0.1672
1401,0.02496
1402,0.08227
1403,0.1335
1404,0.03762
1405,-0.318
1406,0.2396
1407,-0.05416
1408,0.02686
1409,-0.07377
1410,0.1463
1411,-0.1426
1412,0.001872
1413,0.2932
1414,-0.2166
1415,-0.1508
1416,-0.06717
1417,-0.1756
1418,-0.1159
1419,0.08694
1420,-0.1359
1421,-0.286
1422,0.08368
1423,0.1044
1424,0.1696
1425,-0.1906
1426,-0.036
1427,-0.2324
1428,0.02049
1429,0.1039
1430,0.4855
1431,0.0568
1432,-0.0456
1433,0.2141
1434,-0.2656
1435,0.2723
1436,-0.1218
1437,-0.07032
1438,0.2591
1439,0.3239
1440,-0.1368
1441,0.03023
1442,0.09808
1443,-0.08804
1444,0.1053
1445,0.1589
1446,-0.2489
1447,-0.2781
1448,0.1115
1449,-0.1234
1450,0.4476
1451,-0.1506
1452,-0.0196
1453,-0.03669
1454,-0.0653
1455,0.04758
1456,0.2709
1457,-0.3008
1458,-0.01075
1459,-0.2241
1460,-0.008887
1461,0.02379
1462,0.1809
1463,-0.074
1464,0.421
1465,-0.1517
1466,0.04625
1467,0.06995
1468,0.03993
1469,-0.202
1470,-0.06426
1471,-0.02999
1472,0.1012
1473,0.01183
1474,-0.03575
1475,0.2664
1476,0.07151
1477,0.07478
1478,-0.01345
1479,0.4354
1480,-0.1516
1481,0.1247
1482,-0.1383
1483,0.003966
1484,-0.1446
1485,0.01388
1486,0.05606
1487,-0.1128
1488,-0.1969
1489,-0.1584
1490,-0.01974
1491,0.02494
1492,0.1189
1493,-0.004457
1494,-0.05823
1495,0.1172
1496,-0.2751
1497,0.1118
1498,0.08178
1499,-0.02943
1500,-0.08796
1501,0.2909
1502,0.02817
1503,0.3093
1504,-0.365
1505,0.1431
1506,-0.2244
1507,0.2825
1508,-0.1503
1509,0.01933
1510,0.107
1511,-0.1132
1512,0.1145
1513,-0.1526
1514,-0.2536
1515,0.1121
1516,0.3926
1517,-0.02642
1518,-0.00603
1519,0.1773
1520,-0.211
1521,0.03186
1522,0.02942
1523,-0.08526
1524,-0.009042
1525,-0.07311
1526,0.3552
1527,0.3189
1528,0.2038
1529,0.2189
1530,0.3386
1531,0.1578
1532,-0.07255
1533,-0.06749
1534,0.02116
1535,-0.2794
1536,0.003703
1537,-0.178
1538,0.2536
1539,0.09073
1540,-0.001274
1541,-0.1037
1542,0.05632
1543,0.1399
1544,-0.02774
1545,0.2454
1546,-0.1355
1547,-0.1283
1548,-0.1503
1549,0.09255
1550,0.1977
1551,-0.2146
1552,-0.06405
1553,0.04643
1554,0.006385
1555,-0.03723
1556,-0.1132
1557,-0.03247
1558,0.1113
1559,-0.04916
1560,0.1847
1561,-0.1589
1562,0.2808
1563,-0.02865
1564,0.03535
1565,0.2263
1566,-0.04288
1567,0.1753
1568,-0.4354
1569,0.2541
1570,-0.1786
1571,-0.1335
1572,-0.1119
1573,0.1159
1574,-0.02908
1575,-0.4329
1576,-0.238
1577,-0.1749
1578,-0.005564
1579,-0.2236
1580,-0.0111
1581,0.1892
1582,0.08009
1583,-0.1076
1584,0.22
1585,-0.2996
1586,-0.05085
1587,0.1209
1588,0.2291
1589,-0.07248
1590,-0.1244
1591,-0.08922
1592,-0.05097
1593,-0.2489
1594,0.09897
1595,0.04183
1596,0.1548
1597,-0.08078
1598,-0.04981
1599,-0.1551
1600,0.1931
1601,-0.1419
1602,-0.1118
1603,0.1607
1604,0.09532
1605,-0.05761
1606,-0.3103
1607,0.09026
1608,0.005763
1609,-0.2489
1610,0.03419
1611,-0.1153
1612,0.1741
1613,0.01349
1614,0.1162
1615,-0.1898
1616,0.4441
1617,0.1219
1618,-0.01568
1619,-0.09803
1620,0.2155
1621,-0.2416
1622,-0.05951
1623,-0.1004
1624,-0.3573
1625,0.09437
1626,-0.02852
1627,0.3779
1628,-0.2876
1629,-0.03847
1630,0.1732
1631,-0.03384
1632,0.112
1633,0.216
1634,0.2758
1635,0.04785
1636,-0.02221
1637,-0.07684
1638,-0.0985
1639,0.1267
1640,0.05769
1641,-0.1776
1642,0.1124
1643,0.2747
1644,-0.01994
1645,-0.05058
1646,0.006312
1647,-0.04259
1648,-0.07215
1649,0.1188
1650,0.1109
1651,-0.02359
1652,-0.008118
1653,0.06875
1654,-0.1108
1655,0.2425
1656,0.3927
1657,-0.008862
1658,-0.1319
1659,-0.01769
1660,-0.16
1661,0.2726
1662,0.1332
1663,0.007423
1664,-0.03565
1665,0.03915
1666,0.07392
1667,-0.07046
1668,-0.1428
1669,-0.1093
1670,-0.2695
1671,0.121
1672,0.08267
1673,-0.1932
1674,0.0435
1675,0.07561
1676,0.0232
1677,-0.2416
1678,-0.169
1679,0.1498
1680,0.3098
1681,0.0801
1682,-0.0195
1683,-0.09607
1684,-0.07857
1685,0.332
1686,-0.0943
1687,0.144
1688,0.005631
1689,-0.02331
1690,0.05962
1691,-0.3215
1692,0.1589
1693,-0.09479
1694,-0.1686
1695,-0.2473
1696,0.2003
1697,-0.09038
1698,-0.2026
1699,0.06772
1700,0.009567
1701,-0.1359
1702,0.2955
1703,0.2519
1704,0.2076
1705,0.289
1706,0.09869
1707,0.3334
1708,0.06439
1709,0.1151
1710,0.07079
1711,-0.1256
1712,-0.2798
1713,0.08956
1714,0.532
1715,-0.4553
1716,0.02807
1717,-0.216
1718,0.0711
1719,-0.1594
1720,0.2053
1721,-0.268
1722,0.01512
1723,0.1445
1724,-0.04985
1725,-0.09017
1726,-0.18
1727,0.09239
1728,-0.07303
1729,0.2599
1730,-0.01504
1731,-0.1871
1732,0.006659
1733,-0.0002594
1734,0.08499
1735,0.2601
1736,0.0584
1737,0.08092
1738,0.03452
1739,0.1178
1740,0.2161
1741,-0.0575
1742,0.1525
1743,0.2454
1744,-0.1586
1745,-0.1963
1746,0.2836
1747,-0.1262
1748,0.2754
1749,-0.09488
1750,0.1321
1751,-0.03797
1752,0.05364
1753,-0.174
1754,0.2191
1755,0.1346
1756,-0.0234
1757,-0.0279
1758,0.08698
1759,-0.1111
1760,0.01321
1761,0.023
1762,-0.07034
1763,0.1802
1764,-0.2306
1765,0.1803
1766,-0.006289
1767,-0.05876
1768,0.302
1769,0.01199
1770,-0.01078
1771,-0.1793
1772,0.0502
1773,-0.1525
1774,0.03175
1775,-0.2737
1776,-0.00178
1777,-0.1879
1778,0.2176
1779,-0.06573
