MDTU,|Tr(L)|,ReTr(L),ImTr(L)
427,1854.69,644.559,1739.09
428,1883,594.092,1786.83
429,1878.92,590.376,1783.76
430,1878.92,590.376,1783.76
431,1869.42,597.381,1771.4
432,1869.42,597.381,1771.4
433,1881.08,613.49,1778.22
434,1889.02,619.4,1784.59
435,1888.1,638.281,1776.94
436,1905.75,642.276,1794.26
437,1874.56,592.26,1778.54
438,1887.47,591.224,1792.49
439,1882.91,584.689,1789.83
440,1846.62,602.516,1745.56
441,1885.36,660.227,1765.97
442,1851.77,657.684,1731.04
443,1863.84,654.986,1744.96
444,1878.84,666.569,1756.62
445,1870.67,687.386,1739.8
446,1868.14,684.702,1738.14
447,1858.64,711.622,1717.01
448,1862.85,643.08,1748.33
449,1855.46,629.916,1745.26
450,1870.17,627.76,1761.66
451,1860.33,669.684,1735.61
452,1880.71,623.115,1774.49
453,1862.61,584.956,1768.38
454,1862.61,584.956,1768.38
455,1882.82,528.556,1807.11
456,1846.67,523.975,1770.78
457,1846.67,523.975,1770.78
458,1847,510.142,1775.15
459,1865.14,483.294,1801.44
460,1865.14,483.294,1801.44
461,1865.14,483.294,1801.44
462,1854.88,453.743,1798.53
463,1864.55,448.129,1809.9
464,1857.11,480.741,1793.81
465,1817.92,451.733,1760.9
466,1846.69,508.365,1775.34
467,1839.17,504.021,1768.76
468,1885.64,497.019,1818.96
469,1846.72,500.512,1777.6
470,1828.38,501.37,1758.3
471,1823.77,593.46,1724.51
472,1799.65,493.956,1730.54
473,1839.35,464.571,1779.71
474,1817.34,431.666,1765.33
475,1817.34,431.666,1765.33
476,1775.47,437.228,1720.79
477,1795.59,427.081,1744.06
478,1777.63,365.156,1739.72
479,1802.06,355.694,1766.61
480,1798.56,342.609,1765.62
481,1803.69,315.875,1775.81
482,1789.03,310.47,1761.89
483,1789.03,310.47,1761.89
484,1796.77,306.026,1770.51
485,1796.77,306.026,1770.51
486,1771,289.798,1747.12
487,1771,289.798,1747.12
488,1771,289.798,1747.12
489,1777.9,249.393,1760.33
490,1764.75,297.812,1739.44
491,1764.75,297.812,1739.44
492,1807.54,292.044,1783.79
493,1807.54,292.044,1783.79
494,1824.55,307.421,1798.46
495,1867.14,370.87,1829.94
496,1867.81,396.572,1825.22
497,1871.78,393.399,1829.97
498,1862.3,373.456,1824.47
499,1870.02,375.595,1831.91
500,1862.33,410.562,1816.51
501,1917.54,481.118,1856.2
502,1917.54,481.118,1856.2
503,1904.91,453.604,1850.11
504,1847.72,413.585,1800.84
505,1868.45,451.765,1813.01
506,1879.77,528.415,1803.97
507,1839.58,515.069,1766
508,1839.58,515.069,1766
509,1876.87,570.178,1788.16
510,1904.39,535.371,1827.59
511,1876.13,549.775,1793.78
512,1893.52,587.991,1799.91
513,1893.52,587.991,1799.91
514,1841.57,573.046,1750.14
515,1877.76,554.842,1793.91
516,1861.95,548.674,1779.28
517,1832.41,497.709,1763.53
518,1832.41,497.709,1763.53
519,1831.55,473.97,1769.16
520,1831.55,473.97,1769.16
521,1886.58,463.78,1828.69
522,1886.58,463.78,1828.69
523,1886.58,463.78,1828.69
524,1872.92,473.923,1811.96
525,1912.97,528.702,1838.46
526,1924.03,491.882,1860.09
527,1924.03,491.882,1860.09
528,1890.9,469.625,1831.65
529,1861.13,407.142,1816.05
530,1831.3,411.781,1784.4
531,1821.31,387.947,1779.51
532,1826.5,377.926,1786.97
533,1834.8,392.856,1792.25
534,1878.96,408.119,1834.1
535,1856.47,393.721,1814.24
536,1878.06,444.494,1824.7
537,1882.28,428.836,1832.78
538,1942.81,450.915,1889.76
539,1884.87,444.858,1831.62
540,1940.01,431.392,1891.44
541,1959.51,391.256,1920.05
542,1964.71,325.484,1937.56
543,1964.71,325.484,1937.56
544,1932.52,323.231,1905.3
545,1938.66,358.564,1905.21
546,1931.39,342.565,1900.76
547,1922.94,361.178,1888.71
548,1930.44,387.551,1891.14
549,1910.97,378.121,1873.19
550,1910.97,378.121,1873.19
551,1908.73,430.045,1859.65
552,1877.59,362.64,1842.24
553,1890.54,340.606,1859.6
554,1868.5,341.308,1837.06
555,1900.45,379.369,1862.2
556,1956.26,404.618,1913.96
557,1963.54,453.194,1910.53
558,1946.59,443.999,1895.28
559,1954.35,380.636,1916.92
560,1931.52,408.166,1887.9
561,1940.35,420.545,1894.22
562,1965.88,423.78,1919.66
563,1974.04,480.519,1914.66
564,1925.74,489.996,1862.36
565,1954.4,514.516,1885.46
566,1927.38,499.238,1861.6
567,1895.71,476.101,1834.95
568,1873.94,499.694,1806.09
569,1930.09,492.076,1866.31
570,1947.05,457.442,1892.55
571,1966.68,467.986,1910.19
572,1969.49,406.644,1927.05
573,1959.34,460.233,1904.53
574,1927.84,490.551,1864.39
575,1891.65,505.96,1822.72
576,1891.65,505.96,1822.72
577,1921.92,520.826,1850
578,1899.55,506.256,1830.85
579,1899.55,506.256,1830.85
580,1903.37,531.655,1827.61
581,1909.76,526.124,1835.86
582,1909.76,526.124,1835.86
583,1902.96,497.905,1836.66
584,1902.96,497.905,1836.66
585,1918.86,518.178,1847.58
586,1916.3,499.882,1849.95
587,1916.3,499.882,1849.95
588,1930.63,516.316,1860.31
589,1930.63,516.316,1860.31
590,1905.4,555.069,1822.76
591,1885.65,586.189,1792.22
592,1895.5,594.626,1799.81
593,1868.14,594.701,1770.95
594,1828.73,494.676,1760.55
595,1815.97,467.933,1754.65
596,1794.78,514.166,1719.55
597,1839.22,587.812,1742.76
598,1822.32,608.684,1717.66
599,1787.91,600.641,1684
600,1770.85,603.864,1664.71
601,1776.54,607.381,1669.49
602,1836.99,543.403,1754.78
603,1836.99,543.403,1754.78
604,1799,529.916,1719.19
605,1799,529.916,1719.19
606,1839.22,527.89,1761.84
607,1864.33,607.707,1762.5
608,1864.33,607.707,1762.5
609,1861.72,544.506,1780.31
610,1858.03,518.214,1784.3
611,1858.03,518.214,1784.3
612,1860.74,546.013,1778.83
613,1860.82,498.254,1792.88
614,1818.92,446.321,1763.31
615,1794.95,452.325,1737.03
616,1794.95,452.325,1737.03
617,1863.66,498.634,1795.71
618,1855.36,532.663,1777.25
619,1895.28,562.116,1810
620,1842.85,535.163,1763.44
621,1833.38,550.85,1748.67
622,1812.25,538.645,1730.35
623,1807.79,508.201,1734.89
624,1807.79,508.201,1734.89
625,1838.6,551.671,1753.89
626,1826.28,610.4,1721.25
627,1826.28,610.4,1721.25
628,1841.3,604.001,1739.41
629,1823.73,590.926,1725.34
630,1815.03,638.732,1698.92
631,1846.94,639.825,1732.58
632,1849.91,687.597,1717.38
633,1850.25,686.085,1718.35
634,1871.91,679.941,1744.05
635,1841.48,628.921,1730.75
636,1849.31,638.697,1735.51
637,1826.79,664.308,1701.72
638,1819.34,658.665,1695.92
639,1846.87,677.354,1718.17
640,1855.02,689.69,1722.04
641,1855.02,689.69,1722.04
642,1842.67,666.385,1717.95
643,1859.82,672.804,1733.86
644,1883.38,722.771,1739.17
645,1900.56,727.981,1755.61
646,1909.67,686.551,1781.99
647,1909.67,686.551,1781.99
648,1898.15,719.654,1756.44
649,1898.15,719.654,1756.44
650,1898.15,719.654,1756.44
651,1900.13,744.065,1748.39
652,1902.25,770.254,1739.33
653,1889.43,760.214,1729.75
654,1829.28,735.776,1674.79
655,1828.89,720.995,1680.78
656,1808.33,744.399,1648.01
657,1832.99,744.131,1675.15
658,1832.99,744.131,1675.15
659,1812.22,737.656,1655.3
660,1818.94,782.826,1641.86
661,1830.19,774.923,1658.04
662,1810.91,745.414,1650.38
663,1821.26,766.464,1652.12
664,1827.3,696.275,1689.45
665,1773.15,715.639,1622.33
666,1773.15,715.639,1622.33
667,1753.19,692.246,1610.74
668,1817.13,728.019,1664.91
669,1765.57,710.041,1616.5
670,1740.91,710.221,1589.45
671,1750.81,726.367,1593.03
672,1769.38,714.594,1618.66
673,1787.82,716.78,1637.84
674,1791.12,741.671,1630.35
675,1773.67,744.149,1610.01
676,1838.68,748.076,1679.62
677,1820.1,771.564,1648.47
678,1814.04,739.442,1656.49
679,1853.26,811.189,1666.3
680,1848.89,823.712,1655.26
681,1839.3,928.049,1588
682,1857.34,927.253,1609.33
