MDTU,min_width,max_width
368,0.165644,0.103443
369,0.166653,0.102677
370,0.167451,0.103313
371,0.167999,0.105056
372,0.165157,0.103174
373,0.166634,0.102574
374,0.162722,0.103341
375,0.164449,0.101902
376,0.165689,0.10235
377,0.164215,0.102478
378,0.16328,0.10232
379,0.167994,0.102951
380,0.168386,0.101934
381,0.165868,0.10369
382,0.163703,0.104217
383,0.162091,0.102123
384,0.163038,0.102962
385,0.167416,0.10208
386,0.166455,0.102397
387,0.166455,0.102397
388,0.168547,0.101795
389,0.16689,0.104362
390,0.165793,0.103604
391,0.166285,0.104477
392,0.169564,0.106537
393,0.167364,0.1027
394,0.166387,0.103297
395,0.170736,0.106055
396,0.166679,0.103457
397,0.164405,0.102677
398,0.166061,0.101496
399,0.165935,0.100294
400,0.163586,0.102158
401,0.162721,0.101098
402,0.167469,0.101371
403,0.163407,0.101025
404,0.165665,0.102951
405,0.167321,0.101694
406,0.166404,0.100768
407,0.166404,0.100768
408,0.165658,0.101645
409,0.160493,0.101017
410,0.166779,0.101348
411,0.167329,0.103089
412,0.162713,0.104507
413,0.167701,0.101122
414,0.164507,0.0999071
415,0.164812,0.103529
416,0.166209,0.10232
417,0.167172,0.100739
418,0.165242,0.101511
419,0.166327,0.101817
420,0.162239,0.100702
421,0.162889,0.101837
422,0.163827,0.10001
423,0.166214,0.10225
424,0.166992,0.10191
425,0.168809,0.10308
426,0.164894,0.101214
427,0.163515,0.100953
428,0.159328,0.0997702
429,0.162577,0.100463
430,0.168795,0.102559
431,0.166898,0.103325
432,0.166766,0.102134
433,0.16659,0.102569
434,0.165131,0.101261
435,0.172809,0.101877
436,0.172809,0.101877
437,0.170791,0.102516
438,0.162496,0.101612
439,0.167397,0.101487
440,0.166815,0.10118
441,0.165258,0.103503
442,0.164572,0.102001
443,0.164572,0.102001
444,0.164958,0.10088
445,0.163982,0.102308
446,0.165007,0.102103
447,0.165831,0.100623
448,0.164839,0.101369
449,0.167029,0.103487
450,0.164487,0.101229
451,0.160615,0.101913
452,0.163011,0.10048
453,0.164669,0.101787
454,0.164647,0.102452
455,0.166046,0.100098
456,0.162911,0.102505
457,0.162911,0.102505
458,0.163519,0.101861
459,0.163313,0.101812
460,0.167074,0.103905
461,0.165018,0.102169
462,0.163925,0.101461
463,0.166294,0.101914
464,0.161212,0.101079
465,0.162679,0.100555
466,0.162276,0.0997116
467,0.162666,0.100787
468,0.163536,0.101382
469,0.163703,0.0997028
470,0.164132,0.100861
471,0.166101,0.101151
472,0.17207,0.102867
473,0.167107,0.10153
474,0.168339,0.102593
475,0.172851,0.102537
476,0.167592,0.101961
477,0.165867,0.101968
478,0.168067,0.10174
479,0.165,0.102269
480,0.171554,0.102389
481,0.171554,0.102389
482,0.167676,0.0998946
483,0.16607,0.101739
484,0.166703,0.100523
485,0.166703,0.100523
486,0.162965,0.102155
487,0.166889,0.100811
488,0.168613,0.103114
489,0.166664,0.101923
490,0.166363,0.103241
491,0.166691,0.102018
492,0.161905,0.100118
493,0.16542,0.0999476
494,0.167869,0.102089
495,0.168005,0.102869
496,0.169572,0.104077
497,0.164269,0.1015
498,0.163683,0.101837
499,0.163603,0.100352
500,0.169483,0.102935
501,0.164418,0.104011
502,0.16763,0.102578
503,0.163802,0.103223
504,0.166307,0.10344
505,0.165526,0.1018
506,0.16868,0.103128
507,0.165248,0.103439
508,0.167339,0.101797
509,0.165145,0.100955
510,0.165145,0.100955
511,0.165553,0.103329
512,0.165666,0.10205
513,0.162065,0.100668
514,0.16524,0.101409
515,0.164903,0.101142
516,0.165347,0.103467
517,0.165369,0.101593
518,0.167167,0.102428
519,0.169513,0.102949
520,0.165168,0.10187
521,0.163773,0.0997649
522,0.166306,0.101137
523,0.166306,0.101137
524,0.166306,0.101137
525,0.165583,0.102032
526,0.163528,0.102553
527,0.165054,0.100504
