MDTU,S_B
666,1.00037
667,0.99095
668,0.994993
669,0.999411
670,0.989865
671,0.987272
672,0.995926
673,0.992233
674,0.992386
675,0.987691
676,0.99343
677,0.992035
678,0.998125
679,1.00137
680,0.993888
681,1.00162
682,0.996652
683,0.996652
684,0.994513
685,0.997419
686,0.992651
687,0.998658
688,0.99547
689,1.0058
690,0.998306
691,1.00413
692,0.99954
693,0.995313
694,0.999704
695,1.00544
696,0.999287
697,0.998809
698,1.00533
699,1.01293
700,0.992248
701,1.00224
702,0.988728
703,0.988728
704,0.999116
705,1.00003
706,0.995999
707,0.994728
708,0.999879
709,1.00134
710,1.00399
711,1.00164
712,0.999899
713,0.999642
714,1.00303
715,1.00123
716,0.990927
717,1.00046
718,0.992475
719,0.990936
720,0.989215
721,0.996936
722,1.0064
723,1.00201
724,1.00287
725,0.997362
726,0.99667
727,1.00159
728,1.00517
729,0.994783
730,0.993549
731,0.993777
732,1.00323
733,1.00247
734,1.0043
735,0.999905
736,0.992853
737,1.00132
738,0.991273
739,1.00124
740,1.00274
741,0.999829
742,0.992983
743,0.995496
744,0.999788
745,0.991822
746,0.991822
747,1.00157
748,0.996658
749,0.996658
750,1.00351
751,0.993171
752,1.00148
753,0.996601
754,1.00568
755,0.992028
756,1.00496
757,1.0061
758,1.00387
759,1.00387
760,1.00179
761,1.0008
762,1.00118
763,1.00339
764,0.998148
765,0.989289
766,0.996366
767,0.985885
768,0.993602
769,0.997505
770,1.00323
771,1.00472
772,1.00472
773,0.998117
774,1.00207
775,0.994643
776,0.998319
777,0.998319
778,1.00028
779,0.996588
780,1.00352
781,0.996636
782,0.991883
783,0.99315
784,1.00018
785,0.99982
786,0.99982
787,0.998401
788,0.997577
789,0.988898
790,1.00173
791,0.99977
792,1.00104
793,1.00667
794,1.004
795,1.004
796,1.00206
797,0.999059
798,0.999059
799,0.998139
800,1.00765
801,0.999468
802,0.994095
803,0.998001
804,1.00279
805,1.00314
806,0.99671
807,0.991602
808,0.993732
809,0.999872
