t,|deltaS|
831,0.1045
832,0.07214
833,0.1024
834,0.05462
835,0.01884
836,0.128
837,0.05322
838,0.2967
839,0.0207
840,0.07107
841,0.09053
842,0.003231
843,0.3204
844,0.08488
845,0.03499
846,0.02295
847,0.0181
848,0.09827
849,0.04687
850,0.02701
851,0.06277
852,0.01223
853,0.2827
854,0.02317
855,0.03954
856,0.06222
857,0.1591
858,0.3095
859,0.1359
860,0.09287
861,0.1029
862,0.04566
863,0.1274
864,0.004559
865,0.05312
866,0.008566
867,0.263
868,0.02574
869,0.1366
870,0.119
871,0.1928
872,0.1849
873,0.07945
874,0.09174
875,0.004835
876,0.1473
877,0.2269
878,0.05244
879,0.1586
880,0.03217
881,0.4808
882,0.006243
883,0.04871
884,0.2563
885,0.1221
886,0.1752
887,0.07199
888,0.1958
889,0.155
890,0.0237
891,0.04216
892,0.1457
893,0.1616
894,0.1779
895,0.04848
896,0.07623
897,0.1612
898,0.05311
899,0.1472
900,0.4482
901,0.02859
902,0.1565
903,0.189
904,0.09618
905,0.1001
906,0.03895
907,0.0119
908,0.1503
909,0.08977
910,0.06462
911,0.01589
912,0.1598
913,0.1722
914,0.08242
915,0.05562
916,0.281
917,0.003759
918,0.05325
919,0.06224
920,0.3788
921,0.1189
922,0.1408
923,0.1446
924,0.2688
925,0.07085
926,0.1836
927,0.3305
928,0.02507
929,0.04746
930,0.01053
931,0.09053
932,0.1843
933,0.05422
934,0.1061
935,0.2263
936,0.1387
937,0.08921
938,0.03163
939,0.2032
940,0.04325
941,0.2048
942,0.1893
943,0.1177
944,0.131
945,0.1549
946,0.1526
947,0.1709
948,0.07411
949,0.1545
950,0.1774
951,0.1634
952,0.1226
953,0.1651
954,0.2466
955,0.2942
956,0.111
957,0.3568
958,0.01919
959,0.0233
960,0.1026
961,0.07739
962,0.1982
963,0.1432
964,0.07124
965,0.008543
966,0.1186
967,0.1098
968,0.06576
969,0.2143
970,0.1276
971,0.007558
972,0.1389
973,0.001489
974,0.05062
975,0.1898
976,0.08974
977,0.06371
978,0.3018
979,0.1812
980,0.1309
981,0.05133
982,0.02494
983,0.1441
984,0.03584
985,0.1374
986,0.08368
987,0.06288
988,0.2592
989,0.1225
990,0.2635
991,0.1296
992,0.07032
993,0.1051
994,0.1121
995,0.1661
996,0.1957
997,0.038
998,0.2091
999,0.06057
1000,0.0765
1001,0.0375
1002,0.1272
1003,0.175
1004,0.1514
1005,0.102
1006,0.1201
1007,0.09542
1008,0.252
1009,0.06287
1010,0.02079
1011,0.1551
1012,0.06972
1013,0.1042
1014,0.1184
1015,0.1123
1016,0.05439
1017,0.1658
1018,0.09271
1019,0.01361
1020,0.04313
1021,0.1719
1022,0.07014
1023,0.1296
1024,0.08618
1025,0.3461
1026,0.1296
1027,0.1035
1028,0.03182
1029,0.07223
1030,0.05107
1031,0.09838
1032,0.1755
1033,0.3352
1034,0.09261
1035,0.1585
1036,0.1256
1037,0.05298
1038,0.05447
1039,0.09252
1040,0.03537
1041,0.1978
1042,0.2426
1043,0.3736
1044,0.01446
1045,0.2999
1046,0.07461
1047,0.2927
1048,0.3193
1049,0.08226
1050,0.003249
1051,0.04627
1052,0.06564
1053,0.08142
1054,0.04856
1055,0.04986
1056,0.185
1057,0.01327
1058,0.3025
1059,0.3378
1060,0.06937
1061,0.04454
1062,0.08991
1063,0.1784
1064,0.1593
1065,0.09899
1066,0.3895
1067,0.06498
1068,0.05721
1069,0.1703
1070,0.01242
1071,0.3426
1072,0.1247
1073,0.2532
1074,0.09693
1075,0.331
1076,0.05561
1077,0.05397
1078,0.1373
1079,0.0835
1080,0.1728
1081,0.136
1082,0.1043
1083,0.009981
1084,0.1094
1085,0.009133
1086,0.1801
1087,0.1642
1088,0.2136
1089,0.2974
1090,0.2041
1091,0.1675
1092,0.1923
1093,0.1264
1094,0.01782
1095,0.1963
1096,0.2971
1097,0.1481
1098,0.06096
1099,0.03731
1100,0.1455
1101,0.2631
1102,0.1208
1103,0.1233
1104,0.1001
1105,0.05663
1106,0.07894
1107,0.1052
1108,0.05321
1109,0.04875
1110,0.0374
1111,0.1064
1112,0.03029
1113,0.2939
1114,0.04658
1115,0.1133
1116,0.04908
1117,0.1045
1118,0.02772
1119,0.15
1120,0.04903
1121,0.01401
1122,0.3336
1123,0.004336
1124,0.2184
1125,0.06576
1126,0.2866
1127,0.05931
1128,0.2523
1129,0.07833
1130,0.05497
1131,0.2634
1132,0.09036
1133,0.01378
1134,0.01685
1135,0.04654
1136,0.07879
1137,0.07348
1138,0.008427
1139,0.03952
1140,0.156
1141,0.09032
1142,0.1462
1143,0.2281
1144,0.1242
1145,0.07395
1146,0.09095
1147,0.2392
1148,0.09656
1149,0.01859
1150,0.2308
1151,0.0717
1152,0.04193
1153,0.08609
1154,0.003353
1155,0.0505
1156,0.1301
1157,0.08512
1158,0.2536
1159,0.06583
1160,0.03414
1161,0.05658
1162,0.04456
1163,0.07447
1164,0.03915
1165,0.1811
1166,0.1322
1167,0.1236
1168,0.03519
1169,0.02088
1170,0.07098
1171,0.05984
1172,0.1938
1173,0.1484
1174,0.07435
1175,0.05597
1176,0.04202
1177,0.03922
1178,0.2247
1179,0.2435
1180,0.2501
1181,0.1409
1182,0.01843
1183,0.04048
1184,0.07333
1185,0.3302
1186,0.04702
1187,0.1596
1188,0.02237
1189,0.2343
1190,0.2019
1191,0.2605
1192,0.07677
1193,0.003314
1194,0.08322
1195,0.2226
1196,0.04041
1197,0.1393
1198,0.06559
1199,0.1675
1200,0.02
1201,0.02316
1202,0.06309
1203,0.05059
1204,0.2352
1205,0.1181
1206,0.03018
1207,0.07829
1208,0.2032
1209,0.05423
1210,0.0903
1211,0.1634
1212,0.02795
1213,0.07252
1214,0.1148
1215,0.03598
1216,0.1731
1217,0.04406
1218,0.06811
1219,0.0129
1220,0.1229
1221,0.04763
1222,0.2545
1223,0.1252
1224,0.1073
1225,0.1742
1226,0.1434
1227,0.186
1228,0.1563
1229,0.1418
1230,0.002799
1231,0.159
1232,0.1818
1233,0.2895
1234,0.1962
1235,0.1724
1236,0.08299
1237,0.03103
1238,0.02404
1239,0.06847
1240,0.1681
1241,0.1143
1242,0.06643
1243,0.009636
1244,0.04672
1245,0.1729
1246,0.06402
1247,0.07156
1248,0.0009294
1249,0.0164
1250,0.01123
1251,0.0307
1252,0.1496
1253,0.08848
1254,0.01102
1255,0.1767
1256,0.1581
1257,0.01346
1258,0.1163
1259,0.05242
1260,0.07295
1261,0.2307
1262,0.1643
1263,0.1736
1264,0.00639
1265,0.004278
1266,0.1764
1267,0.1298
1268,0.09336
1269,0.07857
1270,0.05298
1271,0.274
1272,0.1669
1273,0.2227
1274,0.1707
1275,0.2141
1276,0.05925
1277,0.04681
1278,0.02543
1279,0.07016
1280,0.1568
1281,0.2352
1282,0.1359
1283,6.617e-06
1284,0.145
1285,0.07987
1286,0.03477
1287,0.03786
1288,0.1585
1289,0.115
1290,0.06152
1291,0.1468
1292,0.2633
1293,0.03399
1294,0.08449
