t,e^(-dS)
877,1.2547
878,0.948911
879,0.853338
880,0.968342
881,1.61737
882,1.00626
883,1.04992
884,0.77391
885,0.88506
886,1.19148
887,0.93054
888,1.21628
889,0.856415
890,1.02398
891,1.04306
892,1.15685
893,1.17539
894,0.837026
895,0.952676
896,0.926603
897,0.851122
898,0.948276
899,0.863121
900,1.56549
901,1.029
902,1.16941
903,0.827787
904,0.908301
905,0.904747
906,1.03972
907,1.01197
908,1.16218
909,0.914141
910,0.937424
911,0.984236
912,0.852314
913,0.841811
914,1.08591
915,1.0572
916,1.32445
917,0.996248
918,0.948143
919,0.939657
920,1.46053
921,1.12626
922,1.15119
923,0.865368
924,0.764296
925,0.931602
926,1.20154
927,1.39166
928,0.975242
929,1.0486
930,0.989525
931,0.913447
932,0.831686
933,0.947224
934,1.11193
935,0.797479
936,1.14878
937,1.09331
938,1.03214
939,1.22532
940,1.0442
941,0.81481
942,1.2084
943,1.12491
944,0.877218
945,1.16754
946,1.16486
947,0.842906
948,0.92857
949,1.16707
950,0.837445
951,0.849251
952,1.13043
953,1.17951
954,0.781453
955,0.745127
956,0.894939
957,1.42875
958,0.980993
959,1.02357
960,0.902488
961,1.08046
962,0.820206
963,1.15396
964,1.07384
965,1.00858
966,0.888163
967,1.11605
968,1.06797
969,0.807106
970,0.880205
971,0.99247
972,1.14901
973,1.00149
974,1.05192
975,1.20901
976,1.09389
977,0.938277
978,1.35229
979,0.834268
980,0.877306
981,0.949965
982,1.02525
983,1.155
984,1.03649
985,0.871622
986,0.919726
987,0.939056
988,0.771669
989,0.884706
990,1.30148
991,1.13837
992,1.07285
993,1.11082
994,1.11862
995,0.846962
996,0.822259
997,1.03873
998,0.811314
999,0.941228
1000,1.0795
1001,1.03821
1002,1.13564
1003,1.19125
1004,0.859504
1005,1.10738
1006,0.886832
1007,0.908991
1008,1.2866
1009,0.939066
1010,1.02101
1011,0.85633
1012,0.932655
1013,1.10982
1014,0.888341
1015,0.893776
1016,1.0559
1017,0.847216
1018,0.911458
1019,0.986482
1020,0.957787
1021,1.18756
1022,0.932263
1023,0.878447
1024,1.09
1025,0.707442
1026,0.878447
1027,1.10905
1028,0.968681
1029,0.930317
1030,0.950212
