MDTU,plaq_ss,plaq_st
418,1.01257,1.01381
419,1.02162,1.01531
420,1.00763,1.01703
421,1.01513,1.01679
422,1.0137,1.01301
423,1.01836,1.02804
424,1.01836,1.02804
425,1.02031,1.00675
426,1.00712,1.01823
427,1.02983,1.02271
428,1.02477,1.02111
429,1.04044,1.0169
430,1.01997,1.01284
431,1.02287,1.02403
432,1.02534,1.02031
433,1.01458,1.01521
434,1.02177,1.01562
435,1.02019,0.998681
436,1.01451,1.01383
437,1.01543,1.00909
438,1.03473,1.01648
439,1.0101,0.999651
440,1.03562,1.01136
441,1.02381,1.00762
442,1.01777,1.01293
443,1.01777,1.01293
444,1.01777,1.01293
445,1.01497,1.00603
446,1.01397,1.01547
447,1.01255,1.02496
448,1.00966,1.03088
449,1.00269,1.02156
450,1.02656,1.01306
451,1.014,1.03006
452,0.993085,1.01491
453,1.02454,1.01978
454,1.00144,1.01255
455,1.02108,1.02385
456,1.00678,1.01332
457,1.00678,1.01332
458,1.0103,1.01627
459,0.994531,1.01973
460,1.0175,1.02704
461,1.00216,1.02817
462,1.03346,1.02177
463,1.02872,0.999806
464,1.02257,1.01874
465,1.03529,1.02637
466,1.01602,1.01382
467,1.02992,1.01618
468,1.03261,1.02327
469,1.02049,1.02346
470,1.0359,1.01022
471,1.02109,1.02093
472,1.00731,1.02019
473,1.01837,1.02189
474,1.02012,1.03057
475,1.02568,1.01468
476,1.00746,1.02528
477,0.996097,1.0196
478,1.01071,1.03053
479,1.00173,1.00745
480,1.02501,1.00516
481,1.02501,1.00516
482,0.991883,1.01757
483,1.01597,1.00809
484,1.0146,1.02001
485,1.00461,1.01768
486,1.01431,1.02301
487,1.00027,1.02508
488,1.01964,1.01374
489,1.01337,1.00828
490,1.03463,1.0168
491,1.00908,1.02609
492,1.01926,1.01174
493,1.01472,1.01727
494,1.01519,1.01406
495,1.01572,1.02868
496,1.01157,1.02647
497,1.01401,1.00519
498,1.02338,1.01992
499,1.02009,0.99908
500,1.03714,1.01397
501,1.02839,1.01241
502,1.02113,1.02311
503,1.01705,1.02014
504,1.01029,1.01744
505,1.02711,1.01101
506,1.02754,1.01381
507,1.01814,1.0098
508,1.04335,1.02318
509,1.02517,1.0128
510,1.01619,1.0202
511,1.02002,1.00705
512,1.0105,1.00883
513,1.02293,1.01146
514,1.01443,1.01195
515,1.02414,1.02219
516,1.0193,1.01342
517,0.999292,1.02702
518,1.00259,1.0173
519,1.03325,1.01653
520,1.03228,1.0179
521,1.00581,1.01847
522,1.02299,1.01981
523,1.02299,1.01981
524,1.02299,1.01981
525,1.01202,1.03301
526,1.01822,1.02094
527,1.02094,1.02207
528,1.03546,1.01655
529,1.0189,1.01316
530,1.00762,1.02381
531,1.00727,1.02384
532,1.00607,1.02535
533,1.02713,1.02503
534,0.993415,1.02152
535,0.992415,1.03255
536,1.0109,0.999986
537,1.01422,1.02281
538,0.998494,1.01861
539,1.01158,1.03333
540,0.996889,1.01455
541,1.00389,1.02769
542,1.02764,1.01882
543,1.03887,1.00607
544,1.03205,1.01986
545,1.03526,1.01433
546,1.02067,1.00385
547,1.01594,1.02185
548,0.996203,1.02493
549,1.01004,1.03322
550,1.01654,1.03324
551,1.02134,1.02756
552,1.01889,1.01739
553,1.008,1.03057
554,1.01817,1.03026
555,1.01691,1.0135
556,1.03426,1.01128
557,1.01166,1.01487
558,1.01774,1.01693
559,1.01689,1.01249
560,1.00838,1.01305
561,1.01765,1.01711
562,1.0269,1.01124
563,1.03334,1.02367
564,1.03081,1.01041
565,1.03539,1.01382
566,1.03795,1.01377
567,1.03612,1.01504
568,1.02661,1.01148
569,1.03028,1.00798
570,1.0314,1.00975
571,1.04403,1.01659
572,1.01478,1.01291
573,1.02543,1.02081
574,1.02944,1.00907
575,1.02944,1.00907
576,1.01921,1.01344
577,1.0323,1.01175
578,1.0421,1.00615
579,1.03875,1.02497
580,1.03947,1.02557
581,1.03955,1.02099
582,1.02809,1.02219
583,1.01687,1.01955
584,1.03889,1.02182
585,1.01793,1.01883
586,1.01071,1.03127
587,1.01181,1.0163
588,1.02676,1.01301
589,1.02535,1.0182
590,1.02535,1.0182
591,1.02975,1.02279
592,1.01995,1.00291
593,1.02302,1.03677
594,1.00011,1.02137
595,1.01333,1.0256
596,1.02001,1.02305
597,1.02562,1.01314
598,1.03183,1.00958
599,1.05063,1.01282
600,1.03604,1.01819
601,1.0221,1.01831
602,1.03028,0.999063
603,1.01557,1.02114
604,1.01695,1.0004
605,1.02335,1.01774
606,1.03139,1.01519
607,1.00549,1.02532
608,1.02664,1.00717
609,1.01499,1.01469
610,1.02748,1.01631
611,1.01072,1.01861
612,1.02261,1.01584
613,1.01846,1.0171
614,1.02504,1.02025
615,1.01003,1.01563
616,1.01782,1.02239
617,1.00063,1.00977
618,1.00058,1.01952
619,0.98873,1.02631
620,0.98873,1.02631
621,1.0074,1.03045
622,1.00246,1.02565
623,1.03098,1.01258
624,1.01189,1.01134
625,1.01732,1.01866
626,1.00012,1.01452
627,1.01871,1.02531
628,1.02959,1.01105
629,1.01799,1.02946
630,1.01279,1.02237
631,1.00733,1.01818
632,1.02829,1.01267
633,1.01654,1.01438
634,1.04166,1.01956
635,1.03008,0.996081
636,1.03028,1.01518
637,1.01728,1.00363
638,1.0171,1.00356
639,1.00901,1.02249
640,1.00901,1.02249
641,1.01942,1.02273
642,1.01816,1.01715
643,1.01057,1.02219
644,1.03083,1.01227
645,1.00145,1.01939
646,1.00592,1.02196
647,0.997454,1.01193
648,1.01413,1.02349
649,1.01281,1.00761
650,1.02033,1.02259
651,1.02157,1.00854
652,1.02587,1.01916
653,1.01894,1.03106
654,1.01519,1.035
655,1.0207,1.0427
656,1.01497,1.00996
657,1.01832,1.0324
658,1.03283,1.00811
659,1.02294,1.01563
660,1.02926,1.02654
661,1.02276,1.01565
662,1.03809,1.0264
663,1.00974,1.00115
664,1.05278,1.01825
665,1.02351,1.02613
666,1.04497,1.02082
667,1.03067,1.01937
668,1.03144,1.0201
669,1.00503,1.02383
670,1.02722,1.00983
671,1.02296,1.01785
672,1.03147,1.01071
673,1.02833,1.01173
674,1.00622,1.01099
675,1.02713,1.03184
676,0.98917,1.01911
677,1.03331,1.02121
678,1.03331,1.02121
679,1.00944,1.0012
680,1.01859,1.0261
681,1.01256,0.998595
682,1.01884,1.04087
683,1.02254,1.01352
684,1.021,1.02002
685,1.03511,1.01396
686,1.02827,1.01381
687,1.02756,1.01624
688,1.03687,1.02422
689,0.999848,1.02092
690,1.00893,1.00906
691,1.0319,1.00659
692,1.05094,1.01145
693,1.04012,1.00947
694,1.04553,1.01334
695,1.03788,1.01453
696,1.02392,1.0249
697,1.01969,1.01396
698,1.01969,1.01396
699,1.04291,1.01491
700,1.02498,1.01718
701,1.01064,1.01907
702,1.0161,1.01238
703,1.0161,1.01238
704,1.05077,1.01463
705,1.00604,1.02321
706,1.02101,1.02394
707,1.01032,1.03169
708,1.03978,1.01547
709,1.03983,1.01212
710,1.02235,1.01381
711,1.00594,1.03092
712,1.00908,1.01868
713,1.00938,1.02879
714,1.01604,1.02392
715,1.04756,1.02508
716,1.0377,1.03053
717,1.0218,1.0261
718,1.05908,1.02629
719,1.0469,1.01582
720,1.04737,1.02727
721,1.02951,1.0176
722,1.03651,1.02124
723,1.03651,1.02124
724,1.02231,1.00245
725,1.0295,1.02762
726,1.02749,0.996975
727,1.03888,1.01048
728,1.02344,1.00569
729,1.03939,1.00891
730,1.02408,1.00974
731,1.00878,1.02675
732,1.01433,1.0201
733,1.01436,1.0096
734,1.009,1.01306
735,1.03343,1.02118
736,1.01282,1.02148
737,1.00137,1.02874
738,1.0036,1.02092
739,1.02136,1.00097
740,1.02483,1.0192
741,0.995455,1.01121
742,1.03226,1.03337
743,1.01582,1.01426
744,1.05223,1.01435
745,1.01899,1.0132
746,1.01899,1.0132
747,1.00716,1.01316
748,1.02162,1.01272
749,1.01188,1.00986
750,1.02248,1.01869
751,1.01615,1.03317
752,1.01555,1.0132
753,1.03636,1.01441
754,1.03471,1.01154
755,1.02541,1.02624
756,1.03267,1.02093
757,1.02627,1.01029
758,1.02883,1.01641
759,1.02676,1.01579
760,1.02753,1.02859
761,1.0139,1.01997
762,1.02157,1.02372
763,1.01486,1.0182
764,1.03007,1.02078
765,1.01187,1.02454
766,1.01988,1.02701
767,1.02736,1.0216
768,1.00399,1.02258
769,1.04625,1.04199
770,1.00103,1.01085
771,1.01868,1.01963
772,1.0251,1.02093
773,1.02392,1.01492
774,1.01276,1.01893
775,1.01924,1.02061
776,1.00643,1.01633
777,1.00643,1.01633
778,1.00072,1.03719
779,0.994243,1.02652
780,1.01657,1.02924
781,1.03336,1.01615
782,1.02886,1.03174
783,1.02662,1.02426
784,1.02134,1.03334
785,1.02124,1.02196
786,1.02831,1.03261
787,1.02493,1.01369
788,1.01248,1.02611
789,1.01901,1.02747
790,1.01255,1.02734
791,1.04411,1.0155
792,1.02406,1.0161
