MDTU,|det-1|^2,1-Re(det),Im(det)
244,0.488618,0.01342,-0.00368281
245,0.508787,0.009611,-0.00166433
246,0.517931,0.008181,-0.000993586
247,0.539751,-0.0042,-0.000875285
248,0.526861,-0.01559,-0.00308129
249,0.521802,0.000682,-0.00155229
250,0.498879,0.005117,0.00280045
251,0.512335,-0.00381,0.00139845
252,0.497275,0.007783,0.00241646
253,0.516258,-0.02334,0.000853397
254,0.510712,0.004895,0.000260349
255,0.521441,0.000854,-0.000541262
256,0.552424,-0.00955,-0.000260667
257,0.514914,0.008585,-0.000818514
258,0.547917,-0.01596,-0.000475535
259,0.530929,0.021298,0.00191622
260,0.539778,0.003697,0.0029673
261,0.544094,-0.00174,-0.00104191
262,0.515511,0.009626,0.00188801
263,0.499232,0.000905,-0.00142412
264,0.490551,0.00204,0.0025656
265,0.49992,0.02531,0.00307034
266,0.506012,-0.0003,-0.000270967
267,0.474911,0.018667,0.000198149
268,0.50368,-0.00872,-0.00236431
269,0.480364,0.005076,-0.000279318
270,0.496251,0.004987,0.000182181
271,0.507306,-0.01032,-0.00223401
272,0.500321,0.004711,-0.00241681
273,0.525294,-0.01054,-0.00109695
274,0.510281,0.018597,0.000192834
275,0.483637,0.01261,0.00109623
276,0.493615,0.010422,0.000604316
277,0.494092,0.002642,-7.91223e-07
278,0.491083,-0.01241,0.000192467
279,0.490696,-0.00445,0.00200274
280,0.527959,-0.00596,0.000200593
281,0.49529,-0.01522,0.00226563
282,0.49529,-0.01522,0.00226563
283,0.49529,-0.01522,0.00226563
284,0.475098,0.008984,0.00186417
285,0.483419,0.005841,-0.000337099
286,0.499954,-0.00505,-0.000785067
287,0.482394,0.023922,-0.00163995
288,0.484393,-0.01691,-0.00170352
289,0.484393,-0.01691,-0.00170352
290,0.463708,0.015538,-0.000756645
291,0.507093,-0.01453,-0.00265046
292,0.503155,-0.01205,-0.00199794
293,0.465206,0.002744,0.000744502
294,0.48892,-0.0147,0.000840247
295,0.483087,0.001671,-0.000433271
296,0.456883,0.020548,-0.000584313
297,0.510963,-0.01943,0.000105451
298,0.47273,0.010176,-0.00128507
299,0.498026,-0.01301,0.00190223
300,0.4829,0.001216,0.000268642
301,0.471952,-0.01863,0.000499171
302,0.452706,-0.00829,2.10358e-05
303,0.431601,0.027832,0.000346507
304,0.462163,-0.01557,0.000683609
305,0.445623,0.005464,-0.00123387
306,0.465201,-0.00597,0.00126996
307,0.444762,0.004766,0.000159959
308,0.438266,-0.00426,0.000929007
309,0.427485,0.019996,0.00234547
310,0.4338,0.016146,-0.00154358
311,0.442886,0.000878,0.00429609
312,0.438628,0.00592,0.0025934
313,0.440454,0.010756,0.000540586
314,0.445978,-0.00793,-0.00129643
315,0.454576,0.014407,-0.00244406
316,0.469925,-0.01125,-0.0038526
317,0.456456,0.02359,0.000419353
318,0.459076,-0.02076,-0.00257662
319,0.459076,-0.02076,-0.00257662
320,0.459076,-0.02076,-0.00257662
321,0.440484,0.003652,-0.00136019
322,0.44533,-0.02152,-0.00172114
323,0.437419,0.013065,-0.000297382
324,0.457034,-0.00185,0.00088758
325,0.455287,0.0151,-0.00128539
326,0.455287,0.0151,-0.00128539
327,0.450394,-0.01138,-0.00290441
328,0.43057,0.011539,-0.000957682
329,0.446793,-0.0028,-0.00068351
330,0.423206,-0.00387,-0.00180403
331,0.431912,0.000748,0.000506441
332,0.437565,0.005851,0.0013298
333,0.424324,-0.00711,-0.000793368
334,0.418065,0.011687,-0.00177
335,0.442525,-0.00902,-3.7877e-05
336,0.419051,0.001873,-0.00129539
337,0.420933,-0.00518,-0.00163827
338,0.421883,0.020575,-0.000500874
339,0.441327,-0.02334,0.000229348
340,0.43913,0.010666,-0.000302422
341,0.454037,-0.00567,-0.000936019
342,0.444994,0.006074,0.00202114
343,0.419733,0.001198,0.000707003
344,0.418817,-0.00464,-0.00115918
345,0.418817,-0.00464,-0.00115918
346,0.406815,-0.0034,-0.000293403
347,0.407332,-0.00973,-0.00144717
348,0.390062,0.015366,-0.000587393
349,0.400335,-0.00914,-0.000628994
350,0.406097,0.012174,4.37331e-05
351,0.441043,-0.01336,0.000715774
352,0.437622,0.005565,-0.00160259
353,0.417075,0.006855,-0.00144783
354,0.428122,-0.00563,0.000562022
355,0.421072,-0.00293,-0.00366513
356,0.415697,-0.00157,-0.0012305
357,0.421892,0.006747,-0.000946029
358,0.421591,0.000102,0.000395476
359,0.420368,-0.00755,-0.00215454
360,0.417333,0.000112,-0.000300624
361,0.423639,-0.00492,0.00300686
362,0.421357,-0.0041,-0.0011812
363,0.415109,-0.00182,-0.000178129
364,0.430295,0.003358,-0.000344289
365,0.433308,-0.00768,-0.000299991
366,0.430908,0.014239,0.00173853
367,0.458531,0.000383,-0.00209308
368,0.44109,0.005141,-0.00286445
369,0.426831,-0.00674,-0.00202693
370,0.434059,0.008851,-0.000740335
371,0.419568,0.013186,-0.00200592
372,0.436391,-0.01473,-0.00154677
373,0.416064,0.007898,0.000465971
374,0.423769,-0.00049,0.00131136
375,0.404121,0.017324,0.00200029
376,0.431082,-0.01741,-0.000613958
377,0.423432,-0.00782,0.00311038
378,0.416594,0.003377,0.000670347
379,0.434623,-0.00013,-0.00110323
380,0.424253,-0.00241,0.000207213
381,0.438193,0.015506,0.00208507
382,0.443347,0.00011,-8.95746e-05
383,0.432437,0.00887,-0.000697233
384,0.435459,0.000549,0.000438072
385,0.41702,0.009735,-0.000571255
386,0.41478,0.007029,8.72708e-05
387,0.409858,0.016629,0.000678482
388,0.416764,-0.00161,4.13292e-05
389,0.4198,-0.00268,0.00115044
390,0.4198,-0.00268,0.00115044
391,0.401435,-0.00194,0.00067748
392,0.398909,0.004422,-0.00174524
393,0.395679,0.004196,-0.00129358
394,0.403868,-0.0099,-0.00302884
395,0.389921,0.012164,-0.0014888
396,0.410008,-0.00243,-0.00266998
397,0.437577,-0.01624,-0.000410679
398,0.432809,0.003224,4.05024e-05
399,0.448843,0.004767,0.00191875
400,0.452707,0.004809,-0.00110619
401,0.447657,-0.00345,-0.00117209
402,0.436742,0.01437,-0.001555
403,0.432317,-0.00039,-6.98981e-05
404,0.424237,0.027631,0.00011856
405,0.424376,-0.006,0.000474017
406,0.407815,0.006011,0.000849169
407,0.416281,0.007373,0.000635254
408,0.400807,0.010411,0.000159119
409,0.392497,0.022003,-0.00282566
410,0.403612,0.003024,-0.000743824
411,0.403612,0.003024,-0.000743824
412,0.406169,-0.01329,-0.00141137
413,0.406169,-0.01329,-0.00141137
414,0.40755,0.002565,0.00153661
415,0.418697,-0.0021,-0.000394941
416,0.413369,0.00675,0.00114092
417,0.414469,-0.0083,0.00177359
418,0.399054,0.024353,0.000658914
419,0.414005,0.024585,-0.000258923
420,0.431829,-0.01843,0.00205776
421,0.432685,0.028083,0.00238655
422,0.437751,-0.00525,-0.00242253
423,0.453709,0.01803,0.000266988
424,0.449735,-0.0032,-0.00179365
425,0.42478,0.007191,0.00044757
426,0.444035,-0.01748,-0.00173615
427,0.429507,0.006937,-2.91833e-05
428,0.421075,-0.00024,0.00286907
429,0.427681,-0.01139,0.000214777
430,0.429169,0.009171,-0.000671076
431,0.420737,-0.00523,-0.000100655
432,0.413006,0.002393,0.000815227
433,0.414806,0.00103,-0.000497353
434,0.414806,0.00103,-0.000497353
435,0.433397,-0.00031,2.41418e-05
436,0.427208,0.001312,-0.00135459
437,0.432471,-0.00302,0.000987809
438,0.412594,0.014701,5.0998e-05
439,0.442914,-0.01392,0.00168103
440,0.424136,0.022766,-0.00234199
441,0.426875,-0.01519,0.00316648
442,0.428276,0.000589,-0.000462711
443,0.424244,-0.00358,0.00202427
444,0.406526,-0.00131,-0.00198115
445,0.411684,0.006597,0.00311504
446,0.411529,-0.00719,-0.00132033
447,0.425676,0.003272,-0.00122296
448,0.44975,-0.00803,0.00335876
449,0.438191,-0.00726,-0.000512128
450,0.436925,0.009027,0.000346447
451,0.452105,-0.01147,0.00367744
452,0.461132,0.01682,-0.000129089
453,0.45039,-0.00223,0.000414695
454,0.434727,0.012594,-0.00139566
455,0.462779,-0.00081,-0.000284372
456,0.440653,0.014694,0.000851528
457,0.442998,-0.01945,-0.00143291
458,0.417991,0.014114,0.00159409
459,0.441361,-0.03244,-0.00151367
460,0.441361,-0.03244,-0.00151367
461,0.389261,0.016571,-0.00156816
462,0.389261,0.016571,-0.00156816
463,0.388896,0.005638,0.00254531
464,0.425065,-0.00185,-0.000765387
465,0.430187,-0.00922,0.00100207
