ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.367621,-0.117139,null,null,null
-0.166121,null,-0.122676,null,null
0.4374,-0.0607655,null,null,null
-0.163709,null,-0.166938,null,null
0.427535,-0.0278769,null,null,null
-0.210204,null,-0.0748065,null,null
0.411668,0.050397,null,null,null
-0.26813,null,-0.089126,null,null
0.349854,0.00414888,null,null,null
-0.296389,null,-0.107108,null,null
0.349854,0.00414888,null,null,null
-0.296389,null,-0.107108,null,null
0.378033,-0.00705,null,null,null
-0.32924,null,-0.126047,null,null
0.370738,0.0460455,null,null,null
-0.267336,null,-0.15289,null,null
0.462538,-0.0701395,null,null,null
-0.358982,null,-0.052201,null,null
0.329439,-0.0636685,null,null,null
-0.381784,null,-0.106469,null,null
0.325786,-0.136016,null,null,null
-0.359564,null,-0.131794,null,null
0.325786,-0.136016,null,null,null
-0.359564,null,-0.131794,null,null
0.296036,-0.0384687,null,null,null
-0.357156,null,-0.133489,null,null
0.273929,0.044311,null,null,null
-0.447165,null,-0.135846,null,null
0.296367,0.0420152,null,null,null
-0.369185,null,-0.0910845,null,null
0.308293,0.00392957,null,null,null
-0.4046,null,-0.127458,null,null
0.203807,0.0191876,null,null,null
-0.330255,null,-0.0495852,null,null
0.127158,0.0280777,null,null,null
-0.343496,null,-0.08665,null,null
0.0413692,0.0334391,null,null,null
-0.281504,null,-0.0621955,null,null
0.0496144,0.0163104,null,null,null
-0.285778,null,-0.0775995,null,null
0.127285,0.012293,null,null,null
-0.258472,null,-0.0397784,null,null
0.0914765,0.0483316,null,null,null
-0.222052,null,-0.057082,null,null
0.145732,0.088687,null,null,null
-0.226408,null,0.00389858,null,null
0.172531,0.054943,null,null,null
-0.257115,null,0.0223163,null,null
0.174087,-0.00570405,null,null,null
-0.103036,null,0.0440318,null,null
0.239161,0.112696,null,null,null
-0.188224,null,0.000780215,null,null
0.202798,0.180375,null,null,null
-0.185268,null,0.0495958,null,null
0.223677,0.17197,null,null,null
-0.113948,null,0.0194956,null,null
0.204842,0.112201,null,null,null
-0.186564,null,0.0176697,null,null
0.266541,0.171647,null,null,null
-0.140232,null,0.0269621,null,null
0.326985,0.186416,null,null,null
-0.180981,null,0.0336943,null,null
0.346824,0.134857,null,null,null
-0.302241,null,-0.0594425,null,null
0.267282,0.111751,null,null,null
-0.134802,null,-0.115361,null,null
0.245029,0.135119,null,null,null
-0.223574,null,-0.0930375,null,null
0.333471,0.227194,null,null,null
-0.277161,null,-0.163483,null,null
0.368439,0.220844,null,null,null
-0.197446,null,-0.093428,null,null
0.327662,0.145305,null,null,null
-0.233471,null,-0.067629,null,null
0.406911,0.196788,null,null,null
-0.176796,null,-0.0594305,null,null
0.434816,0.159766,null,null,null
-0.168793,null,0.0836435,null,null
0.345647,0.189184,null,null,null
-0.132816,null,0.00766935,null,null
0.369823,0.251245,null,null,null
-0.135281,null,-0.0248475,null,null
0.374408,0.221708,null,null,null
-0.115503,null,0.00108476,null,null
0.340757,0.175087,null,null,null
-0.126344,null,-0.0077274,null,null
0.371875,0.21787,null,null,null
-0.196306,null,0.0100669,null,null
0.474075,0.224476,null,null,null
-0.17912,null,-0.0397733,null,null
0.450908,0.216117,null,null,null
-0.14599,null,-0.0063947,null,null
0.42598,0.154952,null,null,null
-0.0745875,null,0.0155855,null,null
0.407039,0.184212,null,null,null
-0.205621,null,-0.00650395,null,null
0.418607,0.205909,null,null,null
-0.0581995,null,0.0157639,null,null
0.418607,0.205909,null,null,null
-0.0581995,null,0.0157639,null,null
0.432459,0.229578,null,null,null
-0.110058,null,-0.0027214,null,null
0.471274,0.213617,null,null,null
-0.0847485,null,0.00202006,null,null
0.423622,0.307773,null,null,null
-0.058699,null,-0.019585,null,null
0.463362,0.284826,null,null,null
-0.135226,null,-0.062086,null,null
0.467568,0.315613,null,null,null
-0.080475,null,-0.066192,null,null
0.472321,0.175518,null,null,null
-0.0927365,null,-0.0648735,null,null
0.4886,0.123207,null,null,null
-0.153913,null,-0.101917,null,null
0.471484,0.234807,null,null,null
-0.245623,null,-0.0565805,null,null
0.489294,0.199207,null,null,null
-0.196507,null,0.00328028,null,null
0.436182,0.240473,null,null,null
-0.190742,null,-0.0126147,null,null
0.474073,0.2107,null,null,null
-0.334948,null,-0.0193535,null,null
0.474073,0.2107,null,null,null
-0.334948,null,-0.0193535,null,null
0.51527,0.199188,null,null,null
-0.368722,null,-0.0443146,null,null
0.51527,0.199188,null,null,null
-0.368722,null,-0.0443146,null,null
0.442602,0.154089,null,null,null
-0.393763,null,-0.0055286,null,null
0.448402,0.200717,null,null,null
-0.35821,null,-0.067281,null,null
0.52439,0.158327,null,null,null
-0.344485,null,-0.062236,null,null
0.488716,0.244007,null,null,null
-0.390953,null,-0.036893,null,null
0.413531,0.195274,null,null,null
-0.469555,null,0.0120652,null,null
0.412938,0.227186,null,null,null
-0.423847,null,0.0776005,null,null
0.427372,0.131322,null,null,null
-0.46627,null,0.0586465,null,null
0.405183,0.237735,null,null,null
-0.50664,null,-0.0493746,null,null
0.434272,0.155443,null,null,null
-0.506295,null,-0.061489,null,null
0.399154,0.182903,null,null,null
-0.474384,null,-0.0784645,null,null
0.33809,0.210444,null,null,null
-0.443065,null,-0.138919,null,null
0.35805,0.232297,null,null,null
-0.431416,null,-0.103741,null,null
0.339896,0.2701,null,null,null
-0.407836,null,-0.070656,null,null
0.355646,0.230032,null,null,null
-0.383488,null,-0.0372916,null,null
0.388939,0.196158,null,null,null
-0.355094,null,-0.0359584,null,null
0.319504,0.153523,null,null,null
-0.259825,null,-0.0604795,null,null
0.213898,0.13343,null,null,null
-0.306784,null,0.0546195,null,null
0.167656,0.100479,null,null,null
-0.340904,null,0.0836855,null,null
0.221389,0.0715265,null,null,null
-0.260943,null,0.0599205,null,null
0.244264,0.054509,null,null,null
-0.25753,null,0.133187,null,null
0.254216,0.0694765,null,null,null
-0.205336,null,0.150966,null,null
0.17925,0.0193834,null,null,null
-0.239024,null,0.259083,null,null
0.226949,0.00532685,null,null,null
-0.280632,null,0.239013,null,null
0.178891,-0.016523,null,null,null
-0.221992,null,0.23114,null,null
0.0869045,-0.05731,null,null,null
-0.235002,null,0.267489,null,null
0.0872415,-0.0455388,null,null,null
-0.248525,null,0.276921,null,null
0.0628715,-0.0608295,null,null,null
-0.184406,null,0.238229,null,null
0.0309067,-0.14574,null,null,null
-0.22404,null,0.277589,null,null
0.0288565,-0.189649,null,null,null
-0.133487,null,0.320715,null,null
0.0706685,-0.141246,null,null,null
-0.225546,null,0.254963,null,null
0.0796805,-0.145055,null,null,null
-0.176796,null,0.222879,null,null
0.00623935,-0.105076,null,null,null
-0.240375,null,0.217098,null,null
-0.0359172,-0.175623,null,null,null
-0.261838,null,0.235603,null,null
-0.00386105,-0.119222,null,null,null
-0.191312,null,0.180686,null,null
-0.00224144,-0.106077,null,null,null
-0.201151,null,0.151376,null,null
0.0118657,-0.099936,null,null,null
-0.207162,null,0.195402,null,null
-0.110301,-0.10985,null,null,null
-0.211487,null,0.210335,null,null
-0.126356,-0.197889,null,null,null
-0.202625,null,0.188793,null,null
-0.126356,-0.197889,null,null,null
-0.202625,null,0.188793,null,null
-0.126356,-0.197889,null,null,null
-0.202625,null,0.188793,null,null
-0.0659505,-0.121188,null,null,null
-0.108457,null,0.180972,null,null
-0.0342483,-0.100667,null,null,null
-0.119739,null,0.215509,null,null
-0.0446766,-0.0577855,null,null,null
-0.0586285,null,0.249407,null,null
-0.106242,-0.0290348,null,null,null
-0.071837,null,0.196236,null,null
-0.078193,-0.058741,null,null,null
-0.127059,null,0.161716,null,null
-0.078193,-0.058741,null,null,null
-0.127059,null,0.161716,null,null
-0.186409,-0.0215972,null,null,null
-0.189277,null,0.132609,null,null
-0.139963,-0.0315771,null,null,null
-0.109383,null,0.0918655,null,null
-0.085311,-0.0483002,null,null,null
-0.0937505,null,0.184622,null,null
-0.0684435,-0.064352,null,null,null
-0.084967,null,0.177428,null,null
0.039337,-0.110714,null,null,null
-0.112078,null,0.098782,null,null
-0.0179105,-0.104223,null,null,null
-0.086949,null,0.121278,null,null
-0.0828895,-0.057431,null,null,null
-0.0857725,null,0.0450496,null,null
-0.014124,-0.0183916,null,null,null
-0.126466,null,0.11177,null,null
-0.0907415,-0.0454355,null,null,null
-0.095264,null,0.081063,null,null
-0.158616,-0.0214232,null,null,null
-0.124179,null,0.075368,null,null
-0.288627,-0.0480771,null,null,null
-0.155156,null,0.096526,null,null
-0.272049,-0.0794535,null,null,null
-0.229273,null,0.221711,null,null
-0.371077,-0.0962025,null,null,null
-0.193899,null,0.187375,null,null
-0.355163,-0.142487,null,null,null
-0.238829,null,0.18891,null,null
-0.319141,-0.083185,null,null,null
-0.269072,null,0.285695,null,null
-0.36382,-0.187836,null,null,null
-0.239936,null,0.335398,null,null
-0.302884,-0.159034,null,null,null
-0.204191,null,0.361482,null,null
-0.213376,-0.211767,null,null,null
-0.218003,null,0.325319,null,null
-0.282485,-0.194186,null,null,null
-0.177293,null,0.341328,null,null
-0.293967,-0.21988,null,null,null
-0.145887,null,0.413351,null,null
-0.293482,-0.189849,null,null,null
-0.254145,null,0.383206,null,null
-0.238794,-0.150395,null,null,null
-0.197945,null,0.328011,null,null
-0.192609,-0.165971,null,null,null
-0.228031,null,0.340556,null,null
-0.214641,-0.280305,null,null,null
-0.196788,null,0.301726,null,null
-0.217188,-0.317609,null,null,null
-0.201916,null,0.308205,null,null
-0.162172,-0.343824,null,null,null
-0.197,null,0.305794,null,null
-0.221103,-0.419759,null,null,null
-0.234609,null,0.240587,null,null
-0.210783,-0.407622,null,null,null
-0.293988,null,0.129894,null,null
-0.199471,-0.383086,null,null,null
-0.33352,null,0.13513,null,null
-0.199471,-0.383086,null,null,null
-0.33352,null,0.13513,null,null
-0.199471,-0.383086,null,null,null
-0.33352,null,0.13513,null,null
-0.206955,-0.327219,null,null,null
-0.248081,null,0.19521,null,null
-0.161804,-0.280166,null,null,null
-0.310378,null,0.244336,null,null
-0.229761,-0.306083,null,null,null
-0.298755,null,0.205984,null,null
-0.234403,-0.229848,null,null,null
-0.260961,null,0.126935,null,null
-0.15056,-0.253619,null,null,null
-0.326319,null,0.052925,null,null
-0.15056,-0.253619,null,null,null
-0.326319,null,0.052925,null,null
-0.122468,-0.317028,null,null,null
-0.277747,null,0.0269947,null,null
-0.148332,-0.334653,null,null,null
-0.264589,null,0.0612875,null,null
-0.121062,-0.367073,null,null,null
-0.274749,null,0.024622,null,null
-0.138599,-0.456537,null,null,null
-0.258275,null,-0.00361625,null,null
-0.158541,-0.440798,null,null,null
-0.354259,null,0.0561305,null,null
-0.105455,-0.432898,null,null,null
-0.36975,null,0.0104145,null,null
-0.0107025,-0.449833,null,null,null
-0.312858,null,0.0088167,null,null
-0.0262824,-0.470136,null,null,null
-0.306692,null,0.0206695,null,null
-0.108103,-0.451368,null,null,null
-0.176909,null,-0.00630425,null,null
-0.084132,-0.392274,null,null,null
-0.117395,null,-0.062644,null,null
-0.0341783,-0.423258,null,null,null
-0.0910455,null,-0.053472,null,null
-0.143906,-0.386767,null,null,null
-0.121889,null,-0.057389,null,null
-0.172973,-0.401358,null,null,null
-0.174194,null,-0.0358134,null,null
-0.152602,-0.309174,null,null,null
-0.173566,null,-0.0336436,null,null
-0.135251,-0.253285,null,null,null
-0.152904,null,-0.0330809,null,null
-0.197021,-0.22399,null,null,null
-0.146715,null,0.00798,null,null
-0.302926,-0.259506,null,null,null
-0.175927,null,-0.102736,null,null
-0.299378,-0.227008,null,null,null
-0.150987,null,-0.076905,null,null
-0.299378,-0.227008,null,null,null
-0.150987,null,-0.076905,null,null
-0.239627,-0.244586,null,null,null
-0.137085,null,-0.0814025,null,null
-0.236982,-0.214239,null,null,null
-0.0787625,null,-0.0845605,null,null
-0.31761,-0.245148,null,null,null
-0.0852015,null,-0.0379355,null,null
-0.271656,-0.164467,null,null,null
-0.152997,null,-0.0481914,null,null
-0.210427,-0.1322,null,null,null
-0.118545,null,-0.102168,null,null
-0.193594,-0.117316,null,null,null
-0.12491,null,-0.122965,null,null
-0.161679,-0.120638,null,null,null
-0.24827,null,-0.118905,null,null
-0.0638045,-0.091537,null,null,null
-0.279861,null,-0.0935075,null,null
-0.166665,-0.0978175,null,null,null
-0.293144,null,-0.111033,null,null
-0.077982,-0.0738325,null,null,null
-0.282301,null,-0.198012,null,null
-0.0119151,-0.114937,null,null,null
-0.325178,null,-0.187795,null,null
0.0251891,-0.0848155,null,null,null
-0.391683,null,-0.151994,null,null
0.0194536,-0.052231,null,null,null
-0.368802,null,-0.153673,null,null
-0.0257284,-0.0836455,null,null,null
-0.332643,null,-0.0444544,null,null
8.71065e-05,-0.0900925,null,null,null
-0.308787,null,-0.0212364,null,null
-0.065256,-0.0823805,null,null,null
-0.29193,null,-0.0329531,null,null
-0.074794,-0.072051,null,null,null
-0.269021,null,-0.00412516,null,null
0.00789965,-0.076533,null,null,null
-0.263369,null,0.0745465,null,null
-0.100675,-0.054169,null,null,null
-0.26246,null,0.0214135,null,null
-0.145152,-0.110881,null,null,null
-0.239149,null,-0.0292909,null,null
-0.102524,-0.121426,null,null,null
-0.235152,null,-0.0100006,null,null
-0.15137,-0.0910065,null,null,null
-0.197417,null,0.0215729,null,null
-0.0694355,-0.071342,null,null,null
-0.176475,null,0.0212365,null,null
-0.0450582,-0.093113,null,null,null
-0.264228,null,0.03917,null,null
-4.03012e-05,-0.0426708,null,null,null
-0.268529,null,-0.0106924,null,null
0.0123848,-0.0125021,null,null,null
-0.180446,null,0.00236249,null,null
0.0229028,-0.082597,null,null,null
