MDTU,	ReAvg,ImAvg,Sum,Sum-ReAvg
2690,	0.765971,-0.00103705,0.70957,-0.0564002
2700,	0.768305,0.00227517,0.676067,-0.0922376
2710,	0.768597,0.00230463,0.652414,-0.116183
2720,	0.772568,-0.00161013,0.732343,-0.0402248
2730,	0.771355,0.00102017,0.840226,0.0688718
2740,	0.769443,0.00204012,0.723,-0.046443
2750,	0.758403,-0.00364735,0.790291,0.0318883
2760,	0.765124,0.000312207,0.772941,0.00781603
2770,	0.764966,0.000879948,0.785405,0.0204394
2780,	0.769437,0.00361848,0.847813,0.0783761
2790,	0.763524,-0.00039426,0.79404,0.0305162
2800,	0.768687,0.000926588,0.745042,-0.0236449
2810,	0.767146,0.000220697,0.693379,-0.0737669
2820,	0.769935,0.0021274,0.713037,-0.0568977
2830,	0.768685,-0.00107824,0.764434,-0.0042503
2840,	0.769869,-0.00264654,0.783714,0.0138455
2850,	0.76641,-0.00257428,0.705423,-0.0609872
2860,	0.766143,0.00197197,0.758713,-0.00742961
2870,	0.774423,-0.00214357,0.785684,0.0112616
2880,	0.767582,-0.00168927,0.758537,-0.00904476
2890,	0.765745,0.000118482,0.75809,-0.00765556
2900,	0.768726,0.00313393,0.664615,-0.10411
2910,	0.768667,0.000683275,0.787683,0.0190164
2920,	0.765512,0.00152963,0.694015,-0.0714975
2930,	0.770636,0.00131715,0.792943,0.022307
2940,	0.762753,-0.00113762,0.734668,-0.0280856
2950,	0.768398,-0.000764949,0.797942,0.0295442
2960,	0.76755,-0.0022269,0.77298,0.00543021
2970,	0.771505,-0.00206574,0.70878,-0.0627243
2980,	0.764789,0.00207157,0.765477,0.00068834
2990,	0.765271,0.00549295,0.782777,0.0175065
3000,	0.769049,0.000130276,0.708129,-0.0609205
3010,	0.771669,-0.000483769,0.794308,0.0226395
3020,	0.768276,-0.000833887,0.730276,-0.0379995
3030,	0.76808,0.00539407,0.690965,-0.077115
3040,	0.77569,-0.000605394,0.819842,0.044152
3050,	0.774298,-0.000376986,0.788917,0.0146195
3060,	0.763224,0.000189936,0.666535,-0.0966893
3070,	0.766799,-0.00215882,0.761908,-0.00489069
3080,	0.767692,0.000645238,0.706901,-0.0607908
3090,	0.770579,0.00155493,0.631184,-0.139395
3100,	0.766924,-0.00056769,0.793319,0.0263947
3110,	0.769044,-0.000709819,0.783736,0.0146915
