MDTU,S_F
890,0.997949
891,0.998688
892,0.999489
893,1.00079
894,1.00108
895,1.00517
896,0.995283
897,0.999989
898,1.00204
899,0.997051
900,0.996272
901,1.00009
902,0.998267
903,1.00178
904,1.00076
905,1.00597
906,0.996854
907,0.999226
908,1.00037
909,1.0016
910,1.00071
911,0.997487
912,1.0031
913,0.999817
914,1.00102
915,0.998409
916,0.998839
917,1.00219
918,0.995275
919,1.00397
920,0.997134
921,0.995605
922,0.9951
923,0.999653
924,1.00258
925,1.00217
926,0.995936
927,1.00144
928,1.0006
929,0.998937
930,0.996659
931,1.0005
932,1.00297
933,0.996167
934,0.997382
935,0.996041
936,1.00051
937,1.00487
938,1.00137
939,0.999261
940,1.00152
941,1.00051
942,0.997407
943,0.998805
944,1.00103
945,0.998352
946,1.00085
947,1.00234
948,1.00079
949,1.00048
950,0.998146
951,0.99949
952,1.00223
953,0.994507
954,1.00314
955,1.00224
956,0.997306
957,0.999995
958,1.00014
959,0.998705
960,1.00174
961,1.00033
962,1.00002
963,1.00101
964,1.0019
965,1.00175
966,0.996965
967,1.00148
968,0.999674
969,1.00106
970,1.00148
971,1.00303
972,0.998052
973,0.999673
974,0.9993
975,0.995035
976,0.995403
977,1.00214
978,1.00287
979,1.00277
980,1.00273
981,1.00275
982,1.00034
983,0.998383
984,0.99479
985,0.998059
986,0.995708
987,1.00273
988,1.00089
989,1.00118
990,1.00364
991,0.999342
992,1.00049
993,1.0021
994,0.999795
995,1.00292
996,0.998146
997,1.00524
998,1.00285
999,1.00159
1000,1.00061
1001,0.997605
1002,0.995487
1003,1.00105
1004,1.00077
1005,0.995915
1006,1.00278
1007,0.99831
1008,0.995335
1009,0.999226
1010,0.998985
1011,0.997603
1012,1.00322
1013,1.00162
1014,1.00104
1015,0.995431
1016,0.996112
1017,0.996399
1018,1.00234
1019,1.00023
1020,1.00047
1021,1.00113
1022,0.999102
1023,0.997007
1024,0.999642
1025,1.00099
1026,0.995846
1027,0.994212
1028,1.00112
1029,0.998947
1030,0.998652
1031,1.00409
1032,1.0042
1033,0.996676
1034,1.00127
1035,1.00251
1036,1.00073
1037,0.99836
1038,1.00213
1039,1.00391
1040,1.00037
1041,0.998769
1042,0.998509
1043,0.999119
1044,0.999387
1045,1.00088
1046,0.999913
1047,0.998956
1048,0.996994
1049,0.999778
1050,1.00087
1051,1.00345
1052,1.00277
1053,1.00319
1054,1.00302
1055,0.99588
1056,0.998491
1057,0.999426
1058,1.00206
1059,1.00171
1060,1.00284
1061,1.00074
1062,1.00425
1063,0.995517
1064,1.00017
1065,0.999009
1066,0.998548
1067,1.00129
1068,0.999156
1069,1.00161
1070,1.00457
1071,0.998288
1072,1.0047
1073,1.00348
1074,0.996084
1075,0.999814
1076,0.996945
1077,1.0034
1078,0.997192
1079,0.998778
1080,1.00193
1081,1.00018
1082,1.00232
1083,1.00191
1084,1.00803
1085,1.00074
1086,0.997769
1087,1.00251
1088,0.999799
1089,0.999659
1090,0.994983
1091,1.00195
