t,cg_iters
1071,8402
1072,7978
1073,7132
1074,6455
1075,5937
1076,6080
1077,5838
1078,6164
1079,6144
1080,5986
1081,5782
1082,5843
1083,7143
1084,7732
1085,7655
1086,7629
1087,7513
1088,7958
1089,7988
1090,7777
1091,6730
1092,5771
1093,5548
1094,5555
1095,5520
1096,5472
1097,5393
1098,5355
1099,5516
1100,5441
1101,5428
1102,5335
1103,5537
1104,5621
1105,5534
1106,5488
1107,5223
1108,5430
1109,5374
1110,5326
1111,5447
1112,5520
1113,5738
1114,5808
1115,5410
1116,5102
1117,4920
1118,5047
1119,5387
1120,5331
1121,4963
1122,4936
1123,4963
1124,5207
1125,5166
1126,4892
1127,5114
1128,5172
1129,5633
1130,5650
1131,5407
1132,5344
1133,5464
1134,5348
1135,5143
1136,5116
1137,5170
1138,5222
1139,5278
1140,5451
1141,5387
1142,5254
1143,5833
1144,6051
1145,6112
1146,6443
1147,5996
1148,5675
1149,6010
1150,6183
1151,5677
1152,5776
1153,6418
1154,6674
1155,6299
1156,6503
1157,6492
1158,6522
1159,6676
1160,6956
1161,6799
1162,6740
1163,7102
1164,6879
1165,6605
1166,5780
1167,5902
1168,5950
1169,5942
1170,6003
1171,6022
1172,5922
1173,5909
1174,6085
1175,6115
1176,5650
1177,5475
1178,5568
1179,5995
1180,6449
1181,6577
1182,6646
1183,6690
1184,6544
1185,6754
1186,6646
1187,6681
1188,6888
1189,6605
1190,6496
1191,6204
1192,6718
1193,6630
1194,6058
1195,6004
1196,6050
1197,6137
1198,6570
1199,6215
1200,5822
1201,5984
1202,6321
1203,5894
1204,5906
1205,6007
1206,5935
1207,5989
1208,6091
1209,6164
1210,6349
1211,6884
1212,7283
1213,7408
1214,7299
1215,7259
1216,7281
1217,7439
1218,7178
1219,6773
1220,6548
1221,6489
1222,6831
1223,6749
1224,6425
1225,6697
1226,6810
1227,6666
1228,6532
1229,6364
1230,6688
1231,6435
1232,6233
1233,6102
1234,5918
1235,6971
1236,7134
1237,6899
1238,7346
1239,7355
1240,6924
1241,6611
1242,6689
1243,6532
1244,6240
1245,6413
1246,6458
1247,6172
1248,6221
1249,7085
1250,6697
1251,6483
1252,6660
1253,6984
1254,6414
1255,5859
1256,5711
1257,6147
1258,6108
1259,6187
1260,6267
1261,6350
1262,5888
1263,5962
1264,5975
1265,5999
1266,6181
1267,6402
1268,6539
1269,6285
1270,6277
1271,6634
1272,7087
1273,7293
1274,6713
1275,5947
1276,5581
1277,5827
1278,6026
1279,6254
1280,6396
1281,6099
1282,6368
1283,6707
1284,6072
1285,6440
1286,6020
1287,5869
1288,6422
1289,6325
1290,6195
1291,6283
1292,6646
1293,6688
1294,6942
1295,6809
1296,7268
1297,6801
1298,6514
1299,7392
1300,7986
1301,7504
1302,6937
1303,6393
1304,6709
1305,6399
1306,5866
1307,5992
1308,5648
1309,5409
1310,5504
1311,5956
1312,5910
1313,6014
1314,6352
1315,6292
1316,6182
1317,6085
1318,6345
1319,6788
1320,6660
1321,5989
1322,6029
1323,6462
1324,6250
1325,6413
1326,6947
1327,7105
1328,6963
1329,7624
1330,7731
1331,8330
1332,9374
1333,9886
1334,10311
1335,10045
1336,11662
1337,11676
1338,10637
1339,10740
1340,8443
1341,7309
1342,6733
1343,7236
1344,7331
1345,6200
1346,6515
1347,6395
1348,6506
1349,7198
1350,8087
1351,8298
1352,7189
1353,6917
1354,6931
1355,6712
1356,6265
1357,6038
1358,6320
1359,6984
1360,7419
1361,7774
1362,7259
1363,6365
1364,6688
1365,7320
1366,7770
1367,7896
1368,8617
1369,8731
1370,8098
1371,7530
1372,8182
1373,8489
1374,8707
1375,8725
1376,8737
1377,8256
1378,8081
1379,8289
1380,9388
1381,9299
1382,8409
1383,8429
1384,8588
1385,8167
1386,7409
1387,8261
1388,9565
1389,7796
1390,7128
1391,7276
1392,6810
1393,6204
1394,6320
1395,6081
1396,5845
1397,5681
1398,5756
1399,5479
1400,5162
1401,5281
1402,5630
1403,5584
1404,5467
1405,5465
1406,6115
1407,6110
1408,5973
1409,5896
1410,5741
1411,5923
1412,5993
1413,5886
1414,6263
1415,6647
1416,7659
1417,7482
1418,6877
1419,7216
1420,7332
1421,7354
1422,7187
1423,6553
1424,6392
1425,6085
1426,6538
1427,6438
1428,5795
1429,5606
1430,5595
1431,5575
1432,5841
1433,5854
1434,5626
1435,5793
1436,6331
1437,5841
1438,5373
1439,5323
1440,5331
1441,5406
1442,5425
1443,5397
1444,5251
1445,5454
1446,6143
1447,6308
1448,6106
1449,5910
1450,6139
1451,5889
1452,5232
1453,5658
1454,5670
1455,6006
1456,5899
1457,5753
1458,6125
1459,5807
1460,6061
1461,6044
1462,6077
1463,6078
1464,6209
1465,6027
1466,5913
1467,6402
1468,6133
1469,6072
1470,6299
1471,6663
1472,7042
1473,7133
1474,6772
1475,6603
1476,6374
1477,5925
1478,5924
1479,6643
1480,6861
1481,6264
1482,5993
1483,6360
1484,6138
1485,6024
1486,6466
1487,6855
1488,6976
1489,6493
1490,6004
1491,6169
1492,6313
1493,6442
1494,6494
1495,6303
1496,6455
1497,6266
1498,6643
1499,6716
1500,6455
1501,6489
1502,6576
1503,6824
1504,6504
1505,6293
1506,6255
1507,6139
1508,5668
1509,5709
1510,6021
1511,6110
1512,6128
1513,5875
1514,5511
1515,5874
1516,6142
1517,5825
1518,5430
1519,5376
1520,5496
1521,5480
1522,5708
1523,5958
1524,6017
1525,5905
1526,5765
1527,5333
1528,5435
1529,5321
1530,5239
1531,5634
1532,5792
1533,5472
1534,5537
1535,5384
1536,5499
1537,5620
1538,5803
1539,5784
1540,5462
1541,5479
1542,5777
1543,5631
1544,4986
1545,5113
1546,5005
1547,5159
1548,5365
1549,5359
1550,5771
1551,5551
1552,5793
1553,6023
1554,5870
1555,6048
1556,5704
1557,5762
1558,5854
1559,6178
1560,5722
1561,6263
1562,6369
1563,6050
1564,6061
1565,6364
1566,6630
1567,5908
1568,5713
1569,6382
1570,6659
1571,6292
1572,6003
1573,6489
1574,6723
1575,6577
1576,6577
1577,6146
1578,6206
1579,6175
1580,6063
1581,6043
1582,5980
1583,5917
1584,6770
1585,6443
1586,6346
1587,6174
1588,5595
1589,6055
1590,6397
1591,6098
1592,6029
1593,6153
1594,5941
1595,6134
1596,6201
1597,6232
1598,5796
1599,5832
1600,5630
1601,5545
1602,5670
1603,5551
1604,5691
1605,5618
1606,5244
1607,5365
1608,5397
1609,5599
1610,5698
1611,5543
1612,5581
1613,5442
1614,5268
1615,5164
1616,5189
1617,5246
1618,5282
1619,5149
1620,5280
1621,5337
1622,5813
1623,5730
1624,6077
1625,6111
1626,6125
1627,6135
1628,5903
1629,5745
1630,5684
1631,5425
1632,5105
1633,5069
1634,5177
1635,5225
1636,5444
1637,5586
1638,5358
1639,5182
1640,5279
1641,5626
1642,6022
1643,6107
1644,6180
1645,5763
1646,5288
1647,5186
1648,5254
1649,5289
1650,5216
1651,4954
1652,5063
1653,5566
1654,5605
1655,5667
1656,5606
1657,5398
1658,5575
1659,5350
1660,5468
1661,5293
1662,5504
1663,5790
1664,5850
1665,6328
1666,6389
1667,6759
1668,6464
1669,6556
1670,6108
1671,5949
1672,6639
1673,6608
1674,5962
1675,5316
1676,5335
1677,5404
1678,5971
1679,5583
1680,5003
1681,5143
1682,5486
1683,5657
1684,5473
1685,5747
1686,5917
1687,5876
1688,6031
1689,6315
1690,6285
1691,6239
1692,5827
1693,5766
1694,5706
1695,6284
1696,6263
1697,5765
1698,5398
1699,5265
1700,5583
1701,5775
1702,5316
1703,5604
1704,5824
1705,5768
1706,5433
1707,5103
1708,5177
1709,5102
1710,5082
1711,5052
1712,5340
1713,5464
1714,5825
1715,5890
1716,6095
1717,6004
1718,5613
1719,4855
1720,4736
1721,5030
1722,5306
1723,5269
1724,5103
1725,5289
1726,4955
1727,4704
1728,4787
1729,4887
1730,5010
1731,5079
1732,4801
1733,4771
1734,4810
1735,4743
1736,4721
1737,4893
1738,4818
1739,4676
1740,4639
1741,4682
1742,4818
1743,4900
1744,4792
1745,4681
1746,4749
1747,4807
