t,|deltaS|
364,0.05578
365,0.2325
366,0.02412
367,0.1838
368,0.1844
369,0.04173
370,0.1154
371,0.01533
372,0.01718
373,0.1336
374,0.2082
375,0.1414
376,0.2311
377,0.07041
378,0.07703
379,0.08901
380,0.3485
381,0.3152
382,0.1033
383,0.2103
384,0.1015
385,0.2968
386,0.005834
387,0.07841
388,0.06474
389,0.1293
390,0.2205
391,0.01414
392,0.1752
393,0.4863
394,0.2728
395,0.08696
396,0.06829
397,0.2206
398,0.06654
399,0.07956
400,0.1116
401,0.04015
402,0.01891
403,0.01103
404,0.01688
405,0.3058
406,0.06643
407,0.1331
408,0.02186
409,0.1528
410,0.1169
411,0.02082
412,0.06929
413,0.04506
414,0.1549
415,0.219
416,0.002659
417,0.2824
418,0.2085
419,0.3615
420,0.1517
421,0.2576
422,0.03726
423,0.02033
424,0.195
425,0.003634
426,0.07469
427,0.07696
428,0.1235
429,0.2034
430,0.09147
431,0.1853
432,0.1499
433,0.1704
434,0.02769
435,0.09818
436,0.04108
437,0.2084
438,0.267
439,0.1919
440,0.3168
441,0.3277
442,0.1505
443,0.06182
444,0.4026
445,0.3964
446,0.2988
447,0.03992
448,0.01397
449,0.01829
450,0.1333
451,0.05973
452,0.0302
453,0.1002
454,0.1379
455,0.02008
456,0.0775
457,0.2017
458,0.08136
459,0.1356
460,0.09758
461,0.1422
462,0.1877
463,0.03696
464,0.04922
465,0.5963
466,0.1537
467,0.0067
468,0.04849
469,0.2066
470,0.04519
471,0.0003994
472,0.1785
473,0.01745
474,0.2092
475,0.06352
476,0.1855
477,0.1052
478,0.1916
479,0.2648
480,0.1571
481,0.1728
482,0.2616
483,0.1007
484,0.01769
485,0.0477
486,0.204
487,0.06435
488,0.242
489,0.5124
490,0.4291
491,0.07386
492,0.09441
493,0.3151
494,0.1209
495,0.1583
496,0.2013
497,0.136
498,0.05652
499,0.1618
500,0.06167
501,0.03791
502,0.3829
503,0.1234
504,0.1436
505,0.2873
506,0.1374
507,0.08937
508,0.06165
509,0.04461
510,0.1787
511,0.1329
512,0.2269
513,0.0198
514,0.1457
515,0.4316
516,0.1219
517,0.2084
518,0.2621
519,0.1527
520,0.2215
521,0.205
522,0.0304
523,0.1226
524,0.02651
525,0.007528
526,0.05717
527,0.103
528,0.3568
529,0.1944
530,0.2261
531,0.05121
532,0.2632
533,3.234e-05
534,0.0246
535,0.1349
536,0.02419
537,0.1749
538,0.218
539,0.258
540,0.008198
541,0.1219
542,0.006552
543,0.1174
544,0.02081
545,0.2112
546,0.02576
547,0.2356
548,0.2349
549,0.318
550,0.1644
551,0.397
552,0.1445
553,0.09935
554,0.02274
555,0.2761
556,0.04459
557,0.1898
558,0.09641
559,0.4989
560,0.05484
561,0.2847
562,0.2719
563,0.263
564,0.1253
565,0.01071
566,0.02299
567,0.06918
568,0.002792
569,0.08323
570,0.2016
571,0.1659
572,0.0694
573,0.03873
574,0.09973
575,0.145
576,0.1541
577,0.017
578,0.05047
579,0.0499
580,0.03181
581,0.1898
582,0.1326
583,0.08281
584,0.1685
585,0.03084
586,0.08441
587,0.2058
588,0.1387
589,0.03232
590,0.002783
591,0.04443
592,0.1218
593,0.1293
594,0.1292
595,0.212
596,0.1914
597,0.1327
598,0.2468
599,0.1069
600,0.0899
601,0.03063
602,0.0751
603,0.183
604,0.136
605,0.0482
606,0.3972
607,0.04132
608,0.09851
609,0.2667
610,0.3774
611,0.01137
612,0.03758
613,0.01685
614,0.1586
615,0.1536
616,0.1259
617,0.07015
618,0.007522
619,0.0301
620,0.1079
621,0.01365
622,0.1905
623,0.1265
624,0.005141
625,0.2126
626,0.2415
627,0.02804
628,0.04693
629,0.02018
630,0.3781
631,0.2062
632,0.1224
633,0.03513
634,0.06345
635,0.08834
636,0.1429
637,0.2586
638,0.23
639,0.1841
640,0.02602
641,0.2221
642,0.116
643,0.008403
644,0.01278
645,0.06589
646,0.2136
647,0.01769
648,0.03795
649,0.1292
650,0.1611
651,0.09765
652,0.01537
653,0.02033
654,0.07355
655,0.04875
656,0.2672
657,0.1458
658,0.1131
659,0.1267
660,0.07435
661,0.005786
662,0.06333
663,0.07629
664,0.1004
665,0.1373
666,0.3451
667,0.3973
668,0.09829
669,0.33
670,0.03733
671,0.218
672,0.2697
673,0.05813
674,0.06556
675,0.00978
676,0.04324
677,0.06782
678,0.3454
679,0.2306
680,0.3076
681,0.01513
682,0.02862
683,0.1745
684,0.03483
685,0.09847
686,0.1451
687,0.04473
688,0.1487
689,0.03168
690,0.09993
691,0.07107
692,0.03679
693,0.1253
694,0.06918
695,0.09731
696,0.2108
697,0.07139
698,0.1528
699,0.1978
700,0.2195
701,0.03452
702,0.04941
703,0.1286
704,0.07029
705,0.116
706,0.1474
707,0.08862
708,0.09959
709,0.1837
710,0.2457
711,0.2232
712,0.1274
713,0.1286
714,0.2773
715,0.04252
716,0.1166
717,0.4322
718,0.211
719,0.1368
720,0.3748
721,0.3155
722,0.02083
723,0.0749
724,0.1263
725,0.1755
726,0.009705
727,0.08403
728,0.1395
729,0.01335
730,0.07972
731,0.0301
732,0.05792
733,0.1977
734,0.167
735,0.2726
736,0.1039
737,0.1088
738,0.07279
739,0.005602
740,0.1148
741,0.1459
742,0.2836
743,0.1161
744,0.02106
745,0.2018
746,0.01014
747,0.06352
748,0.0114
749,0.02681
750,0.1162
751,0.00182
752,0.2214
753,0.08925
754,0.2987
755,0.1289
756,0.2343
757,0.1595
758,0.1441
759,0.0148
760,0.07263
761,0.03548
762,0.09504
763,0.2374
764,0.1607
765,0.01111
766,0.1185
767,0.01542
768,0.2501
769,0.1771
770,0.4115
771,0.02344
772,0.1898
773,0.009856
774,0.2061
775,0.1088
776,0.003981
777,0.03031
778,0.008656
779,0.0006309
780,0.1492
781,0.1116
782,0.1607
783,0.06903
784,0.04901
785,0.02279
786,0.2252
787,0.004463
788,0.0748
789,0.1362
790,0.02457
791,0.03428
792,0.1455
793,0.134
794,0.07377
795,0.405
796,0.1752
797,0.2424
798,0.156
799,0.07412
800,0.05934
801,0.07197
802,0.1227
803,0.07029
804,0.00544
805,0.09615
806,0.04011
807,0.04456
808,0.1035
809,0.04452
810,0.24
811,0.1018
812,0.01871
813,0.09858
814,0.08024
815,0.1352
816,0.1803
817,0.1826
818,0.04153
819,0.02648
820,0.009539
821,0.1677
822,0.1647
823,0.02724
824,0.02156
825,0.0008293
826,0.1077
827,0.07692
828,0.05846
829,0.08565
830,0.1362
831,0.2456
832,0.2815
833,0.2124
834,0.1255
835,0.2385
836,0.1015
837,0.04253
838,0.2264
839,0.1206
840,0.2695
841,0.02899
842,0.02889
843,0.02673
844,0.1403
845,0.1783
846,0.1192
847,0.1446
848,0.002162
849,0.2057
850,0.1333
851,0.2862
852,0.1248
853,0.04993
854,0.3117
855,0.2796
856,0.006267
857,0.01005
858,0.2602
859,0.1306
860,0.1019
861,0.1507
862,0.1474
863,0.1752
864,0.1203
865,0.1216
866,0.3277
867,0.08909
868,0.3496
869,0.1956
870,0.1637
871,0.1577
872,0.0932
873,0.04196
874,0.1537
875,0.1754
876,0.08614
877,0.02335
878,0.03865
879,0.1696
880,0.02616
881,0.4996
882,0.2466
883,0.2305
884,0.1052
885,0.1369
886,0.09807
887,0.07011
888,0.1118
889,0.2933
890,0.05915
891,0.1404
892,0.005198
893,0.2357
894,0.1048
895,0.1872
896,0.1062
897,0.2109
898,0.3048
899,0.2633
900,0.1916
901,0.4479
902,0.1539
903,0.03682
904,0.07502
905,0.08252
906,0.228
907,0.154
908,0.004774
909,0.01138
910,0.009028
911,0.1785
912,0.09067
913,0.1297
914,0.3651
915,0.06376
916,0.07284
917,0.1853
918,0.1802
919,0.01957
920,0.1308
921,0.01007
922,0.2525
923,0.3317
924,0.01046
925,0.1329
926,0.01053
927,0.07455
928,0.1432
929,0.09867
930,0.07453
931,0.08875
932,0.08522
933,0.08272
934,0.1647
935,0.04502
936,0.0842
937,0.02891
938,0.04881
939,0.08111
940,0.2646
941,0.1087
942,0.3128
943,0.02742
944,0.06939
945,0.08378
946,0.02577
947,0.1126
948,0.04929
949,0.02444
950,0.2392
951,0.423
952,0.008037
953,0.2022
954,0.1293
955,0.04805
956,0.09162
957,0.195
958,0.2132
959,0.01025
960,0.0005072
961,0.08309
962,0.1626
963,0.002307
964,0.1613
965,0.2338
966,0.2181
967,0.3348
968,0.08012
969,0.2074
970,0.2152
971,0.1306
972,0.2867
973,0.1552
974,0.05418
975,0.1312
976,0.1376
977,0.03712
978,0.1251
979,0.05815
980,0.1241
981,0.2425
982,0.2451
983,0.1856
984,0.1014
985,0.05528
986,0.04939
987,0.02406
988,0.07211
989,0.08559
990,0.03593
991,0.2881
992,0.3572
993,0.0615
994,0.06181
995,0.01052
996,0.1428
997,0.1029
998,0.1144
999,0.1281
1000,0.1461
1001,0.2655
1002,0.001397
1003,0.1939
1004,0.06759
1005,0.05922
1006,0.1204
1007,0.1184
1008,0.03491
1009,0.04502
1010,0.01235
1011,0.1435
1012,0.03712
1013,0.1684
1014,0.1392
1015,0.04427
1016,0.1836
1017,0.266
1018,0.06293
1019,0.08958
1020,0.2857
1021,0.1099
1022,0.02197
1023,0.0564
1024,0.13
1025,0.005932
1026,0.045
1027,0.02343
1028,0.08954
1029,0.04858
1030,0.2358
1031,0.06452
1032,0.228
1033,0.1239
1034,0.3032
1035,0.1293
1036,0.01335
1037,0.1358
1038,0.1831
1039,0.2272
1040,0.3975
1041,0.3498
1042,0.01588
1043,0.1866
1044,0.01887
1045,0.2772
1046,0.1637
1047,0.1259
1048,0.1434
1049,0.02658
1050,0.1868
1051,0.2753
1052,0.2799
1053,0.1964
1054,0.212
1055,0.1371
1056,0.1113
1057,0.06661
1058,0.4977
1059,0.2164
1060,0.257
1061,0.2182
1062,0.1783
1063,0.2729
1064,0.1864
1065,0.2412
1066,0.06409
1067,0.1648
1068,0.03964
1069,0.1229
1070,0.07859
1071,0.15
1072,0.01303
1073,0.06963
1074,0.04057
1075,0.03846
1076,0.005114
1077,0.2276
1078,0.3815
1079,0.01988
1080,0.1675
1081,0.0577
1082,0.08379
1083,0.07815
1084,0.1786
1085,0.1083
1086,0.2327
1087,0.1458
1088,0.0516
1089,0.1371
1090,0.1601
1091,0.01435
1092,0.1333
1093,0.03319
1094,0.0489
1095,0.2014
1096,0.2279
1097,0.292
1098,0.1499
1099,0.04119
1100,0.3073
1101,0.03942
1102,0.2259
1103,0.146
1104,0.05008
1105,0.04023
1106,0.1481
1107,0.1551
1108,0.266
1109,0.4032
1110,0.1609
1111,0.1293
1112,0.05575
1113,0.003217
1114,0.1341
1115,0.05692
1116,0.2503
1117,0.2012
1118,0.0574
1119,0.2095
1120,0.05026
1121,0.08721
1122,0.1216
1123,0.1319
1124,0.08733
1125,0.1101
1126,0.1883
1127,0.08329
1128,0.08799
1129,0.01944
1130,0.04536
1131,0.07116
1132,0.08163
1133,0.1329
1134,0.01163
1135,0.06522
1136,0.3043
1137,0.02442
1138,0.02203
1139,0.03863
1140,0.1223
1141,0.08471
1142,0.1476
1143,0.1402
1144,0.2382
1145,0.02528
1146,0.2655
1147,0.02133
1148,0.1994
1149,0.1314
1150,0.02493
1151,0.09145
1152,0.08453
1153,0.03699
1154,0.151
1155,0.2324
1156,0.1781
1157,0.1066
1158,0.012
1159,0.08615
1160,0.1305
1161,0.08373
1162,0.03242
1163,0.1488
1164,0.1909
1165,0.1161
1166,0.002818
1167,0.03257
1168,0.3178
1169,0.2464
1170,0.008974
1171,0.06154
1172,0.1799
1173,0.02059
1174,0.2719
1175,0.007217
1176,0.001877
1177,0.2862
1178,0.06785
1179,0.06371
1180,0.03565
1181,0.08748
1182,0.1222
1183,0.06737
1184,0.2516
1185,0.1841
1186,0.001206
1187,0.08933
1188,0.2787
1189,0.0001839
1190,0.03042
1191,0.1665
1192,0.2323
1193,0.1237
1194,0.0778
1195,0.2658
1196,0.2849
1197,0.08188
1198,0.1651
1199,0.1662
1200,0.06788
1201,0.1858
1202,0.005599
1203,0.243
1204,0.02268
1205,0.1773
1206,0.1354
1207,0.04448
1208,0.0519
1209,0.08659
1210,0.03303
1211,0.03672
1212,0.04997
1213,0.02603
1214,0.02014
1215,0.06923
1216,0.2437
1217,0.3405
1218,0.1697
1219,0.186
1220,0.1399
1221,0.1297
1222,0.02949
1223,0.1801
1224,0.09873
1225,0.3467
1226,0.2279
1227,0.003834
1228,0.3044
1229,0.09885
1230,0.141
1231,0.1205
1232,0.2685
1233,0.02637
1234,0.1707
1235,0.03752
1236,0.145
1237,0.03711
1238,0.0461
1239,0.005469
1240,0.04119
1241,0.05915
1242,0.02181
1243,0.1776
1244,0.1422
1245,0.05294
1246,0.0448
1247,0.0484
1248,0.2966
1249,0.07277
1250,0.008014
1251,0.2761
1252,0.04894
1253,0.02644
1254,0.3701
1255,0.03329
1256,0.1075
1257,0.05568
1258,0.3342
1259,0.1083
1260,0.3375
1261,0.08026
1262,0.005587
1263,0.08783
1264,0.07536
1265,0.1746
1266,0.03691
1267,0.1965
1268,0.06292
1269,0.05717
1270,0.1057
1271,0.02372
1272,0.1483
1273,0.1772
1274,0.1932
1275,0.09683
1276,0.1498
1277,0.07171
1278,0.09488
1279,0.08444
1280,0.3321
1281,0.1758
1282,0.06206
1283,0.007379
1284,0.1824
1285,0.1405
1286,0.2991
1287,0.1024
1288,0.04343
1289,0.1475
1290,0.2771
1291,0.3386
1292,0.09438
1293,0.2147
1294,0.09367
1295,0.02159
1296,0.04188
1297,0.003216
1298,0.1971
1299,0.05417
1300,0.003163
1301,0.1118
1302,0.3341
1303,0.2998
1304,0.3772
1305,0.03295
1306,0.01417
1307,0.4349
1308,0.1842
1309,0.007499
1310,0.1219
1311,0.2705
1312,0.1163
1313,0.1374
1314,0.04915
1315,0.1908
1316,0.0495
1317,0.1085
1318,0.06245
1319,0.08291
1320,0.284
1321,0.07097
1322,0.21
1323,0.2915
1324,0.09489
1325,0.01208
1326,0.05905
1327,0.09616
1328,0.0431
1329,0.1933
1330,0.07878
1331,0.05624
1332,0.1967
1333,0.1247
1334,0.00835
1335,0.1288
1336,0.02454
1337,0.2988
1338,0.03015
1339,0.1235
1340,0.08875
1341,0.06551
1342,0.02839
1343,0.04396
1344,0.2087
1345,0.07779
1346,0.08403
1347,0.01148
1348,0.04727
1349,0.07541
1350,0.2306
1351,0.05092
1352,0.1493
1353,0.1724
1354,0.1321
1355,0.116
1356,0.07327
1357,0.0318
1358,0.06713
1359,0.3311
1360,0.2477
1361,0.1355
1362,0.1743
1363,0.4962
1364,0.199
1365,0.2382
1366,0.0667
1367,0.006503
1368,0.09638
1369,0.03283
1370,0.08575
1371,0.1037
1372,0.07836
1373,0.05288
1374,0.01415
1375,0.4011
1376,0.00869
1377,0.2061
1378,0.03795
1379,0.08276
1380,0.08972
1381,0.01906
1382,0.2259
1383,0.07612
1384,0.05671
1385,0.006106
1386,0.1382
1387,0.02113
1388,0.1051
1389,0.2653
1390,0.2028
1391,0.04674
1392,0.09079
1393,0.1014
1394,0.09061
1395,0.1731
1396,0.1043
1397,0.2142
1398,0.1986
1399,0.1707
1400,0.135
1401,0.1363
1402,0.1199
1403,0.1206
1404,0.1197
1405,0.09128
1406,0.1352
1407,0.1124
1408,0.1493
1409,0.4022
1410,0.02405
1411,0.2151
1412,0.1591
1413,0.07327
1414,0.1239
1415,0.3822
1416,0.06359
1417,0.116
1418,0.01867
1419,0.04653
1420,0.3253
1421,0.3356
1422,0.1006
1423,0.1343
1424,0.3588
1425,0.1124
1426,0.04814
1427,0.1845
1428,0.01108
1429,0.02185
1430,0.06975
1431,0.0546
1432,0.1063
1433,0.2292
1434,0.1884
1435,0.3196
1436,0.1543
1437,0.2427
1438,0.09006
1439,0.02664
1440,0.03575
1441,0.1913
1442,0.06204
1443,0.259
1444,0.251
1445,0.1264
1446,0.1823
1447,0.1341
1448,0.00324
1449,0.3314
1450,0.07253
1451,0.1476
1452,0.1559
1453,0.2637
1454,0.2624
1455,0.2474
1456,0.2034
1457,0.02707
1458,0.2129
1459,0.1166
1460,0.04746
1461,0.1782
1462,0.2964
1463,0.2918
1464,0.1419
1465,0.09294
1466,0.09694
1467,0.04875
1468,0.02669
1469,0.2431
1470,0.003479
1471,0.2651
1472,0.005116
1473,0.1188
1474,0.1119
1475,0.2307
1476,0.1129
1477,0.04137
1478,0.06528
1479,0.2277
1480,0.1476
1481,0.2285
1482,0.1624
1483,0.05419
1484,0.2432
1485,0.04929
1486,0.004653
1487,0.1306
1488,0.2131
1489,0.2788
1490,0.03553
1491,0.1146
1492,0.04929
1493,0.08203
1494,0.1671
1495,0.02945
1496,0.05848
1497,0.0918
1498,0.01779
1499,0.3142
1500,0.2072
1501,0.1354
1502,0.1069
1503,0.255
1504,0.02336
1505,0.08252
1506,0.1624
1507,0.1181
1508,0.1046
1509,0.2085
1510,0.207
1511,0.1029
1512,0.1045
1513,0.1482
1514,0.01224
1515,0.04723
1516,0.2825
1517,0.00974
1518,0.1084
1519,0.2393
1520,0.03966
1521,0.009416
1522,0.1165
1523,0.02692
1524,0.1242
1525,0.292
1526,0.0444
1527,0.03286
1528,0.1714
1529,0.01191
1530,0.03729
1531,0.08287
1532,0.3592
1533,0.06823
1534,0.1897
1535,0.1775
1536,0.1198
1537,0.1566
1538,0.03725
1539,0.009124
1540,0.1899
1541,0.09254
1542,0.1421
1543,0.09198
1544,0.2111
1545,0.1779
1546,0.3738
1547,0.2952
1548,0.1352
1549,0.2456
1550,0.2714
1551,0.1839
1552,0.1931
1553,0.1819
1554,0.1984
1555,0.2065
1556,0.03868
1557,0.08448
1558,0.06501
1559,0.1151
1560,0.3148
1561,0.1713
1562,0.005805
1563,0.06904
1564,0.01423
1565,0.1375
1566,0.2543
1567,0.0309
1568,0.1598
1569,0.1527
1570,0.1391
1571,0.09732
1572,0.1291
1573,0.02918
1574,0.0305
1575,0.1565
1576,0.05681
1577,0.08803
1578,0.02681
1579,0.2096
1580,0.06033
1581,0.1304
1582,0.07434
1583,0.04992
1584,0.0835
1585,0.06706
1586,0.04855
1587,0.4072
1588,0.04156
1589,0.2629
1590,0.1767
1591,0.1472
1592,0.2037
1593,0.2593
1594,0.09815
1595,0.0659
1596,0.1683
1597,0.02982
1598,0.1079
1599,0.1163
1600,0.1739
1601,0.0006798
1602,0.003359
1603,0.1134
1604,0.2613
1605,0.2453
1606,0.18
1607,0.03053
1608,0.2964
1609,0.1066
1610,0.1642
1611,0.1835
1612,0.08132
1613,0.2136
1614,0.04716
1615,0.1806
1616,0.2106
1617,0.0005391
1618,0.1461
1619,0.01541
1620,0.1273
1621,0.06736
1622,0.01667
1623,0.2191
1624,0.184
1625,0.04779
1626,0.03243
1627,0.1538
1628,0.07662
1629,0.2115
1630,0.1228
1631,0.1365
1632,0.04396
1633,0.002917
1634,0.226
1635,0.2088
1636,0.07487
1637,0.443
1638,0.09343
1639,0.02666
1640,0.05294
1641,0.08164
1642,0.1222
1643,0.1097
1644,0.02426
1645,0.04971
1646,0.09921
1647,0.06223
1648,0.0526
1649,0.2995
1650,0.3881
1651,0.3558
1652,0.04007
1653,0.01376
1654,0.1273
1655,0.1935
1656,0.3784
1657,0.1472
1658,0.1574
1659,0.2766
1660,0.1451
1661,0.1266
1662,0.1049
1663,0.2755
1664,0.2982
1665,0.01414
1666,0.4309
1667,0.1538
1668,0.1349
1669,0.06698
1670,0.05492
1671,0.1944
1672,0.01262
1673,0.09693
1674,0.2475
1675,0.08758
1676,0.1287
1677,0.1552
1678,0.128
1679,0.1457
1680,0.1594
1681,0.06869
1682,0.1007
1683,0.254
1684,0.03882
1685,0.237
1686,0.2424
1687,0.1845
1688,0.05416
1689,0.1392
1690,0.1697
1691,0.1575
1692,0.252
1693,0.06143
1694,0.2527
1695,0.03951
1696,0.1349
1697,0.006473
1698,0.1255
1699,0.02932
1700,0.2144
1701,0.163
1702,0.2869
1703,0.3512
1704,0.06695
1705,0.1457
1706,0.1763
1707,0.1228
1708,0.03262
1709,0.01226
1710,0.1286
1711,0.1176
1712,0.05761
1713,0.18
1714,0.1391
1715,0.02619
1716,0.1441
1717,0.03083
1718,0.1283
1719,0.08901
1720,0.1756
1721,0.1663
1722,0.0689
1723,0.1141
1724,0.07331
1725,0.1253
1726,0.01272
1727,0.0726
1728,0.02227
1729,0.07173
1730,0.1498
1731,0.1279
1732,0.154
1733,0.2025
1734,0.1488
1735,0.1617
1736,0.1387
1737,0.05139
1738,0.05773
1739,0.2362
1740,0.3807
1741,0.1233
1742,0.008438
1743,0.1364
1744,0.1946
1745,0.1524
1746,0.04829
1747,0.08875
1748,0.1801
1749,0.1133
1750,0.1675
1751,0.1938
1752,0.1311
1753,0.2222
1754,0.1196
1755,0.2905
1756,0.004031
1757,0.1407
1758,0.2516
1759,0.3024
1760,0.1085
1761,0.08126
1762,0.2702
1763,0.02378
1764,0.06749
1765,0.06668
1766,0.09368
1767,0.1734
1768,0.06273
1769,0.1864
1770,0.02084
1771,0.2232
1772,0.1063
1773,0.4438
1774,0.006736
1775,0.1168
1776,0.004193
1777,0.1204
1778,0.1933
1779,0.09535
1780,0.4745
1781,0.1904
1782,0.1571
1783,0.0501
1784,0.02696
1785,0.03091
1786,0.04414
1787,0.01134
1788,0.0764
1789,0.1859
1790,0.001837
1791,0.1003
1792,0.1482
1793,0.1094
1794,0.1923
1795,0.2545
1796,0.2003
1797,0.05438
1798,0.3231
1799,0.08985
1800,0.04917
1801,0.006508
1802,0.05367
1803,0.1084
1804,0.07138
1805,0.07465
1806,0.1815
1807,0.109
1808,0.06518
1809,0.564
1810,0.2698
1811,0.03843
1812,0.1194
1813,0.05079
1814,0.1328
1815,0.02957
1816,0.081
1817,0.2091
1818,0.2107
1819,0.1351
1820,0.0341
1821,0.1654
1822,0.2028
1823,0.2728
1824,0.1185
1825,0.1317
1826,0.3288
1827,0.09348
1828,0.05016
1829,0.01559
1830,0.1473
1831,0.1379
1832,0.05452
1833,0.08499
1834,0.04138
1835,0.1916
1836,0.04656
1837,0.02685
1838,0.07595
1839,0.06673
1840,0.01112
1841,0.01467
1842,0.1477
1843,0.05388
1844,0.08022
1845,0.1059
1846,0.03608
1847,0.0118
1848,0.01833
1849,0.0245
1850,0.03526
1851,0.06548
1852,0.274
1853,0.06856
1854,0.06513
1855,0.01003
1856,0.0001734
1857,0.04203
1858,0.02986
1859,0.05015
1860,0.02561
1861,0.2803
1862,0.1244
1863,0.3566
1864,0.3095
1865,0.02838
1866,0.08242
1867,0.2076
1868,0.2954
1869,0.3112
1870,0.1351
1871,0.1503
1872,0.049
1873,0.213
1874,0.1254
1875,0.03915
1876,0.1345
1877,0.04798
1878,0.06877
1879,0.2514
1880,0.1219
1881,0.1183
1882,0.029
1883,0.3433
