MDTU,min_min,min_max,max_min,max_max5
564,-1.19508,0.256607,-0.305565,0.494761
565,-1.44905,0.204542,-0.243882,0.475195
566,-1.15575,0.210748,-0.271868,0.475837
567,-1.04476,0.205044,-0.369568,0.478998
568,-1.06416,0.258542,-0.306228,0.502285
569,-1.0715,0.235129,-0.310221,0.458711
570,-1.31811,0.217662,-0.256648,0.506604
571,-1.87413,0.236224,-0.309707,0.505823
572,-1.31902,0.215972,-0.250547,0.481584
573,-1.05618,0.222696,-0.277416,0.451717
574,-1.33064,0.205882,-0.288619,0.482777
575,-1.16977,0.23238,-0.292983,0.47695
576,-1.31139,0.226538,-0.328924,0.465604
577,-1.10844,0.256752,-0.33486,0.482099
578,-1.19138,0.247897,-0.26422,0.457786
579,-1.19138,0.247897,-0.26422,0.457786
580,-1.44177,0.209455,-0.296557,0.468543
