t,eps_f,eps_g
3090,0.125,0.0078125
3100,0.125,0.0078125
3110,0.125,0.0078125
3120,0.125,0.0078125
3130,0.125,0.0078125
3140,0.125,0.0078125
3150,0.125,0.0078125
3160,0.125,0.0078125
3170,0.125,0.0078125
3180,0.125,0.0078125
3190,0.125,0.0078125
3200,0.125,0.0078125
3210,0.125,0.0078125
3220,0.125,0.0078125
3230,0.125,0.0078125
3240,0.125,0.0078125
3250,0.125,0.0078125
3260,0.125,0.0078125
3270,0.125,0.0078125
3280,0.125,0.0078125
3290,0.125,0.0078125
3300,0.125,0.0078125
3310,0.125,0.0078125
3320,0.125,0.0078125
3330,0.125,0.0078125
3340,0.125,0.0078125
3350,0.125,0.0078125
3360,0.125,0.0078125
3370,0.125,0.0078125
3380,0.125,0.0078125
3390,0.125,0.0078125
3400,0.125,0.0078125
3410,0.125,0.0078125
3420,0.125,0.0078125
3430,0.125,0.0078125
3440,0.125,0.0078125
3450,0.125,0.0078125
3460,0.125,0.0078125
3470,0.125,0.0078125
3480,0.125,0.0078125
3490,0.125,0.0078125
3500,0.125,0.0078125
3510,0.125,0.0078125
3520,0.125,0.0078125
3530,0.125,0.0078125
3540,0.125,0.0078125
3550,0.125,0.0078125
3560,0.125,0.0078125
3570,0.125,0.0078125
3580,0.125,0.0078125
3590,0.125,0.0078125
3600,0.125,0.0078125
3610,0.125,0.0078125
3620,0.125,0.0078125
3630,0.125,0.0078125
3640,0.125,0.0078125
3650,0.125,0.0078125
3660,0.125,0.0078125
3670,0.125,0.0078125
3680,0.125,0.0078125
3690,0.125,0.0078125
3700,0.125,0.0078125
3710,0.125,0.0078125
3720,0.125,0.0078125
3730,0.125,0.0078125
3740,0.125,0.0078125
3750,0.125,0.0078125
3760,0.125,0.0078125
3770,0.125,0.0078125
3780,0.125,0.0078125
3790,0.125,0.0078125
3800,0.125,0.0078125
3810,0.125,0.0078125
3820,0.125,0.0078125
3830,0.125,0.0078125
3840,0.125,0.0078125
3850,0.125,0.0078125
3860,0.125,0.0078125
3870,0.125,0.0078125
3880,0.125,0.0078125
3890,0.125,0.0078125
3900,0.125,0.0078125
3910,0.125,0.0078125
3920,0.125,0.0078125
3930,0.125,0.0078125
3940,0.125,0.0078125
3950,0.125,0.0078125
3960,0.125,0.0078125
3970,0.125,0.0078125
3980,0.125,0.0078125
3990,0.125,0.0078125
4000,0.125,0.0078125
4010,0.125,0.0078125
