T,G,F
419,0.01776,0.02307
420,0.0177,0.02304
421,0.01773,0.02297
422,0.01792,0.0229
423,0.01788,0.02278
424,0.01793,0.02282
425,0.01787,0.02275
426,0.01789,0.02277
427,0.01798,0.02278
428,0.01803,0.02278
429,0.01809,0.02264
430,0.01803,0.02263
431,0.01811,0.02259
432,0.01813,0.02249
433,0.01808,0.0225
434,0.01816,0.02254
435,0.01813,0.02252
436,0.01818,0.02246
437,0.01817,0.02243
438,0.01823,0.0224
439,0.01825,0.02229
440,0.01825,0.02232
441,0.01827,0.0223
442,0.01826,0.02227
443,0.01834,0.02229
444,0.01826,0.02226
445,0.01822,0.02227
446,0.01828,0.02234
447,0.01829,0.02233
448,0.01829,0.02225
449,0.01833,0.02222
450,0.01831,0.02225
451,0.01835,0.0222
452,0.01834,0.02224
453,0.0183,0.02222
454,0.01841,0.0222
455,0.01839,0.02214
456,0.01833,0.0222
457,0.01842,0.02214
458,0.01834,0.02221
459,0.01841,0.02219
460,0.01836,0.0222
461,0.01831,0.02223
462,0.01835,0.02218
463,0.01834,0.0222
464,0.01834,0.02218
465,0.01835,0.02219
466,0.01835,0.02219
467,0.01837,0.02215
468,0.01839,0.02218
469,0.0184,0.02211
470,0.01842,0.0221
471,0.01847,0.02206
472,0.01847,0.02206
473,0.01852,0.02206
474,0.01849,0.02211
475,0.01848,0.02205
476,0.01843,0.02209
477,0.01846,0.02207
478,0.01845,0.02203
479,0.01846,0.02203
480,0.01845,0.02205
481,0.01846,0.02204
482,0.01851,0.02211
483,0.01846,0.02209
484,0.01843,0.02206
485,0.01845,0.02209
486,0.01842,0.02199
487,0.01852,0.02204
488,0.01847,0.02205
489,0.01848,0.02202
490,0.01847,0.02201
491,0.01847,0.022
492,0.01851,0.02199
493,0.01853,0.02202
494,0.01851,0.02199
495,0.01848,0.02205
496,0.01845,0.02207
497,0.01843,0.02208
498,0.01844,0.02208
499,0.01845,0.02209
500,0.0185,0.02204
501,0.01848,0.02204
502,0.01844,0.02206
503,0.01846,0.02203
504,0.01852,0.02198
505,0.0185,0.02208
506,0.01857,0.02197
507,0.01851,0.02205
508,0.01851,0.02202
509,0.01853,0.02203
510,0.01848,0.02199
511,0.01851,0.02197
512,0.01849,0.02201
513,0.01854,0.02192
514,0.01851,0.02194
515,0.0185,0.02198
516,0.01854,0.02196
517,0.01857,0.02196
518,0.0186,0.02192
519,0.01857,0.02202
520,0.01853,0.02201
521,0.01853,0.02197
522,0.0185,0.02198
523,0.01855,0.02198
524,0.01854,0.02195
525,0.01861,0.02189
526,0.01856,0.0219
527,0.01859,0.02189
528,0.01857,0.02191
529,0.0186,0.02187
530,0.0186,0.02187
531,0.01862,0.02187
532,0.01863,0.02191
533,0.01862,0.02191
534,0.01866,0.02183
535,0.0186,0.02186
536,0.01863,0.02189
537,0.01864,0.02186
538,0.01863,0.02188
539,0.01859,0.02186
540,0.01854,0.0219
541,0.01857,0.02194
542,0.01861,0.02192
543,0.01853,0.02192
544,0.01854,0.02189
545,0.01851,0.02191
546,0.01858,0.02195
547,0.01857,0.02191
548,0.01866,0.02193
549,0.01865,0.02189
550,0.01867,0.02183
551,0.01869,0.0219
552,0.01858,0.0219
553,0.01858,0.02194
554,0.01856,0.02194
555,0.01855,0.02192
556,0.01859,0.02188
557,0.01862,0.02186
558,0.01856,0.02191
559,0.01862,0.02189
560,0.01862,0.02192
561,0.01856,0.02188
562,0.01857,0.02188
563,0.01861,0.02189
564,0.01863,0.02185
565,0.01859,0.02189
566,0.01858,0.02186
567,0.0186,0.02189
568,0.01864,0.02183
569,0.01854,0.02191
570,0.01854,0.02193
571,0.01859,0.02194
572,0.0186,0.0219
573,0.01858,0.02196
574,0.01856,0.02198
575,0.01855,0.02191
576,0.01856,0.02193
577,0.01858,0.02191
578,0.01854,0.02195
579,0.01851,0.02196
580,0.01855,0.02197
581,0.01852,0.02198
582,0.01854,0.02196
583,0.01851,0.02201
584,0.01852,0.022
585,0.01851,0.02198
586,0.01853,0.02206
587,0.01851,0.02198
588,0.01854,0.02197
589,0.01853,0.02194
590,0.01854,0.02197
591,0.01847,0.02202
592,0.01852,0.02201
593,0.01853,0.02195
594,0.01854,0.02203
595,0.01856,0.02198
596,0.01857,0.02187
597,0.01864,0.02192
598,0.01863,0.02194
599,0.01856,0.0219
600,0.01853,0.02202
601,0.01852,0.02199
602,0.01855,0.02195
603,0.0185,0.02197
604,0.01852,0.02204
605,0.01852,0.02197
606,0.01854,0.02191
607,0.01856,0.02193
608,0.01858,0.02192
609,0.01856,0.02189
610,0.01856,0.02193
611,0.01856,0.02191
612,0.01863,0.02186
613,0.01862,0.02188
614,0.01861,0.02188
615,0.01859,0.0219
616,0.01859,0.02185
617,0.01857,0.0219
618,0.0186,0.02187
