MDTU,|det-1|^2,1-Re(det),Im(det)
2630,0.999981,0.99999,-8.54255e-08
2631,0.999983,0.999991,7.26847e-08
2632,0.999979,0.99999,8.24511e-08
2633,0.999981,0.999991,-3.30044e-07
2634,0.999982,0.999991,1.33116e-07
2635,0.999979,0.99999,5.39161e-08
2636,0.999979,0.99999,5.39161e-08
2637,0.999981,0.999991,-3.95183e-07
2638,0.999983,0.999991,-4.10109e-08
2639,0.999983,0.999991,-4.10109e-08
2640,0.99998,0.99999,5.14965e-07
2641,0.99998,0.99999,5.14965e-07
2642,0.999981,0.99999,1.07292e-07
2643,0.99998,0.99999,1.26669e-08
2644,0.99998,0.99999,1.26669e-08
2645,0.99998,0.99999,1.26669e-08
2646,0.999982,0.999991,3.59097e-07
2647,0.999978,0.999989,-3.34292e-08
2648,0.99998,0.99999,-7.31837e-09
2649,0.99998,0.99999,-7.31837e-09
2650,0.999977,0.999988,7.27058e-08
2651,0.999983,0.999991,1.52202e-07
2652,0.999983,0.999991,1.52202e-07
2653,0.999983,0.999992,5.64212e-07
2654,0.999983,0.999992,5.64212e-07
2655,0.999981,0.99999,-5.23137e-07
2656,0.999982,0.999991,-1.78814e-07
2657,0.999982,0.999991,-1.78814e-07
2658,0.999982,0.999991,-1.78814e-07
2659,0.999978,0.999989,-5.84231e-07
2660,0.999978,0.999989,-5.84231e-07
2661,0.999978,0.999989,-5.84231e-07
2662,0.999978,0.999989,-5.84231e-07
2663,0.99998,0.99999,-5.70231e-07
2664,0.999979,0.99999,-5.46587e-09
2665,0.999979,0.99999,-5.46587e-09
2666,0.999983,0.999991,9.16233e-08
2667,0.999977,0.999988,-5.96559e-07
2668,0.999979,0.999989,-1.03542e-07
2669,0.999979,0.99999,-4.37423e-07
2670,0.999981,0.999991,-6.28654e-07
2671,0.999976,0.999988,-2.21465e-07
2672,0.99998,0.99999,-2.43272e-07
2673,0.999984,0.999992,-5.60324e-08
2674,0.999977,0.999988,-5.60128e-07
2675,0.99998,0.99999,2.24158e-07
2676,0.99998,0.99999,2.24158e-07
2677,0.999978,0.999989,3.07343e-07
2678,0.999976,0.999988,-3.46488e-07
2679,0.999976,0.999988,-3.46488e-07
2680,0.999976,0.999988,-3.46488e-07
2681,0.99998,0.99999,-1.64087e-07
2682,0.99998,0.99999,-1.64087e-07
2683,0.999978,0.999989,3.61778e-07
2684,0.999979,0.999989,-1.12401e-07
2685,0.999977,0.999989,-3.6561e-07
2686,0.999977,0.999988,4.73172e-07
2687,0.999981,0.99999,6.83872e-07
2688,0.999976,0.999988,-1.94338e-07
2689,0.99998,0.99999,9.60329e-08
2690,0.999982,0.999991,3.59157e-07
2691,0.999978,0.999989,2.69811e-07
2692,0.999985,0.999992,1.73659e-07
2693,0.999985,0.999992,1.73659e-07
2694,0.99998,0.99999,4.79994e-08
2695,0.999979,0.999989,1.11579e-07
2696,0.999979,0.999989,1.11579e-07
2697,0.99998,0.99999,1.65293e-07
2698,0.999985,0.999992,1.46674e-07
2699,0.999981,0.999991,-2.97436e-08
2700,0.999984,0.999992,-5.20879e-07
2701,0.999983,0.999992,2.4844e-07
2702,0.999977,0.999989,-1.99445e-07
2703,0.999977,0.999988,4.36877e-07
2704,0.999982,0.999991,-3.34922e-08
2705,0.999982,0.999991,-3.34922e-08
2706,0.999977,0.999989,-6.58339e-07
2707,0.999983,0.999991,2.8036e-07
2708,0.999974,0.999987,-8.29477e-08
2709,0.999977,0.999989,4.35846e-07
2710,0.999977,0.999989,4.35846e-07
2711,0.999983,0.999991,-1.56656e-07
2712,0.999982,0.999991,-1.48501e-07
2713,0.999982,0.999991,5.77193e-07
2714,0.999982,0.999991,-1.03786e-07
2715,0.999979,0.99999,-8.37246e-08
2716,0.999977,0.999988,-2.07223e-07
2717,0.999977,0.999988,-2.07223e-07
2718,0.999979,0.999989,-3.05137e-07
2719,0.999978,0.999989,5.84959e-07
2720,0.999975,0.999988,1.1698e-06
2721,0.999975,0.999988,1.1698e-06
2722,0.999978,0.999989,2.08881e-07
2723,0.999983,0.999991,1.13265e-07
2724,0.999979,0.999989,-2.83318e-07
2725,0.999981,0.99999,-4.22417e-07
2726,0.999981,0.99999,-4.22417e-07
2727,0.99998,0.99999,1.31975e-07
2728,0.999979,0.999989,4.44115e-07
2729,0.999979,0.999989,4.44115e-07
2730,0.999979,0.999989,4.44115e-07
2731,0.999979,0.99999,-3.34452e-07
2732,0.999977,0.999988,-4.89111e-09
2733,0.999977,0.999988,-4.89111e-09
2734,0.999979,0.999989,-4.32691e-07
2735,0.99998,0.99999,-4.08452e-08
2736,0.99998,0.99999,-4.08452e-08
2737,0.999982,0.999991,8.60348e-08
2738,0.999982,0.999991,-7.4731e-08
2739,0.999982,0.999991,-7.4731e-08
2740,0.999984,0.999992,1.10242e-07
2741,0.999982,0.999991,7.56889e-07
2742,0.99998,0.99999,5.50421e-07
2743,0.999977,0.999988,2.70318e-08
2744,0.999978,0.999989,5.05413e-07
2745,0.999978,0.999989,5.05413e-07
2746,0.999978,0.999989,5.05413e-07
2747,0.999981,0.99999,-6.746e-08
2748,0.999982,0.999991,1.3833e-07
2749,0.999982,0.999991,1.3833e-07
2750,0.999981,0.99999,-2.54622e-07
2751,0.999979,0.99999,4.88846e-07
2752,0.999981,0.99999,6.64185e-08
2753,0.999982,0.999991,-3.10149e-07
2754,0.999979,0.999989,-2.98298e-07
2755,0.999979,0.999989,-2.98298e-07
2756,0.999981,0.99999,9.32155e-09
2757,0.999978,0.999989,-3.58096e-07
2758,0.999978,0.999989,-4.61936e-08
2759,0.999978,0.999989,1.75792e-07
2760,0.999981,0.999991,4.02508e-07
2761,0.999981,0.99999,2.11238e-07
2762,0.999984,0.999992,-1.75218e-07
2763,0.99998,0.99999,-1.90481e-07
2764,0.999978,0.999989,-1.39164e-07
2765,0.99998,0.99999,3.55605e-08
2766,0.999979,0.99999,-3.3863e-07
2767,0.999979,0.999989,-4.18281e-07
2768,0.999985,0.999993,1.73564e-08
2769,0.999979,0.99999,-7.05618e-07
2770,0.999979,0.99999,-7.05618e-07
2771,0.999977,0.999988,-1.00663e-07
2772,0.999973,0.999987,-5.15941e-07
2773,0.999977,0.999989,3.72296e-08
2774,0.999981,0.99999,-8.74418e-08
2775,0.999978,0.999989,-3.35431e-07
2776,0.999978,0.999989,-3.35431e-07
2777,0.999976,0.999988,4.42005e-07
2778,0.999981,0.999991,3.15174e-08
2779,0.999982,0.999991,9.27024e-08
2780,0.999979,0.999989,4.85098e-07
2781,0.999982,0.999991,2.1388e-07
2782,0.999983,0.999991,5.2936e-07
2783,0.999978,0.999989,-1.22252e-07
2784,0.999978,0.999989,-1.22252e-07
2785,0.999975,0.999988,3.66514e-07
2786,0.999975,0.999988,3.66514e-07
2787,0.999979,0.99999,-1.0152e-07
2788,0.999976,0.999988,7.16233e-08
2789,0.999978,0.999989,2.10475e-07
2790,0.999979,0.99999,7.98397e-07
2791,0.999983,0.999992,4.28689e-08
2792,0.999983,0.999992,4.28689e-08
2793,0.999983,0.999992,4.28689e-08
2794,0.999983,0.999991,4.7111e-08
2795,0.999981,0.999991,2.50192e-08
2796,0.999981,0.999991,2.50192e-08
2797,0.999981,0.999991,2.50192e-08
2798,0.999981,0.999991,2.50192e-08
2799,0.999976,0.999988,4.87658e-07
2800,0.999977,0.999989,4.64127e-07
2801,0.99998,0.99999,8.66312e-07
2802,0.99998,0.99999,8.66312e-07
2803,0.999979,0.99999,-2.29707e-07
2804,0.999979,0.99999,-2.29707e-07
2805,0.999984,0.999992,-2.8591e-07
2806,0.99998,0.99999,4.52278e-08
2807,0.99998,0.99999,4.52278e-08
2808,0.99998,0.99999,4.52278e-08
2809,0.99998,0.99999,4.52278e-08
2810,0.99998,0.99999,-4.63414e-08
2811,0.999982,0.999991,-1.26865e-08
2812,0.999982,0.999991,-1.26865e-08
2813,0.999982,0.999991,-1.26865e-08
2814,0.999982,0.999991,-1.26865e-08
2815,0.99998,0.99999,9.55968e-08
2816,0.999981,0.999991,1.89959e-07
2817,0.999981,0.999991,1.89959e-07
2818,0.999981,0.999991,1.89959e-07
2819,0.999981,0.999991,1.89959e-07
2820,0.999981,0.999991,1.89959e-07
2821,0.99998,0.99999,6.67596e-08
2822,0.99998,0.99999,6.67596e-08
2823,0.999982,0.999991,-3.83925e-07
2824,0.999983,0.999992,-1.66237e-08
2825,0.999982,0.999991,2.26466e-07
2826,0.999982,0.999991,-2.37917e-07
2827,0.999982,0.999991,-2.37917e-07
2828,0.999981,0.999991,-3.40198e-07
2829,0.999981,0.999991,-3.40198e-07
2830,0.999981,0.999991,8.74833e-08
2831,0.999978,0.999989,-3.82602e-07
2832,0.999983,0.999992,2.41834e-07
2833,0.999979,0.999989,-2.92203e-07
2834,0.999982,0.999991,-1.5065e-07
2835,0.999983,0.999991,-2.51323e-07
2836,0.999983,0.999992,2.52901e-07
2837,0.999985,0.999992,-2.50312e-08
2838,0.999982,0.999991,-1.97144e-07
2839,0.999982,0.999991,8.67328e-08
2840,0.999978,0.999989,-4.79613e-07
2841,0.999984,0.999992,1.19264e-07
2842,0.999981,0.999991,-2.813e-07
2843,0.999981,0.999991,-2.813e-07
2844,0.999981,0.999991,-2.813e-07
2845,0.999981,0.999991,-2.813e-07
2846,0.99998,0.99999,-1.95191e-07
2847,0.99998,0.99999,7.35454e-08
2848,0.999982,0.999991,4.07261e-07
2849,0.999977,0.999988,-4.5209e-07
2850,0.999983,0.999992,6.43498e-07
2851,0.999981,0.999991,6.20648e-07
2852,0.999981,0.999991,6.20648e-07
2853,0.999981,0.999991,6.20648e-07
2854,0.999981,0.999991,6.20648e-07
2855,0.999983,0.999991,-5.52366e-07
2856,0.99998,0.99999,2.3368e-07
2857,0.999981,0.999991,3.17475e-07
2858,0.999979,0.999989,-1.64957e-07
