t,e^(-dS)
621,0.918797
622,1.00132
623,1.06798
624,1.11416
625,1.15027
626,0.760636
627,0.600375
628,0.998464
629,1.06187
630,1.22863
631,1.10378
632,1.20828
633,0.915642
634,1.02568
635,1.13974
636,1.10012
637,0.884087
638,0.908918
639,0.954832
640,1.41016
641,1.15835
642,0.73993
643,0.649209
644,0.918549
645,0.955997
646,1.4127
647,0.818813
648,1.24658
649,0.932329
650,1.01962
651,0.985605
652,0.715124
653,0.770281
654,0.772132
655,0.813345
656,0.900325
657,0.920388
658,0.995824
659,0.920867
660,0.741189
661,0.927957
662,1.07111
663,1.0284
664,0.994414
665,1.18637
666,0.934765
667,1.41143
668,0.798995
669,0.714623
670,1.2141
671,0.784272
672,0.893508
673,1.21264
674,1.03649
675,1.07756
676,0.832685
677,0.922
678,1.262
679,0.962549
680,1.21738
681,1.40832
682,0.691564
683,1.44239
684,1.20141
685,0.911294
686,0.984088
687,0.718205
688,1.02776
689,1.2893
690,0.839037
691,1.3678
692,0.873279
693,1.07068
694,0.974053
695,0.93441
696,0.797878
697,0.830772
698,0.957911
699,0.669516
700,1.07812
701,0.942744
702,1.31811
703,0.904476
704,1.155
705,1.01298
706,1.03303
707,1.13134
708,1.12603
709,1.26327
710,1.45354
711,1.56487
712,0.994225
713,0.726076
714,0.899874
715,0.834769
716,0.822506
717,1.33083
718,0.837528
719,0.821766
720,1.05749
721,0.832102
722,1.02403
723,1.16883
724,0.876779
725,1.30044
726,0.900955
727,1.13304
728,0.931779
729,1.19447
730,1.00721
731,0.955854
732,1.01279
733,0.865282
734,0.943943
735,0.939066
736,0.849336
737,1.08774
738,1.00323
739,0.893776
740,1.14008
741,0.899695
742,0.976071
743,1.21288
744,0.773678
745,1.00802
746,1.25383
747,1.04552
748,0.823493
749,1.33296
750,0.713409
751,1.35175
752,0.676989
753,1.17951
754,1.00814
755,0.861914
756,0.985398
757,0.749312
758,1.33123
759,1.24408
760,1.08528
761,1.19148
762,0.982908
763,1.01803
764,1.155
765,1.06476
766,1.16953
767,1.14683
768,0.866148
769,1.04778
770,0.916329
771,1.04697
772,0.9249
773,0.889941
774,0.680315
775,1.2532
776,0.876604
777,0.987884
778,0.894223
779,1.26744
780,1.14294
781,0.764678
782,0.98398
783,1.02543
784,1.08642
785,0.873978
786,0.865282
787,1.02826
788,1.03057
789,0.858817
790,1.15662
791,1.09805
792,0.883115
793,1.35378
794,0.963031
795,0.930056
796,1.1535
797,0.985703
798,0.827787
799,1.06557
800,1.12592
801,0.842148
802,0.68154
803,1.09133
804,1.11918
805,0.975759
806,1.03893
807,0.783801
808,0.989505
809,1.07211
810,0.826215
811,0.820124
812,1.08674
813,0.835604
814,0.93747
815,0.755406
816,0.838953
817,1.08642
818,1.22802
819,1.18673
820,1.31508
821,0.686808
822,1.10365
823,0.857958
824,1.16672
825,0.572181
826,0.991585
827,0.839793
828,0.965847
829,0.746022
830,0.702858
831,1.38016
832,0.954641
833,0.925362
834,0.638458
835,0.829444
836,0.885768
837,0.946921
838,0.812045
839,1.05474
840,1.05103
841,1.16032
842,1.04214
843,0.925427
844,1.19411
845,0.819878
846,0.944471
847,0.860966
848,1.18199
849,0.846538
850,1.05688
851,0.863726
852,0.962415
853,1.04552
854,0.976169
855,0.872668
856,0.747964
857,0.857101
858,1.01377
859,1.16649
860,0.981857
861,1.69605
