MDTU,|Tr(L)|,ReTr(L),ImTr(L)
239,2.24669,2.23326,0.245267
240,2.23949,2.22567,0.248365
241,2.23949,2.22567,0.248365
242,2.23949,2.22567,0.248365
243,2.23949,2.22567,0.248365
244,2.23949,2.22567,0.248365
245,2.30002,2.28416,0.269597
246,2.27903,2.24665,0.382783
247,2.23607,2.17369,0.52448
248,2.30752,2.2485,0.51856
249,2.30752,2.2485,0.51856
250,2.21429,2.13044,0.603584
251,2.22648,2.18262,0.439754
252,2.16008,2.09369,0.531414
253,2.23545,2.1515,0.60685
254,2.23545,2.1515,0.60685
255,2.23545,2.1515,0.60685
256,2.16348,2.05158,0.686786
257,2.16348,2.05158,0.686786
258,2.16348,2.05158,0.686786
259,2.16043,2.01185,0.787351
260,2.16043,2.01185,0.787351
261,2.11288,1.98104,0.734668
262,2.17087,1.9861,0.8764
263,2.2985,2.11641,0.896617
264,2.2985,2.11641,0.896617
265,2.29123,2.06219,0.998564
266,2.29123,2.06219,0.998564
267,2.29123,2.06219,0.998564
268,2.32444,2.02557,1.14021
269,2.23343,1.92142,1.13856
270,2.18896,1.90132,1.08467
271,2.34252,1.9467,1.30297
272,2.29432,1.96065,1.19153
273,2.29432,1.96065,1.19153
274,2.20741,1.94754,1.03912
275,2.23966,2.02531,0.95614
276,2.29725,2.07717,0.981174
277,2.34676,2.04502,1.15116
278,2.34676,2.04502,1.15116
279,2.3715,2.05998,1.17495
280,2.36069,2.08896,1.09958
281,2.43981,2.21513,1.02268
282,2.33675,2.04154,1.1369
283,2.37631,2.09879,1.11441
284,2.37631,2.09879,1.11441
285,2.35755,2.06177,1.1433
286,2.46848,2.13897,1.23215
287,2.44187,2.15955,1.13976
288,2.5464,2.24047,1.21013
289,2.5464,2.24047,1.21013
290,2.46494,2.20927,1.09317
291,2.46494,2.20927,1.09317
292,2.47183,2.28421,0.944623
293,2.40974,2.30576,0.700224
294,2.40642,2.33101,0.597701
295,2.40642,2.33101,0.597701
296,2.40642,2.33101,0.597701
297,2.40642,2.33101,0.597701
298,2.40642,2.33101,0.597701
299,2.45697,2.38179,0.603163
300,2.35404,2.32735,0.353505
301,2.38957,2.35745,0.390487
302,2.38957,2.35745,0.390487
303,2.38957,2.35745,0.390487
304,2.38957,2.35745,0.390487
305,2.38982,2.35955,0.37917
306,2.27202,2.25685,0.262091
307,2.35832,2.35096,0.18612
308,2.40263,2.38989,0.247116
309,2.30042,2.2967,0.130726
310,2.32929,2.32804,0.076228
311,2.32929,2.32804,0.076228
312,2.32929,2.32804,0.076228
313,2.29531,2.28799,0.183163
314,2.18266,2.17263,0.209108
315,2.22359,2.22329,0.0369154
316,2.34784,2.34658,0.077167
317,2.2809,2.27617,0.146685
318,2.2809,2.27617,0.146685
319,2.2809,2.27617,0.146685
320,2.2809,2.27617,0.146685
321,2.2809,2.27617,0.146685
322,2.2809,2.27617,0.146685
323,2.2179,2.21246,0.155234
324,2.3562,2.33836,0.289364
325,2.42459,2.39277,0.3915
326,2.42459,2.39277,0.3915
327,2.39077,2.36595,0.343594
328,2.37302,2.3503,0.327589
329,2.37302,2.3503,0.327589
330,2.40551,2.39286,0.246383
331,2.33952,2.32641,0.247269
332,2.33952,2.32641,0.247269
333,2.33952,2.32641,0.247269
334,2.33952,2.32641,0.247269
335,2.33952,2.32641,0.247269
336,2.33952,2.32641,0.247269
337,2.33952,2.32641,0.247269
338,2.39226,2.3594,0.395147
339,2.45843,2.39751,0.543886
340,2.45843,2.39751,0.543886
341,2.57289,2.48356,0.67208
342,2.64805,2.59032,0.549887
343,2.58259,2.4645,0.772025
344,2.58259,2.4645,0.772025
345,2.58259,2.4645,0.772025
346,2.58259,2.4645,0.772025
347,2.59699,2.48197,0.764301
348,2.59699,2.48197,0.764301
349,2.51823,2.3891,0.796057
350,2.51996,2.44572,0.607159
351,2.51996,2.44572,0.607159
