MDTU,min_width,max_width
449,0.156804,0.0804287
450,0.151784,0.0809268
451,0.150532,0.0778675
452,0.151059,0.078335
453,0.152556,0.0824619
454,0.15306,0.0813451
455,0.157578,0.077963
456,0.159611,0.0762292
457,0.158578,0.079905
458,0.145183,0.0799907
459,0.171624,0.0889571
460,0.160942,0.0816424
461,0.161329,0.0806716
462,0.159851,0.0773819
463,0.160992,0.0848264
464,0.159263,0.0740735
465,0.164457,0.0766955
466,0.168147,0.0768052
467,0.176345,0.0746777
468,0.175801,0.0738591
469,0.160723,0.0761526
470,0.166039,0.0741891
471,0.159803,0.0727522
472,0.167774,0.0770131
473,0.159664,0.0747489
474,0.160584,0.0783427
475,0.15947,0.0748234
476,0.147023,0.074611
477,0.143176,0.0729857
478,0.140594,0.0705722
479,0.145234,0.0713185
480,0.136752,0.0717398
481,0.145471,0.0705845
482,0.151176,0.0754666
483,0.148802,0.0722503
484,0.145095,0.0729684
485,0.159427,0.0703513
486,0.153093,0.0740572
487,0.155201,0.0717741
488,0.183012,0.077638
489,0.188441,0.0735263
490,0.186418,0.0727882
491,0.19627,0.0811268
492,0.190613,0.0823783
493,0.18665,0.0813955
494,0.186269,0.0795515
495,0.184984,0.0802103
496,0.200387,0.0855047
497,0.198246,0.0797586
498,0.198246,0.0797586
499,0.17612,0.095627
500,0.186457,0.0842273
501,0.186457,0.0842273
502,0.179914,0.0805091
503,0.167647,0.0766732
504,0.165198,0.0770533
505,0.170208,0.077757
506,0.150653,0.0788405
507,0.150653,0.0788405
508,0.153199,0.0805925
509,0.162577,0.0783644
510,0.173915,0.0793642
511,0.167136,0.0765919
512,0.167136,0.0765919
513,0.171086,0.0738326
514,0.186073,0.0765803
515,0.179836,0.0738083
516,0.173904,0.0750354
517,0.164869,0.07728
518,0.154852,0.0715606
519,0.147099,0.0735258
520,0.138739,0.0754121
521,0.151993,0.0753369
522,0.152326,0.07613
523,0.152326,0.07613
524,0.147792,0.0768209
525,0.151136,0.0795534
526,0.159434,0.081622
527,0.165713,0.0849959
528,0.163072,0.0977278
529,0.163865,0.0839525
530,0.170647,0.0885613
531,0.166953,0.0906484
532,0.165856,0.0837895
533,0.160898,0.0832564
534,0.162787,0.0834996
535,0.153442,0.085096
536,0.156997,0.084347
537,0.172764,0.0885279
538,0.153565,0.0924727
539,0.143135,0.0886636
540,0.155871,0.094493
541,0.156513,0.0959401
542,0.146078,0.0847988
543,0.148861,0.0839339
544,0.143449,0.0825904
545,0.143449,0.0825904
546,0.148626,0.08431
547,0.153937,0.082585
548,0.152102,0.0781887
549,0.149861,0.0805383
550,0.143488,0.0727434
551,0.143488,0.0727434
552,0.140578,0.0770319
553,0.151699,0.0759734
554,0.147511,0.0726883
555,0.15705,0.074161
556,0.152841,0.0759571
557,0.143845,0.0765091
558,0.145766,0.0782379
559,0.144081,0.0772823
560,0.154361,0.0769043
561,0.15747,0.0774464
562,0.167449,0.0743074
563,0.174604,0.0760606
564,0.172616,0.0741263
565,0.161657,0.0758599
566,0.17546,0.0748399
567,0.182857,0.0797751
568,0.167393,0.0823404
569,0.177256,0.0776499
570,0.168057,0.0811464
571,0.156881,0.0791195
572,0.156225,0.0763863
573,0.15547,0.0765425
574,0.15547,0.0765425
575,0.159131,0.0750491
576,0.160178,0.0765677
577,0.176432,0.0758026
578,0.171746,0.0780257
