MDTU,min_ave,max_ave
944,-0.292876,0.251144
945,-0.304806,0.256661
946,-0.307652,0.259621
947,-0.313702,0.260409
948,-0.305136,0.259415
949,-0.316952,0.268039
950,-0.318192,0.260811
951,-0.314029,0.259948
952,-0.306722,0.253506
953,-0.320086,0.259843
954,-0.320977,0.260628
955,-0.310048,0.256072
956,-0.312484,0.259066
957,-0.29993,0.254627
958,-0.302133,0.256048
959,-0.294606,0.257083
960,-0.291757,0.254293
961,-0.287088,0.256533
962,-0.287088,0.256533
963,-0.299055,0.266932
964,-0.30893,0.265561
965,-0.307765,0.262348
966,-0.307765,0.262348
967,-0.315043,0.261306
968,-0.30598,0.267473
969,-0.307907,0.269012
970,-0.303346,0.267652
971,-0.299306,0.261787
972,-0.293725,0.253683
973,-0.291903,0.254111
974,-0.285663,0.254251
975,-0.277275,0.249141
976,-0.278105,0.245815
977,-0.284571,0.25267
978,-0.281153,0.255699
979,-0.283955,0.254718
980,-0.278399,0.250164
981,-0.295502,0.256679
982,-0.285475,0.242386
983,-0.275218,0.242995
984,-0.265404,0.243529
985,-0.261396,0.240572
986,-0.270524,0.241581
987,-0.269003,0.238792
988,-0.274398,0.240614
989,-0.286326,0.253144
990,-0.280968,0.242765
991,-0.287521,0.242822
992,-0.275704,0.234758
993,-0.270431,0.23085
994,-0.270923,0.229185
995,-0.284587,0.231289
996,-0.286277,0.240622
997,-0.288458,0.241407
998,-0.279977,0.243146
999,-0.279789,0.239042
1000,-0.294544,0.242818
1001,-0.302669,0.247007
1002,-0.302669,0.247007
1003,-0.308952,0.246074
1004,-0.311177,0.251435
1005,-0.311177,0.251435
1006,-0.315823,0.24875
1007,-0.298461,0.242803
1008,-0.295321,0.243212
1009,-0.296712,0.247614
1010,-0.281186,0.241802
1011,-0.282321,0.242571
1012,-0.286498,0.240537
1013,-0.291399,0.249383
1014,-0.295252,0.245469
1015,-0.290832,0.244367
1016,-0.306188,0.256533
1017,-0.343089,0.252572
1018,-0.33138,0.256591
1019,-0.331269,0.252028
1020,-0.321581,0.252975
1021,-0.303504,0.247773
1022,-0.308456,0.245581
1023,-0.299413,0.240203
1024,-0.305045,0.246918
1025,-0.305045,0.246918
1026,-0.318374,0.25405
1027,-0.315322,0.25248
1028,-0.325856,0.263265
1029,-0.316489,0.257101
1030,-0.324581,0.264212
1031,-0.314954,0.262411
1032,-0.319494,0.265742
1033,-0.31633,0.26429
1034,-0.312818,0.265742
1035,-0.311552,0.261823
1036,-0.297033,0.254564
1037,-0.297033,0.254564
1038,-0.284257,0.251331
1039,-0.292427,0.2541
1040,-0.293043,0.254739
1041,-0.294557,0.257017
1042,-0.294557,0.257017
1043,-0.289655,0.253652
1044,-0.295316,0.259163
1045,-0.295316,0.259163
1046,-0.284148,0.251952
1047,-0.290955,0.25517
1048,-0.283064,0.251273
1049,-0.272778,0.249697
1050,-0.28306,0.249603
1051,-0.295105,0.249296
1052,-0.290581,0.244627
1053,-0.305004,0.256012
1054,-0.294746,0.260329
1055,-0.284829,0.252949
1056,-0.284142,0.254329
1057,-0.289609,0.263168
1058,-0.298998,0.266047
1059,-0.300232,0.264949
1060,-0.29995,0.264809
1061,-0.298227,0.265887
1062,-0.310347,0.268324
1063,-0.306484,0.258757
1064,-0.302903,0.26078
1065,-0.302855,0.252779
1066,-0.299123,0.256098
1067,-0.29513,0.248742
1068,-0.301027,0.246141
