MDTU,S_F
716,0.998988
717,0.992636
718,0.998437
719,1.00238
720,0.996098
721,0.999326
722,1.00564
723,1.01183
724,1.00135
725,0.991104
726,1.00108
727,0.992356
728,0.999282
729,1.00377
730,0.999401
731,0.996011
732,1.00349
733,0.996653
734,1.00028
735,1.00155
736,1.00807
737,0.994919
738,1.00531
739,1.00357
740,1.01231
741,0.994818
742,0.989229
743,0.994338
744,0.995861
745,0.996933
746,0.991364
747,0.985748
748,0.994869
749,1.00254
750,1.00496
751,0.997931
752,1.00515
753,0.993352
754,1.00487
755,1.00053
756,1.01066
757,0.998257
758,0.994321
759,1.00143
760,1.00179
761,0.993443
762,0.999151
763,1.01213
764,1.00502
765,0.996468
766,0.989236
767,0.998969
768,1.00523
769,1.00279
770,0.999687
771,1.00106
772,1.00473
773,1.00012
774,0.992689
775,0.994484
776,1.00932
777,1.00379
778,1.00443
779,0.999599
780,1.00716
781,0.998387
782,0.995705
783,0.998158
784,1.00039
785,0.994594
786,0.993238
787,1.00584
788,0.997643
789,0.996439
790,0.998003
791,1.00105
792,1.00219
793,0.998117
794,1.00076
795,1.00101
796,1.00436
797,0.993823
798,0.996198
799,0.996993
800,1.00529
801,1.01063
802,0.994232
803,0.992267
804,0.998027
805,0.996546
806,1.00242
807,0.999726
808,0.995986
809,0.99764
810,0.996279
811,0.997385
812,0.992658
813,0.996376
814,0.996561
815,1.00008
816,1.00373
817,0.993996
818,1.00444
819,0.998696
820,0.999103
821,0.999479
822,1.0017
823,1.00593
824,1.00162
825,0.996521
826,1.00137
827,0.994612
828,1.00183
829,0.99811
830,1.00358
831,1.00368
832,0.995676
833,0.997218
834,0.997127
835,0.993749
836,1.00995
837,1.00351
838,1.00817
839,1.00282
840,0.998139
841,0.993288
842,1.00634
843,1.00172
844,1.00079
845,0.992039
846,1.00049
847,1.00443
848,0.995716
849,0.992136
850,0.995516
851,0.997373
852,0.991736
853,1.00011
854,1.00024
855,1.00153
856,1.00234
857,1.00216
858,0.999921
859,1.00121
860,1.00384
861,0.992784
862,1.00045
863,1.00308
864,1.0086
865,1.0071
866,0.988108
867,0.991941
868,0.996687
869,0.992634
870,0.992563
871,1.00499
872,0.999138
873,0.996318
874,1.00612
875,0.994265
876,0.987604
877,1.00594
878,1.00538
879,0.995892
880,0.997138
881,1.0024
882,0.999972
883,1.00149
884,0.999623
885,1.00509
886,1.00138
887,1.00179
888,1.00202
889,0.999063
890,0.994684
891,0.997772
892,1.00519
893,1.00377
894,1.00176
895,1.00925
896,1.00436
897,1.00689
898,0.999316
899,1.0023
900,0.989706
901,1.00783
902,1.00195
903,0.999611
904,1.00481
905,0.994166
906,0.997858
907,1.00111
908,0.997783
909,1.00366
910,0.994379
911,0.996088
912,1.00165
913,0.990473
914,0.988178
915,1.00161
916,1.00421
917,0.996308
918,1.01626
919,1.00296
920,0.999174
921,1.00482
922,1.00363
923,0.999602
924,1.0031
925,1.00154
926,0.995361
927,1.00676
928,0.995291
929,1.002
930,0.999156
931,0.988853
932,0.996479
933,1.00454
934,0.999149
935,0.991729
936,0.994867
937,0.997092
938,1.01178
939,1.00415
940,1.00937
941,0.990474
942,1.00101
943,1.00132
944,0.999548
945,0.999101
946,1.01303
947,1.002
948,1.00308
949,0.99685
950,1.00135
951,1.00201
952,1.00444
953,1.0044
954,0.9876
955,0.994481
956,1.00838
957,1.00034
958,0.999852
959,0.993809
