MDTU,|det-1|^2,1-Re(det),Im(det)
238,0.380746,0.024024,0.00150472
239,0.380746,0.024024,0.00150472
240,0.400496,0.013999,-0.00401415
241,0.400496,0.013999,-0.00401415
242,0.384766,0.040801,0.000561457
243,0.392304,0.017811,-0.0036867
244,0.381724,0.020184,0.00224071
245,0.335163,-0.00984,-0.00417485
246,0.373872,-0.00077,0.00517908
247,0.45322,0.009514,0.00358002
248,0.445752,-0.00984,0.00774366
249,0.398811,0.002794,0.00828804
250,0.407711,0.005401,0.000833032
251,0.389354,0.004385,0.00783943
252,0.444598,0.002672,0.0044624
253,0.442773,-0.00611,0.000733121
254,0.397248,0.017611,-0.000687364
255,0.381872,0.01256,0.002846
256,0.43981,-0.00106,0.0024925
257,0.404002,0.014446,-0.000653378
258,0.358071,0.039005,-0.00166971
259,0.368311,0.027663,-0.00120714
260,0.367284,0.032664,-1.70502e-05
261,0.439385,0.003239,9.96224e-05
262,0.351501,0.02269,-0.000729397
263,0.397407,0.006466,0.012004
264,0.422347,0.010873,-0.00088661
265,0.446484,0.040736,-0.00306171
266,0.440488,0.006307,0.000588296
267,0.487519,-0.0039,-0.00174701
268,0.506721,-0.01102,0.00403402
269,0.535801,-0.01994,-0.000337763
270,0.535801,-0.01994,-0.000337763
271,0.535801,-0.01994,-0.000337761
272,0.527647,-0.01945,0.00297348
273,0.578388,-0.02861,-0.00399949
274,0.506427,-0.01417,0.00172642
275,0.403403,0.014653,-0.00221093
276,0.424897,0.022118,-0.00570891
277,0.428439,0.017562,-0.00403533
278,0.448373,0.005416,0.00871103
279,0.456138,0.003904,0.00454139
280,0.456138,0.003904,0.00454139
281,0.407917,0.013458,0.00502333
282,0.371497,0.013189,-0.000526832
283,0.365925,0.015055,0.00165632
284,0.377341,0.031132,0.00491692
285,0.360763,0.005638,0.00620807
286,0.360763,0.005638,0.00620807
287,0.403783,-0.00926,0.0127567
288,0.35517,0.027839,-0.00526937
289,0.348932,0.029606,0.00198555
290,0.360519,0.003069,0.00349747
291,0.342571,0.009747,0.0021099
292,0.412253,-0.01671,0.00606262
293,0.358248,-0.01522,0.00228991
294,0.409655,-0.01542,0.0131639
295,0.441143,-0.02353,0.00405763
296,0.419462,-0.01642,0.000312769
297,0.442581,-0.01746,0.00321735
298,0.442581,-0.01746,0.00321735
299,0.442581,-0.01746,0.00321735
300,0.432568,-0.00279,0.00545916
301,0.401309,-0.00184,-0.00154804
302,0.4319,0.011246,-0.0032881
303,0.4685,0.005324,-0.00418855
304,0.440805,0.007573,0.000504198
305,0.371046,0.016051,0.00347124
306,0.434935,0.046867,0.00486271
307,0.453577,0.059109,-0.000257387
308,0.474209,0.032897,-0.000241326
309,0.498209,0.022919,0.00390664
310,0.496524,-0.00013,0.0046233
311,0.612324,-0.0017,0.00344762
312,0.509826,0.011095,-0.000132546
313,0.468257,-0.00912,0.00108013
314,0.468257,-0.00912,0.00108013
315,0.58222,-0.00748,0.00404408
316,0.551578,0.00202,0.00291442
317,0.499157,-0.01019,-0.00350789
318,0.524428,-0.01662,0.00387067
319,0.521768,-0.0123,0.00119603
320,0.448551,0.004338,-0.00252415
321,0.55081,-0.03408,0.00246424
322,0.585319,0.012004,-0.00312339
323,0.575877,0.02949,0.00371093
324,0.470545,0.049617,-0.00562397
