MDTU,plaq,Re(det),Im(det),link
197,1.52428,0.509593,0.219208,0.134709
198,1.54324,0.518927,0.220968,0.14486
199,1.57891,0.532093,0.227356,0.1404
200,1.54805,0.546204,0.221,0.164872
201,1.55443,0.516093,0.23278,0.144715
202,1.56141,0.518871,0.223068,0.144483
203,1.55152,0.516982,0.235342,0.151057
204,1.5562,0.512432,0.225428,0.130829
205,1.56025,0.530293,0.217545,0.146958
206,1.5418,0.526869,0.217619,0.145816
207,1.53799,0.513058,0.207106,0.144767
208,1.52774,0.514254,0.222105,0.147395
209,1.52501,0.51186,0.213379,0.145149
210,1.5214,0.536652,0.224932,0.151072
211,1.53568,0.526119,0.226862,0.146417
212,1.55244,0.531353,0.220317,0.140511
213,1.54558,0.541471,0.239042,0.148695
214,1.56875,0.527251,0.245647,0.138713
215,1.55781,0.52164,0.231831,0.146505
216,1.54285,0.514533,0.223639,0.141877
217,1.52185,0.507968,0.211358,0.139371
218,1.53144,0.520484,0.230481,0.142662
219,1.53844,0.530641,0.220296,0.147749
220,1.52877,0.51277,0.220544,0.139335
221,1.53776,0.527112,0.233864,0.148714
222,1.5257,0.528196,0.22677,0.146032
223,1.53031,0.527207,0.220628,0.143977
224,1.50824,0.519533,0.224481,0.143266
225,1.50852,0.522109,0.217379,0.146389
226,1.49365,0.5226,0.227703,0.152436
227,1.50072,0.514919,0.226446,0.146359
228,1.48886,0.530771,0.22409,0.169328
229,1.5081,0.504203,0.215175,0.144227
230,1.50129,0.523303,0.221629,0.153763
231,1.52481,0.517338,0.222799,0.143563
232,1.5178,0.526592,0.230848,0.145715
233,1.51266,0.528674,0.229202,0.145788
234,1.50094,0.543271,0.226201,0.147504
235,1.48843,0.514136,0.214098,0.137638
236,1.48474,0.515082,0.224657,0.143037
237,1.48474,0.515082,0.224657,0.143037
238,1.49363,0.518627,0.212385,0.144894
239,1.49363,0.518627,0.212385,0.144894
240,1.48836,0.526057,0.217977,0.152681
241,1.48836,0.526057,0.217977,0.152681
242,1.48086,0.506977,0.226093,0.147659
243,1.47939,0.519891,0.22337,0.140599
244,1.48737,0.520688,0.211865,0.139587
245,1.51092,0.519562,0.211482,0.128395
246,1.51906,0.523694,0.21961,0.136502
247,1.52317,0.537056,0.23137,0.151244
248,1.51537,0.542581,0.231196,0.158795
249,1.51833,0.527586,0.223866,0.149041
250,1.49594,0.531718,0.217528,0.167028
251,1.51691,0.527368,0.216427,0.158395
252,1.50581,0.535667,0.235192,0.165253
253,1.51475,0.541988,0.227254,0.165158
254,1.50732,0.524593,0.215759,0.164359
255,1.51448,0.518209,0.225236,0.154922
256,1.5214,0.539528,0.226484,0.159852
257,1.50604,0.525012,0.222434,0.158369
258,1.50666,0.50667,0.210209,0.15359
259,1.53697,0.510868,0.218678,0.155336
260,1.54558,0.511488,0.211544,0.16153
261,1.58315,0.536854,0.228564,0.160051
262,1.53905,0.511913,0.209331,0.142146
263,1.54006,0.526001,0.223186,0.158345
264,1.54255,0.526189,0.235056,0.168281
265,1.54547,0.52178,0.233305,0.188882
266,1.56502,0.53353,0.234178,0.18314
267,1.56475,0.54613,0.2442,0.190533
268,1.54736,0.554215,0.243882,0.204904
269,1.55142,0.568355,0.236754,0.205574
270,1.55142,0.568355,0.236754,0.205574
271,1.55142,0.568355,0.236754,0.205574
272,1.54883,0.566247,0.236207,0.206998
273,1.55109,0.58337,0.23481,0.20064
274,1.54447,0.558365,0.236828,0.171826
275,1.52663,0.524152,0.223855,0.152731
276,1.5257,0.523527,0.232491,0.15077
277,1.52415,0.533516,0.215609,0.162361
278,1.5214,0.537544,0.230811,0.162174
279,1.51755,0.542999,0.224389,0.166472
280,1.51755,0.542999,0.224389,0.166472
281,1.51324,0.522917,0.230786,0.145241
282,1.5015,0.518043,0.218003,0.142362
283,1.50741,0.515995,0.217217,0.13427
284,1.50916,0.50957,0.224446,0.143549
285,1.5102,0.517342,0.219571,0.133963
286,1.5102,0.517342,0.219571,0.133963
287,1.52261,0.533031,0.225561,0.147946
288,1.51709,0.50562,0.221663,0.13822
289,1.50652,0.506293,0.214088,0.138861
290,1.52049,0.522229,0.2101,0.144406
291,1.52113,0.510597,0.218996,0.129803
292,1.51663,0.540553,0.220156,0.148942
293,1.52347,0.523068,0.224158,0.13695
294,1.52725,0.536636,0.226622,0.147989
295,1.52628,0.54555,0.233554,0.162236
296,1.5248,0.540397,0.225131,0.160072
297,1.50853,0.545466,0.229233,0.152157
298,1.50853,0.545466,0.229233,0.152157
299,1.50853,0.545466,0.229233,0.152157
300,1.51537,0.539629,0.223024,0.15249
301,1.50527,0.531421,0.220807,0.155196
302,1.51354,0.535541,0.219158,0.160343
303,1.5127,0.546177,0.223608,0.165135
304,1.52896,0.536192,0.227054,0.156629
305,1.51019,0.521493,0.206381,0.147733
306,1.50722,0.521839,0.219728,0.169561
307,1.51041,0.521687,0.220853,0.166769
308,1.48646,0.537139,0.223227,0.171107
309,1.50458,0.546717,0.225585,0.183054
310,1.50728,0.554968,0.225877,0.180023
311,1.5415,0.579667,0.241655,0.181734
312,1.53417,0.555571,0.22275,0.166424
313,1.52118,0.554296,0.216925,0.159064
314,1.52118,0.554296,0.216925,0.159064
315,1.54204,0.575554,0.237783,0.181445
316,1.54137,0.563175,0.239703,0.180451
317,1.53217,0.553118,0.240996,0.172014
318,1.54529,0.561432,0.243057,0.162882
319,1.54621,0.558962,0.243402,0.168177
320,1.53308,0.539091,0.228303,0.15753
321,1.54259,0.573508,0.246052,0.167129
322,1.53882,0.569466,0.237168,0.171454
323,1.51834,0.560441,0.237075,0.178367
324,1.50091,0.531515,0.218156,0.174051
325,1.49695,0.540969,0.221469,0.18034
326,1.51916,0.55658,0.2343,0.181989
327,1.5196,0.553703,0.217745,0.183156
328,1.50703,0.54267,0.232564,0.180662
329,1.51905,0.551964,0.221532,0.20024
330,1.50202,0.556349,0.233032,0.208597
331,1.50908,0.573222,0.237623,0.213493
332,1.51507,0.574858,0.229592,0.20504
333,1.50805,0.576867,0.241429,0.189808
334,1.53349,0.594132,0.256421,0.200185
335,1.54047,0.597723,0.247483,0.193703
336,1.5372,0.585103,0.245778,0.175607
337,1.52006,0.581935,0.258187,0.187691
338,1.5598,0.568775,0.243635,0.167185
339,1.52549,0.567278,0.231429,0.180059
340,1.51805,0.561818,0.238233,0.179999
341,1.53336,0.554946,0.227722,0.171186
342,1.52415,0.562422,0.237528,0.188639
343,1.5693,0.568023,0.249124,0.195603
344,1.55214,0.541083,0.221618,0.160664
345,1.58258,0.550661,0.232781,0.161404
346,1.60134,0.553536,0.244144,0.163689
347,1.60134,0.553536,0.244144,0.163689
348,1.60134,0.553536,0.244144,0.163689
349,1.57594,0.576191,0.239425,0.190801
350,1.55142,0.532385,0.245887,0.165962
351,1.53226,0.546596,0.237977,0.166407
352,1.51611,0.538728,0.231431,0.158082
353,1.52724,0.552479,0.233508,0.161774
354,1.50294,0.540014,0.232118,0.171648
355,1.50199,0.554061,0.224782,0.18662
356,1.50726,0.558736,0.238732,0.182348
357,1.50726,0.558736,0.238732,0.182348
358,1.50083,0.558909,0.233967,0.174779
359,1.49946,0.535923,0.218525,0.158556
360,1.49075,0.546483,0.231857,0.160704
361,1.4946,0.56011,0.234477,0.16733
362,1.4959,0.561948,0.248537,0.166925
363,1.49915,0.583415,0.243613,0.187289
364,1.49614,0.564331,0.250701,0.175807
365,1.52034,0.566574,0.253043,0.176294
366,1.50345,0.559959,0.221018,0.164407
367,1.50608,0.545259,0.231223,0.16331
368,1.50608,0.545259,0.231223,0.16331
369,1.47564,0.539013,0.225377,0.171614
370,1.49,0.522434,0.224376,0.148633
371,1.49384,0.531604,0.23826,0.145011
372,1.4737,0.545976,0.223324,0.155903
373,1.46729,0.547216,0.220188,0.157599
374,1.48277,0.554851,0.245599,0.168804
375,1.49744,0.552866,0.249786,0.157982
376,1.51619,0.556877,0.238147,0.156957
377,1.50653,0.546417,0.23649,0.156295
378,1.4943,0.541067,0.225254,0.141097
379,1.5178,0.544389,0.237922,0.146909
380,1.52167,0.548375,0.226319,0.133929
381,1.52167,0.548375,0.226319,0.133929
382,1.51114,0.548698,0.228056,0.15018
383,1.50051,0.537802,0.237898,0.138373
384,1.50081,0.550168,0.254155,0.148326
385,1.49198,0.550249,0.248501,0.138389
386,1.49814,0.53531,0.22201,0.131249
387,1.49588,0.525496,0.222513,0.138397
388,1.49588,0.525496,0.222513,0.138397
389,1.48648,0.527165,0.224817,0.142005
390,1.48028,0.518816,0.221282,0.143831
391,1.48867,0.506916,0.223315,0.142399
392,1.46364,0.512343,0.217639,0.142064
393,1.47607,0.517003,0.220571,0.137039
394,1.46935,0.506313,0.217924,0.138023
395,1.45534,0.503684,0.219201,0.142468
396,1.46173,0.511244,0.216389,0.144906
397,1.47777,0.527319,0.219192,0.152682
398,1.50698,0.525881,0.229743,0.165394
399,1.49582,0.534903,0.219351,0.158433
400,1.50985,0.523676,0.219408,0.153396
401,1.51943,0.517712,0.221447,0.146061
402,1.50243,0.526138,0.229374,0.14541
403,1.49426,0.522076,0.222534,0.142175
404,1.49464,0.505401,0.217153,0.137385
405,1.49464,0.505401,0.217153,0.137385
406,1.51282,0.515693,0.221226,0.134896
407,1.49822,0.519608,0.22557,0.142082
408,1.51086,0.509288,0.214033,0.138272
409,1.51086,0.509288,0.214033,0.138272
410,1.50844,0.507244,0.217815,0.142466
411,1.51583,0.502664,0.222816,0.136193
412,1.50581,0.51165,0.22641,0.147897
413,1.5153,0.521648,0.225658,0.137216
414,1.52976,0.528795,0.234822,0.14284
415,1.5323,0.54113,0.241906,0.139304
416,1.53995,0.534277,0.225528,0.139266
417,1.53317,0.528737,0.238354,0.141378
418,1.52301,0.538797,0.231862,0.144529
419,1.55405,0.529437,0.227727,0.152964
420,1.52769,0.514562,0.217426,0.137098
421,1.54122,0.517343,0.220577,0.144895
422,1.54994,0.50794,0.224227,0.135998
423,1.54912,0.510347,0.233427,0.139844
424,1.54735,0.52267,0.230352,0.142447
425,1.56627,0.529732,0.234198,0.145837
426,1.55413,0.539319,0.234321,0.141132
427,1.547,0.531055,0.235511,0.14041
428,1.54857,0.523266,0.231123,0.141207
429,1.5533,0.518737,0.239863,0.140294
430,1.55948,0.513748,0.228535,0.13537
431,1.56858,0.530609,0.230381,0.14612
432,1.55156,0.546791,0.220159,0.148647
433,1.55717,0.579811,0.250983,0.165263
434,1.55626,0.555811,0.239106,0.145347
435,1.53042,0.558503,0.241997,0.15491
436,1.5262,0.538463,0.221618,0.14545
437,1.52476,0.547856,0.22254,0.153894
438,1.51941,0.545121,0.218148,0.152504
439,1.56575,0.539739,0.22726,0.150275
440,1.56894,0.542451,0.235242,0.158737
441,1.53718,0.549389,0.226918,0.164836
442,1.55922,0.532362,0.228028,0.141544
443,1.54953,0.527953,0.221787,0.142548
444,1.54953,0.527953,0.221787,0.142548
445,1.57831,0.553654,0.23317,0.147017
446,1.57831,0.553654,0.23317,0.147017
447,1.56927,0.552468,0.235171,0.144465
448,1.55625,0.548185,0.240615,0.161466
449,1.55327,0.524887,0.227703,0.145335
450,1.546,0.51414,0.224377,0.147038
451,1.55185,0.517031,0.226244,0.142844
452,1.5449,0.533064,0.220517,0.148366
453,1.55442,0.536147,0.226759,0.150975
454,1.53762,0.531669,0.229014,0.155365
455,1.54115,0.545359,0.232203,0.148345
456,1.53016,0.541111,0.233623,0.147753
457,1.53858,0.54213,0.227919,0.156006
458,1.52935,0.523404,0.229602,0.152459
459,1.53009,0.55589,0.248741,0.187444
460,1.51715,0.549831,0.222557,0.173473
461,1.53885,0.554397,0.231584,0.169006
462,1.53925,0.551762,0.235761,0.15842
463,1.53611,0.544349,0.230583,0.170641
464,1.54013,0.537947,0.224248,0.146272
465,1.53441,0.543074,0.240376,0.15205
466,1.57159,0.530437,0.230387,0.145421
467,1.574,0.550413,0.230644,0.149908
468,1.58394,0.554076,0.243063,0.149202
469,1.54965,0.553455,0.243683,0.151173
470,1.54599,0.544704,0.237978,0.151084
471,1.53798,0.533526,0.242227,0.146782
472,1.51993,0.563443,0.23489,0.164694
473,1.5014,0.534748,0.227505,0.155925
474,1.49889,0.531021,0.235623,0.161489
475,1.49127,0.530343,0.232284,0.153269
476,1.47741,0.522159,0.218181,0.146271
477,1.49847,0.533532,0.238321,0.141574
478,1.50019,0.520457,0.222581,0.135674
479,1.4774,0.522428,0.21675,0.138381
480,1.46255,0.499069,0.211098,0.131541
481,1.49582,0.525211,0.242652,0.138604
482,1.51038,0.545821,0.245899,0.150075
483,1.51789,0.534173,0.227718,0.143994
484,1.51339,0.539897,0.238724,0.143799
485,1.5154,0.540954,0.233213,0.141503
486,1.51088,0.538587,0.226762,0.147031
487,1.53174,0.540658,0.235969,0.141999
488,1.52179,0.587308,0.227553,0.169989
489,1.51233,0.568443,0.228317,0.155547
490,1.50802,0.56879,0.24468,0.159114
491,1.5105,0.601398,0.253826,0.179677
492,1.48552,0.598631,0.238374,0.186902
