MDTU,0,2,4,6,8,10
1430,0.0106201,0.0122633,0.0151418,0.0175934,0.0217423,0.0231769
1440,0.0112949,0.011956,0.019414,0.0221177,0.0266719,0.0304675
1450,0.0150476,0.0176277,0.021745,0.0240919,0.0316397,0.032999
1460,0.0132053,0.0164987,0.0200252,0.0241331,0.0254251,0.0278462
1470,0.0172111,0.0185818,0.0207884,0.0224996,0.0230287,0.0241843
1480,0.0197173,0.0221856,0.0235489,0.0241801,0.0255011,0.0276636
1490,0.019216,0.0221481,0.0246957,0.0255819,0.0263277,0.0284567
1500,0.0189192,0.0223991,0.0247767,0.0266411,0.0281372,0.0309568
1510,0.0140705,0.0165115,0.0191175,0.0211668,0.0227835,0.0250158
1520,0.0217157,0.0232067,0.0241992,0.0247131,0.0277604,0.0290848
1530,0.0152889,0.0185775,0.0205158,0.0220128,0.0239383,0.0245745
1540,0.0165774,0.0178578,0.0203845,0.0224775,0.0240458,0.0255507
1550,0.0161985,0.0185748,0.0220526,0.0228431,0.0248003,0.0271938
1560,0.0153247,0.0169579,0.0187653,0.020553,0.0244038,0.025456
1570,0.0152392,0.0169858,0.0184367,0.0206085,0.026358,0.028081
1580,0.0138788,0.0159187,0.017892,0.0206026,0.0251527,0.0267483
1590,0.0171899,0.0189656,0.0212885,0.0233562,0.0282415,0.0301729
1600,0.01371,0.015218,0.022966,0.0242818,0.0260666,0.0276863
1610,0.0129097,0.0154572,0.0167522,0.0185776,0.0220392,0.0256171
1620,0.0164043,0.021321,0.0227724,0.0254483,0.0275775,0.029281
1630,0.0151047,0.0180772,0.0211883,0.0225296,0.0268561,0.0288859
1640,0.0178441,0.0193957,0.0216484,0.0240688,0.0255383,0.0271682
1650,0.0154336,0.0184378,0.0199196,0.0213736,0.0224683,0.0257905
1660,0.0165906,0.0192309,0.0214134,0.0241663,0.0249768,0.0253442
1670,0.0161385,0.0182462,0.0207594,0.021562,0.0229703,0.0240132
1680,0.0126537,0.0137685,0.0150368,0.0166563,0.0177507,0.0202792
1690,0.0149264,0.0180468,0.0191762,0.021233,0.024773,0.0261299
1700,0.0156028,0.0185658,0.0212297,0.0225072,0.0262755,0.026875
1710,0.0168397,0.0192194,0.0233882,0.0261748,0.0321167,0.0347819
1720,0.0145394,0.0176983,0.0206139,0.022643,0.0274034,0.0295371
1730,0.0158014,0.0178966,0.0191569,0.0213228,0.0244555,0.0257506
1740,0.0180593,0.0197003,0.0205578,0.0208585,0.0231422,0.0257073
1750,0.0111235,0.0136939,0.0179328,0.0193978,0.0220031,0.0236358
1760,0.0124813,0.0171391,0.0185095,0.0212327,0.0236235,0.0245537
1770,0.0124616,0.0155252,0.0171929,0.0197846,0.0229124,0.0240804
1780,0.0147771,0.0161118,0.0226863,0.0233652,0.0241047,0.0257087
1790,0.015418,0.018384,0.0197068,0.0221803,0.0238945,0.0254488
1800,0.0155992,0.0173115,0.021319,0.0226187,0.0257568,0.0272243
1810,0.0114972,0.0150421,0.0183629,0.0200619,0.02303,0.0260262
1820,0.0147026,0.0180145,0.0208034,0.0216876,0.0291046,0.0303844
1830,0.0165015,0.018793,0.0205737,0.0234555,0.0271783,0.0293166
1840,0.0217354,0.0234207,0.0255037,0.0280052,0.0300078,0.0329153
1850,0.0197414,0.0209621,0.02303,0.0236552,0.0259349,0.0270094
1860,0.0186826,0.0206327,0.0247229,0.0264692,0.0319238,0.0339744
1870,0.0156027,0.016561,0.0186508,0.0218574,0.0249019,0.0261206
1880,0.0172624,0.0230447,0.0250677,0.026361,0.0268469,0.0275069
1890,0.0172244,0.020042,0.021848,0.0254291,0.0265193,0.0275093
1900,0.0195219,0.0212845,0.025272,0.0258253,0.027003,0.0288899
1910,0.0221394,0.0236403,0.0247069,0.0257547,0.027843,0.0292493
1920,0.0205346,0.0222669,0.0252943,0.0272597,0.0312567,0.0326034
1930,0.0222228,0.0233609,0.0242029,0.025734,0.0272306,0.0282474
1940,0.0233628,0.0249136,0.0261369,0.027349,0.0293581,0.0297748
1950,0.0187763,0.0200325,0.0213286,0.0250501,0.025968,0.027411
1960,0.0209946,0.022535,0.0240955,0.0253274,0.0295814,0.0312459
1970,0.0200096,0.0210426,0.0250873,0.0265267,0.0275094,0.0301805
1980,0.0223292,0.0239639,0.0261714,0.0289549,0.0316174,0.0322533
1990,0.0243329,0.0252973,0.0267287,0.0281787,0.0293131,0.0309549
2000,0.0220037,0.025003,0.0256274,0.0272587,0.0281318,0.0296549
2010,0.0190578,0.0207704,0.0235212,0.0262295,0.0325765,0.0346105
2020,0.0168364,0.0187771,0.021024,0.023336,0.0303436,0.0315959
2030,0.0140594,0.0166692,0.0191028,0.0218708,0.0281324,0.0299698
2040,0.0153896,0.0176191,0.0192363,0.0221182,0.0256697,0.0286404
2050,0.0130003,0.0145966,0.0173109,0.0190482,0.0216925,0.0232932
2060,0.0129227,0.0147321,0.0181701,0.0197364,0.0220599,0.0238349
2070,0.00833563,0.0092885,0.0111106,0.0187991,0.0215681,0.0241028
2080,0.010615,0.0120328,0.0135755,0.0172723,0.0199274,0.0215042
2090,0.0169053,0.0177485,0.0219501,0.0234395,0.024356,0.0256943
2100,0.014843,0.0172717,0.0192147,0.0208704,0.0240093,0.0250006
2110,0.011417,0.0150341,0.0170307,0.0192684,0.0227225,0.0253418
2120,0.0167223,0.0179958,0.0202114,0.0230123,0.0238737,0.0266694
2130,0.0187413,0.0190415,0.0220135,0.022517,0.024475,0.0263179
2140,0.0135791,0.0200592,0.0225275,0.0234477,0.0258262,0.0272944
2150,0.021442,0.0229895,0.0243222,0.0261273,0.027927,0.0289898
2160,0.018375,0.0208597,0.0227555,0.0240141,0.0255175,0.0275118
2170,0.0166941,0.0215876,0.0225751,0.0239731,0.0255927,0.0268188
2180,0.0243227,0.0253691,0.0266564,0.0286651,0.0299538,0.0311602
2190,0.0234973,0.0245702,0.0265793,0.0281387,0.0293864,0.0294648
2200,0.0193141,0.0219447,0.0237561,0.0242428,0.0263258,0.0274326
2210,0.0150206,0.0178432,0.0228631,0.0241849,0.0261015,0.0275161
2220,0.0224214,0.0238576,0.0246981,0.0273077,0.0282766,0.0295907
2230,0.0170721,0.0189662,0.0206442,0.0231699,0.0241191,0.0279572
2240,0.0185547,0.0212123,0.0217844,0.0248063,0.0257997,0.0282938
2250,0.0247305,0.0254453,0.0264791,0.0272033,0.0281962,0.0308738
2260,0.0111774,0.0210097,0.0245735,0.0255843,0.0265258,0.0283211
2270,0.00758925,0.0138516,0.0164335,0.0176713,0.0257644,0.0280782
2280,0.00748536,0.0148661,0.0219453,0.0246827,0.0250227,0.0265037
2290,0.0132848,0.0246813,0.0248706,0.0264601,0.0277697,0.0303345
2300,0.0174784,0.020834,0.0254061,0.0286148,0.0308993,0.0314002
2310,0.00434451,0.00716004,0.0106242,0.014527,0.022777,0.0246071
2320,0.00871418,0.0173982,0.0221541,0.0247968,0.0268706,0.0276957
2330,0.00899522,0.0163957,0.0196466,0.0211162,0.0259264,0.0287795
2340,0.0204418,0.0221588,0.0243698,0.026129,0.0280344,0.0296733
2350,0.0242529,0.025254,0.0267519,0.0280281,0.0294537,0.0300685
2360,0.012799,0.0234247,0.0257571,0.0271655,0.0274011,0.0288035
2370,0.0205057,0.0228592,0.0242872,0.0267548,0.0281354,0.0293374
2380,0.0147485,0.0195761,0.0247348,0.0278019,0.0284472,0.0287834
2390,0.00829779,0.0118144,0.0205801,0.0220075,0.0236123,0.0252479
2400,0.00670311,0.0153015,0.0210019,0.0263666,0.027142,0.0280781
2410,0.00921025,0.00943967,0.016171,0.0211921,0.0223732,0.024581
2420,0.0221896,0.0227573,0.0268006,0.0275515,0.0284476,0.0304181
2430,0.01926,0.0249025,0.0269839,0.0277363,0.0302059,0.030739
2440,0.0097848,0.0178402,0.0258001,0.0282048,0.0305709,0.0319501
2450,0.00257696,0.00989096,0.0127557,0.0131702,0.0137709,0.0176455
2460,0.0202221,0.0208928,0.0215978,0.0223422,0.022558,0.0235167
2470,0.0139241,0.0171118,0.022814,0.0244947,0.0250639,0.0289796
2480,0.0114289,0.0214227,0.0238026,0.0249715,0.026731,0.028706
2490,0.00916719,0.0111034,0.0146892,0.019491,0.0201811,0.0219819
2500,0.0127932,0.0201386,0.0223593,0.0235417,0.027805,0.0289868
2510,0.0199314,0.020313,0.0246247,0.0283178,0.0307026,0.0317713
2520,0.00940586,0.0200111,0.0236956,0.0246996,0.0295525,0.030713
