MDTU,plaq_ss,plaq_st
541,0.945612,1.14535
542,0.981004,1.14083
543,0.953296,1.14324
544,0.965523,1.12992
545,0.965523,1.12992
546,0.971241,1.12518
547,0.96192,1.14125
548,0.958881,1.1283
549,0.946595,1.12579
550,1.01264,1.10696
551,1.01264,1.10696
552,0.986581,1.13914
553,1.0375,1.12409
554,1.00121,1.13236
555,0.990663,1.1368
556,0.995873,1.14858
557,1.04797,1.10996
558,1.07651,1.08227
559,1.05416,1.09538
560,1.00727,1.13128
561,0.984668,1.13983
562,0.953115,1.12528
563,0.938379,1.13235
564,0.98604,1.11369
565,0.968119,1.1359
566,0.974307,1.17254
567,0.942911,1.14859
568,0.926907,1.17725
569,0.937333,1.1617
570,0.955771,1.16895
571,0.984595,1.13961
572,0.955131,1.16127
573,0.971319,1.1497
574,0.971319,1.1497
575,0.98206,1.1381
576,1.00519,1.12155
577,0.968014,1.1546
578,0.954674,1.13702
579,0.950295,1.11777
580,1.01669,1.11227
581,1.00226,1.10999
582,0.989979,1.14052
583,1.01561,1.13317
584,1.01407,1.12597
585,1.01899,1.15164
586,1.03538,1.16136
587,1.03169,1.16183
588,1.0008,1.14249
589,0.951827,1.15702
590,0.919924,1.17417
591,0.990907,1.14999
592,1.0145,1.14117
593,1.04975,1.14604
594,1.06645,1.1128
595,1.09417,1.1178
596,1.09249,1.11271
597,1.07553,1.09969
598,1.09013,1.10294
599,1.08799,1.1254
600,1.03421,1.14361
601,1.06871,1.12959
602,1.09132,1.09409
603,1.08189,1.11838
604,1.05777,1.12301
605,1.05618,1.09992
606,1.06298,1.09729
607,1.08944,1.08936
608,1.09319,1.06222
609,1.06306,1.08277
610,1.04625,1.10422
611,0.975467,1.11404
612,1.00433,1.12366
613,0.948229,1.13173
614,0.982347,1.12957
615,0.946301,1.14595
616,0.971907,1.14509
617,0.949897,1.11304
618,0.957102,1.12025
619,0.949939,1.12181
620,0.932929,1.13905
621,0.896992,1.18595
622,0.939063,1.14402
623,0.945385,1.12858
624,0.940188,1.13804
625,0.942191,1.1241
626,1.00459,1.09387
627,1.00459,1.09387
628,1.0056,1.11836
629,1.01773,1.09833
630,0.988245,1.1046
631,0.992361,1.09603
632,1.01438,1.08274
633,1.0959,1.07132
634,1.06373,1.07331
635,1.08475,1.04852
636,1.03298,1.07636
637,1.03298,1.07636
638,1.04109,1.07853
639,1.06704,1.05394
640,1.05188,1.07432
641,1.04981,1.07741
642,1.04981,1.07741
643,1.04981,1.07741
644,1.07138,1.08411
645,1.07723,1.08887
