MDTU,0,2,4,6,8,10
1940,15.8538,15.819,15.5178,15.476,15.3647,15.3134
1950,15.5428,15.5093,15.3571,15.3467,15.2819,15.2268
1960,16.8028,16.5956,16.1918,16.1752,16.0219,15.9823
1970,16.5751,16.529,16.422,16.3749,16.3606,16.29
1980,16.6762,16.6127,16.2434,16.1427,16.0536,16.0227
1990,16.8948,16.7691,16.5033,16.4164,16.2483,16.1979
2000,16.7643,16.6961,16.3272,16.2547,16.1604,16.0974
2010,16.7914,16.6887,16.5932,16.522,16.2837,16.2646
2020,17.3546,17.3338,16.6076,16.5815,16.5063,16.474
2030,17.1975,17.1087,17.0301,16.9609,16.8273,16.7164
2040,16.6139,16.5918,16.5408,16.5234,16.3362,16.304
2050,17.5155,17.449,17.4063,17.3917,17.0894,17.053
2060,17.5799,17.5567,17.2947,17.2569,17.0884,17.0479
2070,17.9717,17.9328,17.6485,17.6238,17.4394,17.3101
2080,17.6484,17.5659,17.2124,17.1806,17.0522,16.9687
2090,18.1522,18.0388,17.6496,17.5741,17.5588,17.491
2100,18.6542,18.5549,18.4109,18.3918,18.1112,18.0141
2110,18.6061,18.5842,17.9673,17.8932,17.7205,17.6769
2120,19.3443,19.2168,18.9907,18.884,18.7771,18.7243
2130,19.0614,19.0059,18.8248,18.7905,18.465,18.399
2140,18.641,18.6142,18.5132,18.4745,18.0987,18.0782
2150,19.165,19.1399,19.0806,19.0267,18.7015,18.6097
2160,17.0767,17.0185,16.8684,16.8386,16.6486,16.6162
2170,17.2706,17.2415,17.0435,17.0073,16.8483,16.7862
2180,17.7216,17.6741,17.326,17.2751,17.1908,17.1584
2190,18.068,17.9866,17.5418,17.5062,17.339,17.3031
2200,17.91,17.7713,17.6901,17.5876,17.4873,17.2749
2210,17.7906,17.7485,17.5773,17.4945,17.1955,17.1486
2220,17.7899,17.7412,17.7186,17.6872,17.2803,17.1903
2230,17.7246,17.6816,17.4396,17.4121,17.1388,17.0958
