t,deltaS
896,-0.2702
897,0.06398
898,0.1432
899,-0.04369
900,0.1529
901,0.2608
902,-0.02771
903,0.0303
904,-0.05473
905,0.2142
906,0.1842
907,-0.08772
908,0.244
909,-0.2064
910,-0.1001
911,-0.04596
912,0.1113
913,0.191
914,0.2643
915,-0.161
916,-0.1634
917,0.6783
918,-0.2059
919,0.1512
920,-0.2631
921,-0.1671
922,0.1726
923,-0.08202
924,0.2366
925,-0.03339
926,0.007232
927,0.2455
928,-0.1456
929,0.06909
930,0.2249
931,-0.03115
932,-0.1191
933,0.2959
934,-0.07539
935,-0.2085
936,0.1832
937,-0.08807
938,-0.2434
939,0.06202
940,0.109
941,-0.04663
942,-0.1124
943,-0.08
944,0.2224
945,0.2177
946,0.2191
947,0.2259
948,-0.1131
949,0.2742
950,-0.04982
951,0.04496
952,-0.09763
953,0.04029
954,0.2805
955,0.04303
956,-0.03081
957,0.001537
958,-0.1387
959,-0.1886
960,0.187
961,-0.1566
962,0.03624
963,0.01056
964,0.3604
965,0.01308
966,0.4504
967,-0.1951
968,-0.03601
969,0.03285
970,-0.03839
971,0.1292
972,-0.2342
973,-0.1184
974,-0.141
975,-0.3719
976,-0.08942
977,0.1625
978,0.06904
979,-0.1855
980,-0.2054
981,0.1599
982,0.1286
983,0.04042
984,0.1561
985,-0.3705
986,0.2146
987,-0.07806
988,0.05729
989,0.3476
990,-0.05411
991,-0.03658
992,0.05634
993,0.08032
994,0.1005
995,0.3113
996,0.1407
997,-0.14
998,-0.1429
999,0.08173
1000,-0.09456
1001,-0.3188
1002,0.2943
1003,0.1348
1004,-0.09416
1005,0.2893
1006,0.1306
1007,-0.1187
1008,0.2363
1009,0.22
1010,-0.2633
1011,-0.006366
1012,0.2121
1013,0.1653
1014,-0.1417
1015,0.3003
1016,-0.08148
1017,-0.1949
1018,0.07217
1019,0.09033
1020,0.3752
1021,-0.1446
1022,0.02987
1023,-0.1901
1024,0.1802
1025,0.249
1026,0.1378
1027,-0.1504
1028,0.3975
1029,0.1086
1030,0.1073
1031,-0.2798
1032,-0.06133
1033,0.2013
1034,-0.1086
1035,0.1728
1036,-0.3602
1037,0.1851
1038,0.1322
1039,0.2256
1040,0.0817
1041,0.1022
1042,0.2699
1043,0.02828
1044,0.01966
1045,0.339
1046,-0.1614
1047,0.02213
1048,-0.0794
1049,-0.4194
1050,0.06764
1051,0.325
1052,-0.0858
1053,-0.05863
1054,-0.08453
1055,-0.05368
1056,0.1375
1057,-0.01601
1058,-0.006525
1059,-0.02995
1060,-0.3444
1061,-0.09542
1062,0.1853
1063,-0.1596
1064,0.06297
1065,0.1907
1066,-0.01703
1067,-0.07548
1068,-0.07566
1069,0.0935
1070,0.1138
1071,-0.02321
1072,-0.1639
1073,0.09174
1074,-0.06717
1075,0.04665
1076,-0.1277
1077,0.1859
1078,0.1098
1079,0.02659
1080,-0.06657
1081,0.2779
1082,-0.4888
1083,0.3175
1084,-0.1966
1085,0.06633
1086,-0.1238
1087,-0.008181
1088,0.05542
1089,0.2309
1090,0.07563
1091,-0.01318
1092,-0.1553
1093,-0.0103
1094,0.083
1095,-0.06686
1096,0.02836
1097,-0.1383
1098,0.2313
1099,0.2769
1100,0.02846
1101,0.1236
1102,0.186
1103,0.07706
1104,-0.09996
1105,-0.2646
1106,-0.1722
1107,0.1321
1108,-0.09914
1109,-0.2479
1110,-0.1941
1111,0.2381
1112,0.01187
1113,-0.1151
1114,0.1239
1115,-0.08278
1116,0.2704
1117,0.2129
1118,-0.3034
1119,0.03664
1120,-0.128
1121,0.1964
1122,0.1446
1123,-0.1713
1124,-0.0609
1125,0.0533
1126,-0.2035
1127,-0.05058
1128,0.0125
1129,-0.1191
1130,-0.1182
1131,0.02085
1132,0.0346
1133,0.2149
1134,0.03074
1135,0.0005704
1136,-0.05765
1137,0.08219
1138,-0.2292
1139,0.1764
1140,0.1367
1141,0.08259
1142,-0.1423
1143,-0.3794
1144,0.1146
1145,0.1151
1146,-0.2237
1147,-0.1351
1148,0.3491
1149,0.09519
1150,-0.03306
1151,-0.03908
1152,0.281
1153,0.02411
1154,-0.1063
1155,0.3267
1156,0.02514
1157,-0.2456
1158,-0.08599
1159,-0.1387
1160,-0.01964
1161,0.09162
1162,0.005937
1163,-0.1683
1164,0.01306
1165,0.009626
1166,0.1597
1167,0.1002
1168,0.1098
1169,-0.06935
1170,-0.1893
1171,-0.1396
1172,0.3249
1173,-0.2539
1174,-0.01461
1175,-0.01702
1176,0.1875
1177,0.04542
1178,0.2265
1179,0.3751
1180,-0.07454
1181,0.02611
1182,-0.2054
1183,-0.06824
1184,-0.1664
1185,0.07411
1186,-0.0606
1187,0.1637
1188,-0.1238
1189,0.2969
1190,0.08343
1191,-0.06024
1192,-0.1981
1193,0.491
1194,0.04642
1195,-0.1149
1196,0.121
1197,0.2712
1198,-0.2245
1199,0.197
1200,0.04162
1201,0.02704
1202,-0.2362
1203,0.4689
1204,-0.05573
1205,0.2072
1206,-0.2603
1207,0.2365
1208,0.2299
1209,-0.004066
1210,0.1381
1211,-0.3006
1212,0.06273
1213,0.1178
1214,0.3993
1215,0.1357
1216,0.05009
1217,-0.1238
1218,0.1143
1219,-0.2072
1220,-0.07642
1221,-0.1003
1222,0.157
1223,-0.1081
1224,0.0942
1225,-0.02822
1226,0.08693
1227,0.222
1228,-0.1799
1229,-0.06395
1230,0.4068
1231,0.1442
1232,-0.2823
1233,0.1418
1234,0.05919
1235,-0.07395
1236,0.2722
1237,0.07715
1238,0.009313
1239,-0.03743
1240,0.3741
1241,0.1357
1242,-0.3768
1243,0.1999
1244,0.2772
1245,-0.1779
1246,0.3718
1247,0.06949
1248,-0.0235
1249,0.05175
1250,0.142
1251,0.09978
1252,-0.313
1253,-0.07736
1254,0.254
1255,-0.1576
1256,-0.1465
1257,0.245
1258,-0.2804
1259,0.2964
1260,0.3267
1261,-0.05183
1262,-0.1996
1263,0.4597
1264,-0.04726
1265,-0.1891
1266,-0.03649
1267,0.04043
1268,-0.19
1269,0.07163
1270,0.07269
1271,0.2735
1272,-0.04292
1273,0.1223
1274,-0.06714
1275,0.05362
1276,0.09679
1277,-0.1872
1278,0.07712
1279,0.04863
1280,0.04047
1281,-0.06046
1282,-0.08163
1283,0.221
1284,0.04558
1285,-0.1358
1286,-0.1585
1287,-0.07524
1288,0.2389
1289,-0.1033
1290,0.2067
1291,-0.2207
1292,-0.06418
1293,0.161
1294,0.08876
1295,0.4482
1296,0.1696
1297,-0.2836
1298,0.1533
1299,-0.1758
1300,-0.14
1301,0.2606
1302,0.2032
1303,0.1242
1304,0.2035
1305,-0.15
1306,-0.09442
1307,-0.1083
1308,-0.08067
1309,0.1356
1310,0.06887
1311,-0.2623
1312,0.0727
1313,-0.06451
1314,0.1217
1315,0.0561
1316,0.1949
1317,-0.06467
1318,-0.06003
1319,0.1878
1320,-0.1802
1321,0.1095
1322,-0.04437
1323,-0.06782
1324,0.1607
1325,0.069
1326,-0.0703
1327,-0.1959
1328,0.1151
1329,-0.1946
1330,-0.06224
1331,0.3301
1332,-0.1215
1333,-0.316
1334,0.265
1335,0.316
1336,0.0418
1337,0.2479
1338,0.09665
1339,-0.2787
1340,0.1264
1341,0.2932
1342,0.05931
1343,0.0789
1344,0.07751
1345,0.08338
1346,-0.01215
1347,0.05795
1348,-0.08161
1349,0.1718
1350,0.02725
1351,-0.05528
1352,-0.1239
1353,0.153
1354,-0.2308
1355,-0.1787
1356,0.1017
1357,0.4646
1358,-0.156
1359,-0.03882
1360,0.3336
1361,-0.2465
1362,0.2052
1363,0.2589
1364,0.09251
1365,-0.05724
1366,0.2677
1367,-0.2564
1368,-0.1117
1369,0.2032
1370,0.2197
1371,-0.102
1372,-0.01482
1373,-0.1183
1374,-0.2865
1375,-0.1669
1376,-0.009905
1377,0.1152
1378,-0.4046
1379,0.2257
1380,-0.06415
1381,0.1224
1382,-0.445
1383,0.3077
1384,0.07302
1385,0.02833
1386,-0.1114
1387,-0.03089
1388,-0.02605
1389,0.3987
1390,-0.01184
1391,-0.2389
1392,-0.2382
1393,-0.5171
1394,0.112
1395,0.03202
1396,0.2343
1397,-0.07495
1398,-0.01918
1399,0.2112
1400,0.09271
1401,-0.06981
1402,0.3164
1403,0.02183
1404,-0.1977
1405,0.1603
1406,-0.3502
1407,0.1737
1408,-0.02826
1409,0.2
1410,-0.03227
1411,0.2331
1412,-0.01782
1413,0.1909
1414,-0.2032
1415,-0.2959
1416,0.3049
1417,-0.08477
1418,0.2072
1419,0.1748
1420,-0.01134
1421,0.1953
1422,0.08285
1423,-0.01977
1424,-0.07783
1425,0.02228
1426,0.2199
1427,0.03726
1428,-0.1164
1429,0.3086
1430,-0.1701
1431,-0.3221
1432,-0.01692
1433,-0.05169
1434,0.2353
1435,0.1871
1436,-0.02257
1437,0.3868
1438,-0.1984
1439,-0.2988
1440,0.05833
1441,-0.001166
1442,-0.09751
1443,0.1365
1444,-0.3158
1445,-0.08837
1446,0.07933
1447,-0.05498
1448,0.3733
1449,-0.05104
1450,-0.3456
1451,0.3609
1452,-0.2202
1453,-0.2473
1454,-0.1236
1455,-0.1021
1456,-0.0419
1457,0.2851
1458,0.1368
1459,0.3055
1460,0.2038
1461,-0.001259
1462,-0.03847
1463,-0.1023
1464,0.06695
1465,0.232
1466,0.4299
1467,0.1552
1468,0.2263
1469,0.1165
1470,-0.1681
1471,0.1162
1472,-0.3475
1473,0.06522
1474,-0.2663
1475,-0.0227
1476,0.006077
1477,-0.06409
1478,0.3121
1479,0.08792
1480,-0.2093
1481,0.04211
1482,0.4116
1483,-0.1379
1484,-0.1605
1485,0.1586
1486,-0.2267
1487,-0.0606
1488,0.1723
1489,0.09064
1490,0.1682
