MDTU,min_min,min_max,max_min,max_max5
319,-1.23197,0.107643,-0.0358874,0.524522
320,-1.30183,0.0939591,-0.0170952,0.477557
321,-1.25906,0.153819,-0.0237934,0.473154
322,-1.37066,0.0957941,-0.0890603,0.543667
323,-1.38261,0.0968112,-0.110822,0.480418
324,-1.4058,0.111077,-0.0660544,0.513322
325,-1.36895,0.125969,-0.166127,0.493307
326,-1.26331,0.115087,-0.0331762,0.461449
327,-1.18065,0.142353,-0.0691181,0.547384
328,-1.21657,0.0753605,-0.0677737,0.487599
329,-1.00515,0.106465,-0.0578957,0.504678
330,-1.16174,0.146476,-0.12441,0.559876
331,-1.28107,0.185196,-0.159396,0.520832
332,-1.23794,0.117542,-0.155701,0.506533
333,-1.07732,0.120447,-0.0896999,0.550473
334,-1.13794,0.155205,-0.105232,0.496853
335,-1.11945,0.131403,-0.0705918,0.50366
336,-1.28715,0.0928724,-0.0382098,0.491358
337,-1.10009,0.10481,-0.103201,0.518178
338,-1.23666,0.140557,-0.00573,0.468053
339,-1.09904,0.0985731,-0.0723286,0.486142
340,-1.14848,0.0930589,-0.0382049,0.532544
341,-1.18793,0.0920974,-0.0250909,0.492642
342,-1.07666,0.165395,-0.0197221,0.523299
343,-1.1242,0.144686,-0.0557431,0.537486
344,-1.12182,0.0985646,-0.0375807,0.500882
345,-1.16686,0.101214,-0.0316982,0.518491
346,-1.48468,0.118943,0.0116606,0.55046
347,-1.48468,0.118943,0.0116606,0.55046
348,-1.48468,0.118943,0.0116606,0.55046
349,-1.32452,0.166187,-0.0737918,0.514272
350,-1.14534,0.146921,-0.0700163,0.482064
351,-1.5023,0.215197,-0.0103401,0.473769
352,-1.78849,0.098067,-0.00511953,0.475141
353,-1.20849,0.0882041,-0.0962956,0.499882
354,-1.2007,0.111507,-0.0820119,0.487633
355,-1.15642,0.109561,-0.0405744,0.49281
356,-1.19379,0.11039,-0.108501,0.472441
357,-1.19379,0.11039,-0.108501,0.472441
358,-1.09332,0.109961,-0.0494068,0.459051
359,-0.984937,0.0661583,-0.0262398,0.467361
360,-0.978342,0.0987163,-0.16172,0.478704
361,-1.06729,0.0538345,-0.0758131,0.478945
362,-1.03597,0.0917548,-0.142032,0.470641
363,-0.989957,0.0900345,-0.139313,0.47343
364,-1.02924,0.104042,-0.0802539,0.528624
365,-0.984909,0.111196,-0.0797184,0.458598
366,-1.21899,0.0777238,-0.110938,0.459857
367,-0.902364,0.110137,-0.0631573,0.508445
368,-0.902364,0.110137,-0.0631573,0.508445
369,-1.17384,0.0970678,-0.0293085,0.485004
370,-1.05936,0.0842403,-0.0347042,0.46186
371,-0.942875,0.0646099,0.0253055,0.491446
372,-1.03129,0.0580409,-0.0729086,0.486635
373,-0.994469,0.105628,-0.00276167,0.471872
374,-1.03146,0.0932118,-0.0771559,0.476829
375,-0.957854,0.142462,-0.0553152,0.488375
376,-0.972361,0.090409,-0.045575,0.478683
377,-1.18878,0.069938,-0.0592811,0.474399
378,-0.985246,0.0673305,-0.0580815,0.4565
379,-1.06605,0.0615754,-0.018378,0.441254
380,-1.2679,0.0745139,-0.0326742,0.4583
381,-1.2679,0.0745139,-0.0326742,0.4583
382,-1.05729,0.0678662,-0.0789834,0.51214
383,-1.06694,0.050512,-0.05878,0.479996
384,-0.878389,0.147449,-0.0523934,0.435246
385,-0.875312,0.074961,-0.00441307,0.453419
386,-0.905222,0.0684981,0.0217937,0.47281
387,-0.980238,0.0808458,-0.0434119,0.465028
388,-0.980238,0.0808458,-0.0434119,0.465028
389,-1.25476,0.0482408,-0.0666461,0.448862
390,-0.865993,0.075569,-0.0576101,0.470788
391,-0.994443,0.0698648,-0.0536087,0.464489
392,-0.902045,0.039503,-0.0353304,0.439594
393,-0.886267,0.05869,-0.0256182,0.468564
394,-0.875372,0.112054,-0.000120142,0.502484
395,-0.977733,0.0562459,-0.0349604,0.483834
396,-0.931803,0.0964511,-0.0460743,0.46463
397,-0.844842,0.153963,-0.0446386,0.522198
398,-0.97892,0.0792058,-0.0586003,0.491548
399,-0.983044,0.119314,-0.0737947,0.500504
400,-0.8305,0.0330163,0.0118691,0.529944
401,-0.912781,0.0959039,0.0022729,0.501463
402,-0.852436,0.0811469,-0.072866,0.558625
403,-0.980663,0.0498204,-0.0337533,0.533835
404,-0.886106,0.0553533,-0.0131818,0.499104
405,-0.886106,0.0553533,-0.0131818,0.499104
406,-1.43078,0.0428198,-0.0221776,0.509824
