MDTU,S_B
716,0.992776
717,1.00261
718,1.00261
719,0.996861
720,0.996267
721,0.975176
722,0.989346
723,0.9833
724,0.9833
725,1.00142
726,1.01061
727,0.998004
728,0.997173
729,1.01439
730,1.0089
731,1.01091
732,1.01334
733,1.00494
734,1.00282
735,0.98953
736,0.990768
737,1.00499
738,1.01229
739,1.01229
740,1.00196
741,1.01267
742,1.01052
743,1.00041
744,1.00041
745,0.995362
746,0.998998
747,0.995806
748,1.00764
749,1.00507
750,0.980657
751,0.995904
752,0.997337
753,1.00582
754,1.01525
755,1.01136
756,0.995819
757,0.987702
758,0.994597
759,1.00264
760,1.00123
761,0.994917
762,0.979114
763,0.973577
764,0.983237
765,0.988148
766,0.994686
767,0.977276
768,1.00207
769,0.987657
770,0.984718
771,1.00119
772,0.99548
773,0.98508
774,0.98508
775,1.00064
776,0.993721
777,0.991495
778,0.995511
779,1.01101
780,1.00856
781,0.997286
782,1.01009
783,1.01517
784,1.00876
785,0.987482
786,0.991426
787,0.980835
788,0.984803
789,0.976563
790,0.991189
791,0.991401
792,1.00106
793,1.01458
794,0.993323
795,0.983888
796,0.993185
797,0.99208
798,0.995532
799,1.00079
800,0.981476
801,0.981522
802,0.96915
803,0.989146
804,1.00211
805,1.00394
806,1.01334
807,1.00488
808,1.00424
809,1.01942
810,1.0106
811,1.01606
812,1.00045
813,0.996912
814,1.00435
815,1.00412
816,1.00001
817,1.00436
818,1.00785
819,1.00314
820,1.00259
821,0.975588
822,0.991306
823,0.99106
824,1.0076
825,0.993165
826,0.984887
827,0.985692
828,0.995275
829,0.998857
830,0.990101
831,1.00273
832,1.00715
833,1.00676
834,1.00676
835,1.01047
836,1.01047
837,0.989079
838,0.997511
839,0.988148
840,1.00228
841,0.998812
842,1.00501
843,1.00944
844,1.00858
845,1.01759
846,1.02794
847,1.01474
848,1.01332
849,1.01332
850,1.00137
851,1.00331
852,0.995684
853,0.997416
854,1.00856
855,1.00857
856,0.997916
857,0.995893
858,0.992716
859,1.00517
860,1.01122
861,1.01452
862,1.00085
863,1.00136
864,1.01632
865,0.986762
866,0.98787
867,0.992179
868,0.991245
869,0.985542
870,0.990898
871,0.996641
872,0.982387
873,0.991676
874,0.990657
875,0.989108
876,0.990198
877,0.989074
878,1.00014
879,1.00014
880,1.00293
881,1.00635
882,1.00388
883,1.00895
884,1.00895
885,0.989057
886,0.987051
887,1.00548
888,0.998815
889,1.00465
890,1.01523
891,1.01523
892,1.0173
893,1.0021
894,0.989542
895,0.99542
896,0.997395
897,1.00357
898,1.00241
899,1.00485
900,0.989083
901,0.989083
902,1.0028
903,0.990365
904,0.999675
905,0.990373
906,0.990373
907,0.986892
908,0.99154
909,1.00238
910,1.01445
911,1.01552
912,1.00483
913,0.999833
914,0.986342
915,0.97923
916,0.981708
917,1.00115
918,1.00127
919,0.996305
920,0.995454
921,1.0105
922,1.00119
923,0.993756
924,0.992825
925,0.998313
926,1.00506
927,1.00506
928,1.01918
929,0.993804
930,0.996847
931,1.00768
932,1.0074
933,1.0074
934,1.00114
935,1.00554
936,1.00345
937,1.00563
938,1.00501
939,0.998019
940,0.998019
941,0.999961
942,0.978524
943,1.00224
944,1.00224
945,1.01365
946,1.00205
947,1.01102
948,1.01217
949,0.999718
950,0.992235
951,0.997899
952,1.00445
953,1.00472
954,0.992934
955,0.994327
956,0.9997
957,0.98575
958,0.9924
959,0.985994
960,0.994093
961,1.00506
962,1.00506
963,0.999134
964,0.98828
965,0.993737
966,0.993737
967,1.00119
968,1.0023
969,1.00865
970,1.00603
971,0.995877
972,0.984753
973,1.00661
974,0.995372
975,0.999542
976,1.012
977,1.00111
978,0.997663
979,0.994942
980,1.00244
981,1.01363
982,1.00109
983,0.994688
984,0.98752
985,0.993802
986,0.995244
987,0.983626
988,1.00345
989,1.00103
990,0.997232
991,1.01538
992,1.00759
993,0.991447
994,0.987909
995,0.989475
996,0.992998
997,0.990517
998,0.999308
999,0.985594
1000,0.995993
1001,1.00909
1002,1.00909
1003,0.997555
1004,1.00855
1005,1.00855
1006,1.00589
1007,1.00205
1008,1.00721
1009,0.990328
1010,1.00874
1011,1.01585
1012,1.00432
1013,1.00323
1014,0.989887
1015,0.978342
1016,0.990716
1017,0.987618
1018,0.988972
1019,0.98978
1020,0.985947
1021,1.00159
1022,0.988344
1023,0.993927
1024,0.986308
1025,0.986308
1026,0.988628
1027,0.997288
1028,0.992672
1029,0.972344
1030,0.982982
1031,0.994759
1032,0.997991
1033,1.00813
1034,0.99698
1035,0.992917
1036,1.00459
1037,1.00459
1038,1.0046
1039,0.999597
1040,1.00484
1041,1.00485
1042,1.00485
1043,0.986966
1044,0.983743
1045,0.983743
1046,0.988627
1047,0.985557
1048,0.995118
1049,0.990853
1050,1.00692
1051,0.988834
1052,0.996481
1053,1.00657
1054,1.00311
1055,1.00565
1056,0.996529
1057,1.00396
1058,1.01163
1059,0.99576
1060,0.99598
1061,1.00791
1062,1.02329
1063,1.00346
1064,1.00844
1065,1.00079
1066,1.0026
1067,0.99578
1068,0.994622
1069,1.01348
1070,1.00279
1071,1.00978
1072,1.00594
1073,0.995466
1074,1.00605
1075,1.00605
1076,1.01723
1077,1.01613
1078,0.995876
1079,1.0007
1080,0.987837
1081,0.996386
1082,1.00988
1083,0.987592
1084,0.992182
1085,0.988147
1086,0.993507
1087,1.00724
1088,1.00724
1089,0.99857
1090,0.989425
1091,0.996121
1092,1.00113
1093,1.00718
1094,1.00718
1095,1.00398
1096,0.991636
1097,1.00901
1098,1.00901
1099,1.00141
1100,0.985026
1101,0.985026
1102,0.980327
1103,0.989862
1104,0.987133
1105,0.997605
1106,0.993942
1107,1.00004
1108,1.00941
1109,1.01018
1110,1.02469
1111,1.02468
1112,1.00831
1113,1.00591
1114,1.01323
1115,0.999498
1116,0.988757
1117,0.99129
1118,1.005
1119,0.998296
1120,1.00053
1121,0.985917
1122,0.99333
1123,0.988517
1124,1.00387
1125,0.990299
1126,0.992755
1127,1.00175
1128,0.980572
1129,0.98604
1130,0.988942
1131,1.00893
1132,1.01335
1133,1.01039
1134,1.00369
1135,1.00379
1136,1.01351
1137,1.00784
1138,1.00502
1139,0.99862
1140,0.994823
1141,0.977935
1142,0.995755
1143,0.998036
1144,0.990981
1145,0.991169
1146,1.00488
1147,0.99431
1148,1.00131
1149,0.98134
1150,0.98443
1151,0.979388
1152,0.979388
1153,0.992001
1154,0.999661
1155,0.999661
1156,1.00908
1157,1.01209
1158,1.00615
1159,0.996009
1160,0.994012
1161,0.98708
1162,1.00289
1163,1.01323
1164,1.02171
1165,1.0127
1166,1.00149
1167,0.990132
1168,0.984777
1169,0.9905
1170,1.00136
1171,1.01574
1172,0.997451
1173,1.00185
1174,1.0106
1175,1.01222
1176,1.01222
1177,0.996804
1178,0.996804
1179,0.987764
1180,0.987921
1181,0.996559
1182,0.993463
1183,1.00765
1184,1.00015
1185,1.00577
1186,1.00862
1187,1.00862
1188,0.994547
1189,0.984845
1190,0.995817
1191,1.0048
1192,1.00859
1193,1.00859
1194,1.0108
1195,1.00216
1196,0.986299
1197,0.986299
1198,0.998262
1199,0.989254
1200,0.995514
1201,0.983265
1202,0.985957
1203,0.985957
1204,1.00021
1205,0.982092
1206,1.00246
1207,1.00246
1208,0.998145
1209,0.998496
1210,0.986168
1211,0.988374
1212,1.00524
1213,0.999267
1214,1.00647
1215,0.999625
1216,0.979056
1217,0.988795
1218,1.00024
1219,0.992748
1220,0.983566
1221,0.989348
1222,0.989348
1223,0.984241
1224,0.998172
1225,1.01098
1226,1.00075
1227,1.00637
1228,1.00699
1229,1.01385
1230,1.01418
1231,0.995244
1232,1.00206
1233,1.00206
1234,1.00427
1235,0.999673
1236,0.987654
1237,0.987654
1238,0.998441
1239,0.992897
1240,0.99011
1241,0.971936
1242,0.99878
1243,0.995156
1244,0.997412
1245,0.995452
1246,0.995452
1247,0.982943
1248,0.997363
1249,0.982717
1250,0.982362
1251,1.00108
1252,1.00596
1253,0.990814
1254,1.00732
1255,1.00781
1256,0.989983
1257,0.989983
1258,1.00307
1259,1.00762
1260,0.994096
1261,0.997103
1262,0.995052
1263,0.981657
1264,0.986787
1265,0.993243
1266,0.996017
1267,0.999424
1268,1.00459
1269,0.998976
1270,1.00321
1271,1.00321
1272,1.00603
1273,0.994012
1274,0.994179
1275,0.994344
1276,1.00719
1277,0.988455
1278,0.985835
1279,0.987883
1280,1.00163
1281,0.995049
1282,1.00409
1283,1.00475
1284,0.989295
1285,0.993758
1286,1.00182
1287,1.00711
1288,1.00711
1289,1.00956
1290,0.985733
1291,0.98967
1292,0.99377
1293,0.999423
1294,0.999423
1295,1.00102
1296,0.995942
1297,0.986944
1298,0.98764
1299,0.993946
1300,1.00626
1301,0.996716
1302,1.00822
1303,1.00499
1304,1.001
1305,0.985054
1306,0.987345
1307,0.989552
1308,0.985475
1309,0.9924
1310,0.982584
1311,0.992729
1312,1.00053
1313,0.986228
1314,0.985231
1315,0.990055
1316,1.00228
1317,1.00348
1318,0.99198
1319,0.998948
1320,1.00744
1321,0.995962
1322,1.00761
1323,1.02291
1324,1.02261
1325,1.0165
1326,1.01145
1327,1.00324
1328,0.992257
1329,1.00521
1330,1.0004
1331,1.0004
1332,1.0089
1333,1.01501
1334,1.01247
1335,1.00883
1336,1.02822
1337,1.01319
1338,1.00442
1339,1.00062
1340,1.00886
1341,1.0008
1342,0.999382
1343,1.0046
1344,0.99552
1345,1.0042
1346,1.00961
1347,1.0083
1348,1.01214
1349,0.999597
1350,1.00419
1351,1.00978
1352,1.00708
1353,1.00506
1354,1.00214
1355,1.01399
1356,1.00406
1357,0.997817
1358,1.00393
1359,0.99464
1360,1.00117
1361,0.990549
1362,0.990549
1363,0.992191
1364,1.01047
1365,0.999786
1366,0.999786
1367,1.01371
1368,1.00605
1369,1.00872
1370,1.00273
1371,1.0039
1372,1.00277
1373,0.995371
1374,0.992238
1375,0.981172
1376,0.990053
1377,0.990267
1378,0.999731
1379,0.992716
1380,0.986082
1381,0.986082
1382,0.994334
1383,0.996776
1384,0.991803
1385,0.99675
1386,0.973599
1387,0.992467
1388,0.997103
1389,0.997103
1390,0.98848
1391,0.988187
1392,1.01065
1393,1.00194
1394,0.99546
1395,1.00362
1396,1.0155
1397,1.01373
1398,1.00794
1399,0.998474
1400,1.00233
1401,0.990626
1402,0.995492
1403,0.987208
1404,0.996494
1405,0.996494
1406,1.00303
1407,0.99459
1408,0.992256
1409,0.992256
1410,1.00706
1411,1.01366
1412,1.01555
1413,0.999574
1414,1.00294
1415,0.999678
1416,0.995808
1417,1.0002
1418,1.00112
1419,1.00836
1420,1.00058
1421,0.998398
1422,1.0065
1423,1.01422
1424,1.00033
1425,0.992506
1426,1.00031
1427,1.00632
1428,1.00492
1429,0.967259
1430,0.998871
1431,0.992183
1432,0.981773
1433,0.977441
1434,0.973243
1435,0.97247
1436,0.992527
1437,0.987682
1438,1.00367
1439,0.992212
1440,0.993791
1441,0.978201
1442,0.993583
1443,0.987121
1444,1.00242
1445,0.996295
1446,0.988039
1447,1.00879
1448,0.993521
1449,0.987802
1450,1.01627
1451,0.993183
1452,0.987139
1453,1.00195
1454,0.996065
1455,1.01223
1456,1.00285
1457,1.00285
1458,0.984387
1459,0.977018
1460,0.993879
1461,1.00012
1462,0.985851
1463,0.997819
1464,1.00352
1465,0.989698
1466,1.00348
1467,0.990529
1468,0.990471
1469,0.991035
1470,1.00491
1471,1.00217
1472,0.986942
1473,0.999905
1474,0.996554
1475,1.00745
1476,0.993944
1477,1.0103
1478,1.00556
1479,1.00184
1480,1.01663
1481,1.00694
1482,1.00694
1483,0.999907
1484,1.00208
1485,0.990338
1486,0.998104
1487,1.006
1488,1.0024
1489,0.99497
1490,1.00244
1491,0.987632
1492,0.977993
1493,0.978418
1494,0.985159
1495,0.996157
1496,0.990042
1497,0.986228
1498,0.995184
1499,0.992295
1500,0.985886
1501,0.995717
1502,0.996098
1503,0.996775
1504,0.986402
1505,0.987848
1506,0.990897
1507,0.998687
1508,0.998371
1509,0.988947
1510,0.987682
1511,1.00733
1512,1.01729
1513,1.00859
1514,1.01237
1515,1.01237
1516,1.00103
1517,1.00329
1518,1.01149
1519,0.995499
1520,1.00471
1521,1.01405
1522,0.997423
1523,1.0081
1524,1.01092
1525,0.993273
1526,0.997998
1527,0.997998
1528,0.985821
1529,0.976096
1530,0.999129
1531,1.00748
1532,1.01246
1533,1.00983
1534,0.995178
