t,cg_iters
1048,3045
1049,3146
1050,3032
1051,2927
1052,2902
1053,2900
1054,2826
1055,2914
1056,2913
1057,2772
1058,2810
1059,2797
1060,2735
1061,2793
1062,2692
1063,2700
1064,2692
1065,2751
1066,2909
1067,2934
1068,2886
1069,2920
1070,3074
1071,2896
1072,2837
1073,2779
1074,2824
1075,2871
1076,2858
1077,2990
1078,2921
1079,2955
1080,2959
1081,3115
1082,3017
1083,3014
1084,2913
1085,3012
1086,3163
1087,3229
1088,3239
1089,3209
1090,2899
1091,2832
1092,2900
1093,2976
1094,2825
1095,2883
1096,2911
1097,2878
1098,3133
1099,3004
1100,2918
1101,2871
1102,2866
1103,2944
1104,2951
1105,2916
1106,2789
1107,2582
1108,2641
1109,2632
1110,2676
1111,2518
1112,2533
1113,2570
1114,2551
1115,2559
1116,2571
1117,2634
1118,2580
1119,2533
1120,2549
1121,2603
1122,2800
1123,2596
1124,2590
1125,2578
1126,2497
1127,2635
1128,2836
1129,3029
1130,3190
1131,3417
1132,3278
1133,3224
1134,3089
1135,3082
1136,2993
1137,2984
1138,2980
1139,3192
1140,3289
1141,3356
1142,3030
1143,3032
1144,2893
1145,2998
1146,2827
1147,2955
1148,2933
1149,2854
1150,2921
1151,3023
1152,2963
1153,2874
1154,2781
1155,2837
1156,2806
1157,2733
1158,2938
1159,3156
1160,3011
1161,2875
1162,2742
1163,2718
1164,2570
1165,2546
1166,2520
1167,2532
1168,2675
1169,2634
1170,2462
1171,2622
1172,2780
1173,2571
1174,2495
1175,2650
1176,2717
1177,2631
1178,2760
1179,2963
1180,3109
1181,3045
1182,2776
1183,2932
1184,2990
1185,2691
1186,2799
1187,3189
1188,3071
1189,2730
1190,2725
1191,2631
1192,2658
1193,2642
1194,2699
1195,2571
1196,2565
1197,2693
1198,2741
1199,2891
1200,2875
1201,2695
1202,2856
1203,3218
1204,3047
1205,3095
1206,3344
1207,3227
1208,3254
1209,3280
1210,3029
1211,2937
1212,3372
1213,3277
1214,3096
1215,2985
1216,2838
1217,2788
1218,2866
1219,2944
1220,2999
1221,2966
1222,2944
1223,2925
1224,2860
1225,2803
1226,2754
1227,2669
1228,2833
1229,2729
1230,2542
1231,2585
1232,2567
1233,2777
1234,2756
1235,2766
1236,2640
1237,2517
1238,2616
1239,2579
1240,2567
1241,2528
1242,2662
1243,2565
1244,2530
1245,2641
1246,2611
1247,2658
1248,2669
1249,2638
1250,2601
1251,2549
1252,2655
1253,2586
1254,2639
1255,2687
1256,2640
1257,2598
1258,2584
1259,2593
1260,2539
1261,2532
1262,2563
1263,2726
1264,2653
1265,2605
1266,2637
