ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
-0.0324315,null,-0.158798,null,null
-0.69964,-0.128499,null,null,null
0.39334,null,0.0144763,null,null
-0.87971,-0.299733,null,null,null
0.13098,null,-0.185311,null,null
-0.936627,-0.0747147,null,null,null
0.37889,null,-0.400727,null,null
-0.972703,-0.171481,null,null,null
-0.00244056,null,-0.5511,null,null
-0.882233,-0.235975,null,null,null
-0.460633,null,-0.77146,null,null
-0.826573,-0.355827,null,null,null
-0.380623,null,-0.66157,null,null
-0.670623,-0.141335,null,null,null
-0.356853,null,-1.12922,null,null
-0.82455,0.0656043,null,null,null
-0.0785343,null,-1.09495,null,null
-0.868313,0.15025,null,null,null
-0.781397,null,-1.19105,null,null
-0.84691,0.37827,null,null,null
-0.489547,null,-1.13575,null,null
-0.921477,0.189729,null,null,null
-0.662257,null,-1.25515,null,null
-0.921477,0.189729,null,null,null
-0.662257,null,-1.25515,null,null
-0.947517,0.00217033,null,null,null
-0.494107,null,-1.48354,null,null
-0.861883,0.369373,null,null,null
-0.70104,null,-1.62859,null,null
-0.804213,0.121011,null,null,null
-0.6262,null,-1.84891,null,null
-0.908147,0.136398,null,null,null
-0.765773,null,-2.13118,null,null
-0.895517,0.482087,null,null,null
-0.63859,null,-2.08819,null,null
-1.06421,0.800543,null,null,null
-0.23199,null,-1.48231,null,null
-0.72688,0.812083,null,null,null
-0.4401,null,-1.46449,null,null
-0.460503,0.839927,null,null,null
-0.56678,null,-1.62806,null,null
-0.5397,0.476093,null,null,null
-0.55681,null,-1.42062,null,null
-0.766273,0.188903,null,null,null
-0.389027,null,-1.36661,null,null
-0.685127,0.0920583,null,null,null
-0.55133,null,-1.4255,null,null
-0.515947,0.23065,null,null,null
-0.813867,null,-1.7754,null,null
-0.618957,0.286644,null,null,null
-0.84355,null,-1.86783,null,null
-0.670057,0.046503,null,null,null
-1.23985,null,-1.53998,null,null
-0.689303,0.0601823,null,null,null
-0.841353,null,-1.5694,null,null
-0.584887,-0.106044,null,null,null
-1.21063,null,-1.49437,null,null
-0.49346,-0.15742,null,null,null
-1.25647,null,-1.85718,null,null
-0.4896,-0.151849,null,null,null
-1.3851,null,-1.56148,null,null
-0.611513,-0.21102,null,null,null
-1.25295,null,-1.44215,null,null
-0.5997,-0.223311,null,null,null
-1.54315,null,-1.41569,null,null
-0.748393,-0.176524,null,null,null
-1.7585,null,-1.25158,null,null
-0.883267,-0.331204,null,null,null
-1.48071,null,-1.49024,null,null
-0.850477,-0.172644,null,null,null
-1.58086,null,-1.41125,null,null
-1.4818,-0.0178212,null,null,null
-1.67697,null,-1.67354,null,null
-1.19361,-0.0522777,null,null,null
-1.18658,null,-1.19219,null,null
-1.37602,-0.00133438,null,null,null
-0.958773,null,-1.07378,null,null
-1.34664,0.047986,null,null,null
-1.03558,null,-1.2623,null,null
-1.08324,0.23475,null,null,null
-0.87195,null,-1.72417,null,null
-1.32146,-0.028642,null,null,null
-0.595187,null,-2.30995,null,null
-1.45499,-0.271091,null,null,null
-0.650063,null,-2.2382,null,null
-1.86662,-0.588113,null,null,null
-0.807883,null,-2.03001,null,null
-1.69756,-0.633537,null,null,null
-1.36636,null,-1.98527,null,null
-1.69756,-0.633537,null,null,null
-1.36636,null,-1.98527,null,null
-1.69756,-0.633537,null,null,null
-1.36636,null,-1.98527,null,null
-1.17404,-0.54242,null,null,null
-0.96411,null,-1.9565,null,null
-1.35144,-0.388043,null,null,null
-0.58705,null,-1.8494,null,null
-0.98293,-0.134366,null,null,null
-0.7736,null,-1.68352,null,null
-1.02443,-0.253384,null,null,null
-0.144776,null,-1.58073,null,null
-0.73349,-0.185129,null,null,null
-0.257303,null,-1.72761,null,null
-0.687087,-0.377857,null,null,null
-0.263313,null,-1.47791,null,null
-0.626323,-0.37033,null,null,null
-0.70211,null,-1.32477,null,null
-0.630357,-0.309908,null,null,null
-0.38216,null,-1.25898,null,null
-0.630357,-0.309908,null,null,null
-0.38216,null,-1.25898,null,null
-0.425093,-0.496517,null,null,null
-0.447987,null,-0.875243,null,null
-0.48748,-0.36203,null,null,null
-0.73523,null,-1.03025,null,null
-0.4114,-0.40896,null,null,null
-0.285167,null,-1.32014,null,null
-0.238525,-0.211912,null,null,null
-0.089675,null,-1.51119,null,null
-0.320351,-0.152853,null,null,null
0.0409657,null,-1.25602,null,null
-0.294057,-0.056752,null,null,null
0.0212677,null,-1.10558,null,null
-0.240308,-0.165309,null,null,null
0.127778,null,-1.04232,null,null
-0.256758,-0.127337,null,null,null
0.11442,null,-1.30915,null,null
-0.235922,-0.0469733,null,null,null
-0.0675613,null,-1.11768,null,null
-0.417843,-0.114211,null,null,null
-0.210442,null,-0.95296,null,null
-0.417843,-0.114211,null,null,null
-0.210442,null,-0.95296,null,null
-0.324462,-0.170714,null,null,null
-0.059144,null,-0.899017,null,null
-0.507523,-0.2739,null,null,null
0.105544,null,-1.06879,null,null
-0.39872,-0.45031,null,null,null
0.260464,null,-1.00452,null,null
-0.465173,-0.456723,null,null,null
0.429823,null,-0.846973,null,null
-0.175852,-0.350433,null,null,null
0.105861,null,-0.942587,null,null
-0.0336627,-0.329883,null,null,null
-0.053949,null,-0.841917,null,null
0.100325,-0.447363,null,null,null
-0.205208,null,-0.738297,null,null
0.142498,-0.251332,null,null,null
-0.0146977,null,-0.67778,null,null
0.299024,-0.0156316,null,null,null
-0.00528633,null,-0.580597,null,null
0.217126,-0.363663,null,null,null
-0.0920747,null,-0.850813,null,null
0.159625,-0.360933,null,null,null
-0.100158,null,-0.739807,null,null
0.51701,-0.0349637,null,null,null
0.18717,null,-0.687153,null,null
0.51701,-0.0349637,null,null,null
0.18717,null,-0.687153,null,null
0.667007,0.045812,null,null,null
0.246769,null,-0.887417,null,null
0.6379,-0.120563,null,null,null
0.289796,null,-0.553007,null,null
0.340533,-0.230092,null,null,null
0.237946,null,-0.56361,null,null
0.33772,-0.059067,null,null,null
-0.12532,null,-0.593177,null,null
0.533263,-0.113209,null,null,null
-0.0291864,null,-0.800397,null,null
0.65769,0.072479,null,null,null
0.0333793,null,-0.739597,null,null
0.65769,0.072479,null,null,null
0.0333793,null,-0.739597,null,null
0.787067,-0.38244,null,null,null
-0.113931,null,-0.64597,null,null
0.730137,-0.419633,null,null,null
-0.209204,null,-0.842933,null,null
0.86413,-0.45382,null,null,null
-0.048598,null,-0.854713,null,null
0.899497,-0.323496,null,null,null
-0.0782343,null,-0.793,null,null
0.601297,-0.40523,null,null,null
-0.179663,null,-0.335433,null,null
0.643837,-0.414533,null,null,null
-0.264269,null,-0.236291,null,null
0.569663,-0.612693,null,null,null
-0.177124,null,-0.185071,null,null
0.823217,-0.63494,null,null,null
-0.221833,null,-0.160835,null,null
0.840417,-1.15553,null,null,null
-0.196917,null,-0.195707,null,null
1.57908,-0.92829,null,null,null
-0.0480043,null,-0.133988,null,null
1.20192,-0.77867,null,null,null
0.131353,null,-0.338787,null,null
1.18993,-1.44468,null,null,null
-0.0799117,null,-0.368503,null,null
1.25404,-1.27739,null,null,null
-0.0995467,null,-0.620973,null,null
1.6029,-0.95313,null,null,null
-0.21486,null,-0.78854,null,null
1.27846,-0.963653,null,null,null
-0.296642,null,-0.53186,null,null
1.73974,-0.646043,null,null,null
-0.182109,null,-0.677843,null,null
1.73974,-0.646043,null,null,null
-0.182109,null,-0.677843,null,null
1.69535,-1.46859,null,null,null
-0.337483,null,-1.14881,null,null
1.35029,-1.14212,null,null,null
-0.123571,null,-1.0467,null,null
1.09182,-1.0907,null,null,null
-0.409073,null,-1.15139,null,null
